Orthogroup	L63545.1	OM037668.1
OG0000000	L63545.1_00007	OM037668.1_00035
OG0000001	L63545.1_00079	OM037668.1_00057
OG0000003	L63545.1_00035	OM037668.1_00056
OG0000004	L63545.1_00076	OM037668.1_00050
OG0000005	L63545.1_00108	OM037668.1_00038
OG0000006	L63545.1_00093	OM037668.1_00021
OG0000007	L63545.1_00090	OM037668.1_00084
OG0000008	L63545.1_00001	OM037668.1_00076
OG0000009	L63545.1_00024	OM037668.1_00077
OG0000010	L63545.1_00043	OM037668.1_00013
OG0000011	L63545.1_00071	OM037668.1_00041
OG0000012	L63545.1_00098	OM037668.1_00123
OG0000013	L63545.1_00072	OM037668.1_00124
OG0000014	L63545.1_00013	OM037668.1_00127
OG0000015	L63545.1_00004	OM037668.1_00098
OG0000016	L63545.1_00069	OM037668.1_00009
OG0000017	L63545.1_00009	OM037668.1_00090
OG0000018	L63545.1_00073	OM037668.1_00089
OG0000019	L63545.1_00068	OM037668.1_00073
OG0000020	L63545.1_00030	OM037668.1_00078
OG0000021	L63545.1_00110	OM037668.1_00004
OG0000022	L63545.1_00054	OM037668.1_00113
OG0000023	L63545.1_00056	OM037668.1_00080
OG0000024	L63545.1_00002	OM037668.1_00074
OG0000026	L63545.1_00058	OM037668.1_00087
OG0000027	L63545.1_00003	OM037668.1_00110
OG0000146	L63545.1_00085	OM037668.1_00001
OG0000156	L63545.1_00087	OM037668.1_00036
