Orthogroup	L63545.1	KF938901.1
OG0000000	L63545.1_00007	KF938901.1_00126
OG0000001	L63545.1_00079	KF938901.1_00044
OG0000003	L63545.1_00035	KF938901.1_00080
OG0000004	L63545.1_00076	KF938901.1_00005
OG0000005	L63545.1_00108	KF938901.1_00067
OG0000006	L63545.1_00093	KF938901.1_00072
OG0000007	L63545.1_00090	KF938901.1_00053
OG0000008	L63545.1_00001	KF938901.1_00043
OG0000009	L63545.1_00024	KF938901.1_00114
OG0000010	L63545.1_00043	KF938901.1_00124
OG0000011	L63545.1_00071	KF938901.1_00054
OG0000012	L63545.1_00098	KF938901.1_00047
OG0000013	L63545.1_00072	KF938901.1_00123
OG0000014	L63545.1_00013	KF938901.1_00023
OG0000015	L63545.1_00004	KF938901.1_00060
OG0000016	L63545.1_00069	KF938901.1_00092
OG0000017	L63545.1_00009	KF938901.1_00012
OG0000018	L63545.1_00073	KF938901.1_00046
OG0000019	L63545.1_00068	KF938901.1_00025
OG0000020	L63545.1_00030	KF938901.1_00074
OG0000021	L63545.1_00110	KF938901.1_00095
OG0000022	L63545.1_00054	KF938901.1_00031
OG0000137	L63545.1_00092	KF938901.1_00086
OG0000138	L63545.1_00016	KF938901.1_00007
OG0000147	L63545.1_00015	KF938901.1_00094
OG0000148	L63545.1_00100	KF938901.1_00048
OG0000151	L63545.1_00018	KF938901.1_00027
OG0000155	L63545.1_00023	KF938901.1_00065
OG0000159	L63545.1_00066	KF938901.1_00017
OG0000162	L63545.1_00048	KF938901.1_00009
OG0000167	L63545.1_00012	KF938901.1_00106
OG0000183	L63545.1_00105	KF938901.1_00137
