Orthogroup	L63545.1	MF599468.1
OG0000000	L63545.1_00007	MF599468.1_00057, MF599468.1_00056
OG0000001	L63545.1_00079	MF599468.1_00152
OG0000003	L63545.1_00035	MF599468.1_00163
OG0000004	L63545.1_00076	MF599468.1_00011
OG0000005	L63545.1_00108	MF599468.1_00030
OG0000006	L63545.1_00093	MF599468.1_00010
OG0000007	L63545.1_00090	MF599468.1_00174
OG0000008	L63545.1_00001	MF599468.1_00092
OG0000009	L63545.1_00024	MF599468.1_00075
OG0000010	L63545.1_00043	MF599468.1_00116
OG0000011	L63545.1_00071	MF599468.1_00112
OG0000012	L63545.1_00098	MF599468.1_00090
OG0000013	L63545.1_00072	MF599468.1_00035
OG0000014	L63545.1_00013	MF599468.1_00071
OG0000015	L63545.1_00004	MF599468.1_00033
OG0000016	L63545.1_00069	MF599468.1_00149
OG0000017	L63545.1_00009	MF599468.1_00106
OG0000018	L63545.1_00073	MF599468.1_00046
OG0000019	L63545.1_00068	MF599468.1_00117
OG0000020	L63545.1_00030	MF599468.1_00122
OG0000021	L63545.1_00110	MF599468.1_00009
OG0000022	L63545.1_00054	MF599468.1_00171
OG0000023	L63545.1_00056	MF599468.1_00154
OG0000024	L63545.1_00002	MF599468.1_00039
OG0000120	L63545.1_00005	MF599468.1_00096
OG0000120	L63545.1_00051	MF599468.1_00036
OG0000137	L63545.1_00092	MF599468.1_00002
OG0000138	L63545.1_00016	MF599468.1_00027
OG0000151	L63545.1_00018	MF599468.1_00060
OG0000153	L63545.1_00055	MF599468.1_00156, MF599468.1_00066
OG0000155	L63545.1_00023	MF599468.1_00051
OG0000160	L63545.1_00091	MF599468.1_00089, MF599468.1_00108
OG0000167	L63545.1_00012	MF599468.1_00074
OG0000171	L63545.1_00106	MF599468.1_00006
OG0000194	L63545.1_00082	MF599468.1_00062
