Orthogroup	L63545.1	MK689685.1
OG0000000	L63545.1_00007	MK689685.1_00029
OG0000001	L63545.1_00079	MK689685.1_00007
OG0000003	L63545.1_00035	MK689685.1_00008
OG0000004	L63545.1_00076	MK689685.1_00015
OG0000005	L63545.1_00108	MK689685.1_00028
OG0000006	L63545.1_00093	MK689685.1_00075
OG0000007	L63545.1_00090	MK689685.1_00089
OG0000008	L63545.1_00001	MK689685.1_00110
OG0000009	L63545.1_00024	MK689685.1_00111
OG0000010	L63545.1_00043	MK689685.1_00005
OG0000011	L63545.1_00071	MK689685.1_00021
OG0000012	L63545.1_00098	MK689685.1_00030
OG0000013	L63545.1_00072	MK689685.1_00032
OG0000014	L63545.1_00013	MK689685.1_00034
OG0000015	L63545.1_00004	MK689685.1_00054
OG0000016	L63545.1_00069	MK689685.1_00061
OG0000017	L63545.1_00009	MK689685.1_00085
OG0000018	L63545.1_00073	MK689685.1_00086
OG0000019	L63545.1_00068	MK689685.1_00105
OG0000020	L63545.1_00030	MK689685.1_00118
OG0000021	L63545.1_00110	MK689685.1_00119
OG0000022	L63545.1_00054	MK689685.1_00043
OG0000023	L63545.1_00056	MK689685.1_00094
OG0000024	L63545.1_00002	MK689685.1_00108
OG0000026	L63545.1_00058	MK689685.1_00087
OG0000027	L63545.1_00003	MK689685.1_00046
