Orthogroup	MN562489.1	L63545.1
OG0000000	MN562489.1_00102	L63545.1_00007
OG0000001	MN562489.1_00080	L63545.1_00079
OG0000003	MN562489.1_00081	L63545.1_00035
OG0000004	MN562489.1_00087	L63545.1_00076
OG0000005	MN562489.1_00099	L63545.1_00108
OG0000006	MN562489.1_00116	L63545.1_00093
OG0000007	MN562489.1_00052	L63545.1_00090
OG0000008	MN562489.1_00060	L63545.1_00001
OG0000009	MN562489.1_00059	L63545.1_00024
OG0000010	MN562489.1_00124	L63545.1_00043
OG0000011	MN562489.1_00096	L63545.1_00071
OG0000012	MN562489.1_00012	L63545.1_00098
OG0000013	MN562489.1_00011	L63545.1_00072
OG0000014	MN562489.1_00008	L63545.1_00013
OG0000015	MN562489.1_00038	L63545.1_00004
OG0000016	MN562489.1_00128	L63545.1_00069
OG0000017	MN562489.1_00046	L63545.1_00009
OG0000018	MN562489.1_00047	L63545.1_00073
OG0000019	MN562489.1_00063	L63545.1_00068
OG0000020	MN562489.1_00058	L63545.1_00030
OG0000021	MN562489.1_00133	L63545.1_00110
OG0000022	MN562489.1_00023	L63545.1_00054
OG0000023	MN562489.1_00056	L63545.1_00056
OG0000024	MN562489.1_00062	L63545.1_00002
OG0000026	MN562489.1_00049	L63545.1_00058
OG0000027	MN562489.1_00026	L63545.1_00003
OG0000146	MN562489.1_00136	L63545.1_00085
OG0000156	MN562489.1_00101	L63545.1_00087
