Orthogroup	MN562489.1	NC_005946.1
OG0000000	MN562489.1_00102	NC_005946.1_00010
OG0000001	MN562489.1_00080	NC_005946.1_00091
OG0000003	MN562489.1_00081	NC_005946.1_00053
OG0000004	MN562489.1_00087	NC_005946.1_00057
OG0000005	MN562489.1_00099	NC_005946.1_00095
OG0000006	MN562489.1_00116	NC_005946.1_00042
OG0000007	MN562489.1_00052	NC_005946.1_00002
OG0000008	MN562489.1_00060	NC_005946.1_00028
OG0000009	MN562489.1_00059	NC_005946.1_00092
OG0000010	MN562489.1_00124	NC_005946.1_00038
OG0000011	MN562489.1_00096	NC_005946.1_00060
OG0000012	MN562489.1_00012	NC_005946.1_00083
OG0000013	MN562489.1_00011	NC_005946.1_00087
OG0000014	MN562489.1_00008	NC_005946.1_00061
OG0000015	MN562489.1_00038	NC_005946.1_00022
OG0000016	MN562489.1_00128	NC_005946.1_00011
OG0000017	MN562489.1_00046	NC_005946.1_00094
OG0000018	MN562489.1_00047	NC_005946.1_00082
OG0000019	MN562489.1_00063	NC_005946.1_00023
OG0000020	MN562489.1_00058	NC_005946.1_00016
OG0000021	MN562489.1_00133	NC_005946.1_00021
OG0000022	MN562489.1_00023	NC_005946.1_00089
OG0000023	MN562489.1_00056	NC_005946.1_00014
OG0000024	MN562489.1_00062	NC_005946.1_00086
OG0000026	MN562489.1_00049	NC_005946.1_00049
OG0000027	MN562489.1_00026	NC_005946.1_00085
OG0000146	MN562489.1_00136	NC_005946.1_00052
OG0000191	MN562489.1_00074	NC_005946.1_00007
