Orthogroup	MN562489.1	HF920637.1
OG0000000	MN562489.1_00102	HF920637.1_00129, HF920637.1_00164
OG0000001	MN562489.1_00080	HF920637.1_00143
OG0000003	MN562489.1_00081	HF920637.1_00059
OG0000004	MN562489.1_00087	HF920637.1_00159
OG0000005	MN562489.1_00099	HF920637.1_00176, HF920637.1_00175
OG0000006	MN562489.1_00116	HF920637.1_00121
OG0000007	MN562489.1_00052	HF920637.1_00172
OG0000008	MN562489.1_00060	HF920637.1_00025
OG0000009	MN562489.1_00059	HF920637.1_00153
OG0000010	MN562489.1_00124	HF920637.1_00041
OG0000011	MN562489.1_00096	HF920637.1_00001
OG0000012	MN562489.1_00012	HF920637.1_00031
OG0000013	MN562489.1_00011	HF920637.1_00073
OG0000014	MN562489.1_00008	HF920637.1_00213
OG0000015	MN562489.1_00038	HF920637.1_00017
OG0000016	MN562489.1_00128	HF920637.1_00217
OG0000017	MN562489.1_00046	HF920637.1_00197
OG0000018	MN562489.1_00047	HF920637.1_00079
OG0000019	MN562489.1_00063	HF920637.1_00111
OG0000020	MN562489.1_00058	HF920637.1_00108
OG0000021	MN562489.1_00133	HF920637.1_00152
OG0000022	MN562489.1_00023	HF920637.1_00033
OG0000023	MN562489.1_00056	HF920637.1_00221
OG0000024	MN562489.1_00062	HF920637.1_00203
OG0000025	MN562489.1_00113	HF920637.1_00156
OG0000028	MN562489.1_00126	HF920637.1_00127
OG0000149	MN562489.1_00069	HF920637.1_00123
OG0000187	MN562489.1_00115	HF920637.1_00013
