HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK637631	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N44.HOG0000000	OG0000000	n15																					OM037668.1_00010 hypothetical protein			OM037668.1_00010 hypothetical protein																									OM037668.1_00010 hypothetical protein														
N44.HOG0000001	OG0000000	n18																					SDDV_ORF011 Tripartite motif-containing protein			SDDV_ORF011 Tripartite motif-containing protein																									SDDV_ORF011 Tripartite motif-containing protein														
N44.HOG0000002	OG0000001	n0																					SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein			OM037668.1_00050 hypothetical protein																									OM037668.1_00050 hypothetical protein														
N44.HOG0000003	OG0000002	n0																					OM037668.1_00031 hypothetical protein			OM037668.1_00031 hypothetical protein																									OM037668.1_00031 hypothetical protein														
N44.HOG0000004	OG0000003	n0																					OM037668.1_00013 hypothetical protein			OM037668.1_00013 hypothetical protein																									OM037668.1_00013 hypothetical protein														
N44.HOG0000005	OG0000004	n0																					OM037668.1_00057 Major capsid protein			OM037668.1_00057 Major capsid protein																									OM037668.1_00057 Major capsid protein														
N44.HOG0000006	OG0000005	n0																					OM037668.1_00056 hypothetical protein			OM037668.1_00056 hypothetical protein																									OM037668.1_00056 hypothetical protein														
N44.HOG0000007	OG0000006	n0																					OM037668.1_00005 hypothetical protein			OM037668.1_00005 hypothetical protein																									OM037668.1_00005 hypothetical protein														
N44.HOG0000008	OG0000007	n0																					OM037668.1_00047 hypothetical protein			OM037668.1_00047 hypothetical protein																									OM037668.1_00047 hypothetical protein														
N44.HOG0000009	OG0000008	n0																					OM037668.1_00046 hypothetical protein			OM037668.1_00046 hypothetical protein																									OM037668.1_00046 hypothetical protein														
N44.HOG0000010	OG0000009	n0																					OM037668.1_00045 hypothetical protein			OM037668.1_00045 hypothetical protein																									OM037668.1_00045 hypothetical protein														
N44.HOG0000011	OG0000010	n0																					OM037668.1_00041 hypothetical protein			OM037668.1_00041 hypothetical protein																									OM037668.1_00041 hypothetical protein														
N44.HOG0000012	OG0000011	n0																					OM037668.1_00040 hypothetical protein			OM037668.1_00040 hypothetical protein																									OM037668.1_00040 hypothetical protein														
N44.HOG0000013	OG0000012	n0																					OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain			OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain																									OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain														
N44.HOG0000014	OG0000013	n0																					SDDV_ORF038 Flap endonuclease			SDDV_ORF038 Flap endonuclease																									SDDV_ORF038 Flap endonuclease														
