Orthogroup	OL310752.1	OM037668.1
OG0000000	OL310752.1_00108, OL310752.1_00113	OM037668.1_00035
OG0000001	OL310752.1_00018	OM037668.1_00056
OG0000002	OL310752.1_00019	OM037668.1_00057
OG0000003	OL310752.1_00012	OM037668.1_00050
OG0000004	OL310752.1_00060	OM037668.1_00076
OG0000005	OL310752.1_00036	OM037668.1_00080
OG0000006	OL310752.1_00078	OM037668.1_00021
OG0000007	OL310752.1_00042	OM037668.1_00084
OG0000008	OL310752.1_00107	OM037668.1_00038
OG0000009	OL310752.1_00116	OM037668.1_00077
OG0000010	OL310752.1_00077, OL310752.1_00120	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	OL310752.1_00027	OM037668.1_00009
OG0000012	OL310752.1_00004	OM037668.1_00041
OG0000013	OL310752.1_00096	OM037668.1_00098
OG0000014	OL310752.1_00071	OM037668.1_00078
OG0000015	OL310752.1_00072	OM037668.1_00004
OG0000016	OL310752.1_00045	OM037668.1_00089
OG0000017	OL310752.1_00085	OM037668.1_00124
OG0000018	OL310752.1_00065	OM037668.1_00073
OG0000019	OL310752.1_00046	OM037668.1_00090
OG0000020	OL310752.1_00114	OM037668.1_00123
OG0000021	OL310752.1_00021	OM037668.1_00013
OG0000022	OL310752.1_00083	OM037668.1_00127
OG0000023	OL310752.1_00052	OM037668.1_00113
OG0000024	OL310752.1_00104	OM037668.1_00064
OG0000025	OL310752.1_00028	OM037668.1_00024
OG0000026	OL310752.1_00062	OM037668.1_00074
OG0000027	OL310752.1_00044	OM037668.1_00087
OG0000028	OL310752.1_00087	OM037668.1_00110
OG0000029	OL310752.1_00025	OM037668.1_00095
OG0000030	OL310752.1_00074	OM037668.1_00030
OG0000031	OL310752.1_00020	OM037668.1_00011
OG0000032	OL310752.1_00124	OM037668.1_00019
OG0000033	OL310752.1_00043	OM037668.1_00086
OG0000034	OL310752.1_00073	OM037668.1_00028
OG0000035	OL310752.1_00014	OM037668.1_00051
OG0000036	OL310752.1_00013	OM037668.1_00005
OG0000037	OL310752.1_00007	OM037668.1_00046
OG0000038	OL310752.1_00006	OM037668.1_00045
OG0000039	OL310752.1_00003	OM037668.1_00040
OG0000040	OL310752.1_00002	OM037668.1_00048
OG0000041	OL310752.1_00115	OM037668.1_00003
OG0000042	OL310752.1_00082	OM037668.1_00122
OG0000043	OL310752.1_00088	OM037668.1_00106
OG0000044	OL310752.1_00089	OM037668.1_00105
OG0000045	OL310752.1_00094	OM037668.1_00100
OG0000046	OL310752.1_00095	OM037668.1_00099
OG0000047	OL310752.1_00022	OM037668.1_00097
OG0000048	OL310752.1_00023	OM037668.1_00085
OG0000049	OL310752.1_00024	OM037668.1_00096
OG0000050	OL310752.1_00121	OM037668.1_00020
OG0000051	OL310752.1_00123	OM037668.1_00018
OG0000052	OL310752.1_00049	OM037668.1_00130
OG0000053	OL310752.1_00037	OM037668.1_00081
OG0000054	OL310752.1_00035	OM037668.1_00032
OG0000055	OL310752.1_00112	OM037668.1_00033
OG0000056	OL310752.1_00061	OM037668.1_00075
OG0000057	OL310752.1_00119	OM037668.1_00079
OG0000058	OL310752.1_00067	OM037668.1_00134
OG0000059	OL310752.1_00075	OM037668.1_00031
OG0000060	OL310752.1_00016	OM037668.1_00054
OG0000061	OL310752.1_00008	OM037668.1_00047
OG0000062	OL310752.1_00041	OM037668.1_00083
OG0000096	OL310752.1_00069	OM037668.1_00091
OG0000114	OL310752.1_00005	OM037668.1_00042
