Orthogroup	OL310752.1	MG570131.1
OG0000000	OL310752.1_00108, OL310752.1_00113	MG570131.1_00031
OG0000001	OL310752.1_00018	MG570131.1_00009
OG0000002	OL310752.1_00019	MG570131.1_00008, MG570131.1_00007
OG0000003	OL310752.1_00012	MG570131.1_00016
OG0000004	OL310752.1_00060	MG570131.1_00108
OG0000005	OL310752.1_00036	MG570131.1_00092
OG0000006	OL310752.1_00078	MG570131.1_00073
OG0000007	OL310752.1_00042	MG570131.1_00087
OG0000008	OL310752.1_00107	MG570131.1_00030
OG0000009	OL310752.1_00116	MG570131.1_00110
OG0000010	OL310752.1_00077, OL310752.1_00120	MG570131.1_00074
OG0000011	OL310752.1_00027	MG570131.1_00063
OG0000012	OL310752.1_00004	MG570131.1_00023
OG0000013	OL310752.1_00096	MG570131.1_00057
OG0000014	OL310752.1_00071	MG570131.1_00118
OG0000015	OL310752.1_00072	MG570131.1_00119
OG0000016	OL310752.1_00045	MG570131.1_00084
OG0000017	OL310752.1_00085	MG570131.1_00034
OG0000018	OL310752.1_00065	MG570131.1_00103
OG0000019	OL310752.1_00046	MG570131.1_00083
OG0000020	OL310752.1_00114	MG570131.1_00032
OG0000021	OL310752.1_00021	MG570131.1_00005
OG0000022	OL310752.1_00083	MG570131.1_00036
OG0000023	OL310752.1_00052	MG570131.1_00045
OG0000024	OL310752.1_00104	MG570131.1_00027
OG0000025	OL310752.1_00028	MG570131.1_00064
OG0000026	OL310752.1_00062	MG570131.1_00106
OG0000027	OL310752.1_00044	MG570131.1_00085
OG0000028	OL310752.1_00087	MG570131.1_00048
OG0000029	OL310752.1_00025	MG570131.1_00061
OG0000030	OL310752.1_00074	MG570131.1_00001
OG0000031	OL310752.1_00020	MG570131.1_00006
OG0000032	OL310752.1_00124	MG570131.1_00078
OG0000033	OL310752.1_00043	MG570131.1_00086
OG0000034	OL310752.1_00073	MG570131.1_00120
OG0000035	OL310752.1_00014	MG570131.1_00014
OG0000036	OL310752.1_00013	MG570131.1_00015
OG0000037	OL310752.1_00007	MG570131.1_00020
OG0000038	OL310752.1_00006	MG570131.1_00021
OG0000039	OL310752.1_00003	MG570131.1_00024
OG0000040	OL310752.1_00002	MG570131.1_00025
OG0000041	OL310752.1_00115	MG570131.1_00033
OG0000042	OL310752.1_00082	MG570131.1_00037
OG0000043	OL310752.1_00088	MG570131.1_00049
OG0000044	OL310752.1_00089	MG570131.1_00050
OG0000045	OL310752.1_00094	MG570131.1_00055
OG0000046	OL310752.1_00095	MG570131.1_00056
OG0000047	OL310752.1_00022	MG570131.1_00058
OG0000048	OL310752.1_00023	MG570131.1_00059
OG0000049	OL310752.1_00024	MG570131.1_00060
OG0000050	OL310752.1_00121	MG570131.1_00075
OG0000051	OL310752.1_00123	MG570131.1_00079
OG0000052	OL310752.1_00049	MG570131.1_00080
OG0000053	OL310752.1_00037	MG570131.1_00091
OG0000054	OL310752.1_00035	MG570131.1_00093
OG0000055	OL310752.1_00112	MG570131.1_00096
OG0000056	OL310752.1_00061	MG570131.1_00107
OG0000057	OL310752.1_00119	MG570131.1_00112
OG0000058	OL310752.1_00067	MG570131.1_00114
OG0000059	OL310752.1_00075	MG570131.1_00002
OG0000060	OL310752.1_00016	MG570131.1_00011
OG0000061	OL310752.1_00008	MG570131.1_00019
OG0000062	OL310752.1_00041	MG570131.1_00088
OG0000063	OL310752.1_00081	MG570131.1_00070
OG0000064	OL310752.1_00010	MG570131.1_00018
OG0000065	OL310752.1_00058	MG570131.1_00039
OG0000066	OL310752.1_00054	MG570131.1_00043
OG0000067	OL310752.1_00050, OL310752.1_00086	MG570131.1_00047
OG0000068	OL310752.1_00031	MG570131.1_00066
OG0000069	OL310752.1_00033	MG570131.1_00095
OG0000070	OL310752.1_00111	MG570131.1_00097
OG0000071	OL310752.1_00117, OL310752.1_00118	MG570131.1_00111
OG0000072	OL310752.1_00017	MG570131.1_00010
OG0000073	OL310752.1_00015	MG570131.1_00013
OG0000074	OL310752.1_00011	MG570131.1_00017
OG0000075	OL310752.1_00084	MG570131.1_00035
OG0000076	OL310752.1_00059	MG570131.1_00038
OG0000077	OL310752.1_00056	MG570131.1_00041
OG0000078	OL310752.1_00055	MG570131.1_00042
OG0000079	OL310752.1_00051	MG570131.1_00046
OG0000080	OL310752.1_00090	MG570131.1_00051
OG0000081	OL310752.1_00091	MG570131.1_00052
OG0000082	OL310752.1_00092	MG570131.1_00053
OG0000083	OL310752.1_00026	MG570131.1_00062
OG0000084	OL310752.1_00029	MG570131.1_00065
OG0000085	OL310752.1_00099	MG570131.1_00067
OG0000086	OL310752.1_00100	MG570131.1_00068
OG0000087	OL310752.1_00080	MG570131.1_00071
OG0000088	OL310752.1_00079	MG570131.1_00072
OG0000089	OL310752.1_00048	MG570131.1_00081
OG0000090	OL310752.1_00047	MG570131.1_00082
OG0000091	OL310752.1_00034	MG570131.1_00094
OG0000092	OL310752.1_00110	MG570131.1_00098
OG0000093	OL310752.1_00098	MG570131.1_00101
OG0000094	OL310752.1_00064	MG570131.1_00104
OG0000095	OL310752.1_00063	MG570131.1_00105
OG0000096	OL310752.1_00069	MG570131.1_00116
OG0000097	OL310752.1_00076	MG570131.1_00003
OG0000099	OL310752.1_00057	MG570131.1_00040
OG0000100	OL310752.1_00053	MG570131.1_00044
OG0000101	OL310752.1_00101	MG570131.1_00069
OG0000102	OL310752.1_00122	MG570131.1_00076
OG0000103	OL310752.1_00109	MG570131.1_00099
OG0000104	OL310752.1_00066	MG570131.1_00102
OG0000106	OL310752.1_00106	MG570131.1_00029
OG0000108	OL310752.1_00070	MG570131.1_00117
OG0000110	OL310752.1_00068	MG570131.1_00115
OG0000111	OL310752.1_00038	MG570131.1_00090
OG0000127	OL310752.1_00001	MG570131.1_00026
