Orthogroup	OQ475017.1	AF303741.1
OG0000000	OQ475017.1_00030	AF303741.1_00079, AF303741.1_00152
OG0000001	OQ475017.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	OQ475017.1_00007	AF303741.1_00125
OG0000003	OQ475017.1_00015	AF303741.1_00035
OG0000004	OQ475017.1_00110	AF303741.1_00080
OG0000005	OQ475017.1_00093	AF303741.1_00129
OG0000006	OQ475017.1_00073	AF303741.1_00132
OG0000007	OQ475017.1_00087	AF303741.1_00149
OG0000008	OQ475017.1_00029	AF303741.1_00165
OG0000009	OQ475017.1_00112	AF303741.1_00176
OG0000011	OQ475017.1_00062	AF303741.1_00006
OG0000012	OQ475017.1_00022	AF303741.1_00011
OG0000013	OQ475017.1_00056	AF303741.1_00023
OG0000014	OQ475017.1_00120	AF303741.1_00026
OG0000015	OQ475017.1_00121	AF303741.1_00046
OG0000016	OQ475017.1_00084	AF303741.1_00062
OG0000017	OQ475017.1_00033	AF303741.1_00063
OG0000018	OQ475017.1_00105	AF303741.1_00081
OG0000019	OQ475017.1_00083	AF303741.1_00137
OG0000020	OQ475017.1_00031	AF303741.1_00156
OG0000021	OQ475017.1_00005	AF303741.1_00158
OG0000022	OQ475017.1_00035	AF303741.1_00189
OG0000023	OQ475017.1_00044	AF303741.1_00154
OG0000024	OQ475017.1_00027	AF303741.1_00168
OG0000025	OQ475017.1_00063	AF303741.1_00051
