Orthogroup	AY521625	HF920637
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	AY521625.1_00054 AY521625.1 - hypothetical protein translation	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000005	AY521625.1_00064 AY521625.1 - Major capsid protein translation	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000006	AY521625.1_00110 AY521625.1 - hypothetical protein translation	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	AY521625.1_00074 AY521625.1 - hypothetical protein translation	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000008	AY521625.1_00059 AY521625.1 - hypothetical protein translation	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	AY521625.1_00051 AY521625.1 - hypothetical protein translation	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000019	AY521625.1_00073 AY521625.1 - hypothetical protein translation	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000020	AY521625.1_00100 AY521625.1 - hypothetical protein translation	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	AY521625.1_00069 AY521625.1 - hypothetical protein translation	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000022	AY521625.1_00062 AY521625.1 - hypothetical protein translation	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000126	AY521625.1_00036 AY521625.1 - hypothetical protein translation	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000134	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000140	AY521625.1_00133 AY521625.1 - hypothetical protein translation	HF920637.1_00060 HF920637.1 - putative helicase D10 translation
OG0000149	AY521625.1_00044 AY521625.1 - Deoxyuridine	HF920637.1_00150 HF920637.1 - hypothetical protein translation
OG0000155	AY521625.1_00126 AY521625.1 - hypothetical protein translation	HF920637.1_00072 HF920637.1 - hypothetical protein translation
OG0000246	AY521625.1_00142 AY521625.1 - hypothetical protein translation	HF920637.1_00015 HF920637.1 - hypothetical protein translation
