Orthogroup	AY521625	AF303741
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	AF303741.1_00047 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	AF303741.1_00035 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	AF303741.1_00165 hypothetical protein
OG0000004	AY521625.1_00054 AY521625.1 - hypothetical protein translation	AF303741.1_00158 hypothetical protein
OG0000005	AY521625.1_00064 AY521625.1 - Major capsid protein translation	AF303741.1_00125 Major capsid protein
OG0000006	AY521625.1_00110 AY521625.1 - hypothetical protein translation	AF303741.1_00011 hypothetical protein
OG0000007	AY521625.1_00074 AY521625.1 - hypothetical protein translation	AF303741.1_00156 hypothetical protein
OG0000008	AY521625.1_00059 AY521625.1 - hypothetical protein translation	AF303741.1_00063 hypothetical protein
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	AF303741.1_00189 DNA-directed RNA polymerase subunit 2
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	AF303741.1_00023 hypothetical protein
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	AF303741.1_00006 hypothetical protein
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	AF303741.1_00137 hypothetical protein
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	AF303741.1_00149 hypothetical protein
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	AF303741.1_00081 hypothetical protein
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	AF303741.1_00026 hypothetical protein
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	AF303741.1_00046 hypothetical protein
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain
OG0000018	AY521625.1_00051 AY521625.1 - hypothetical protein translation	AF303741.1_00132 hypothetical protein
OG0000019	AY521625.1_00073 AY521625.1 - hypothetical protein translation	AF303741.1_00062 hypothetical protein
OG0000020	AY521625.1_00100 AY521625.1 - hypothetical protein translation	AF303741.1_00129 hypothetical protein
OG0000021	AY521625.1_00069 AY521625.1 - hypothetical protein translation	AF303741.1_00080 hypothetical protein
OG0000022	AY521625.1_00062 AY521625.1 - hypothetical protein translation	AF303741.1_00154 FAD-linked sulfhydryl oxidase
OG0000126	AY521625.1_00036 AY521625.1 - hypothetical protein translation	AF303741.1_00170 hypothetical protein
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	AF303741.1_00126 hypothetical protein
OG0000134	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	AF303741.1_00031 hypothetical protein
OG0000140	AY521625.1_00133 AY521625.1 - hypothetical protein translation	AF303741.1_00072 hypothetical protein
OG0000149	AY521625.1_00044 AY521625.1 - Deoxyuridine	AF303741.1_00192 hypothetical protein
OG0000165	AY521625.1_00014 AY521625.1 - hypothetical protein translation	AF303741.1_00105 hypothetical protein
