Orthogroup	AY521625	KF938901
OG0000000	AY521625.1_00091 AY521625.1 - hypothetical protein translation	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	AY521625.1_00077 AY521625.1 - hypothetical protein translation	KF938901.1_00080 hypothetical protein
OG0000002	AY521625.1_00130 AY521625.1 - hypothetical protein translation	KF938901.1_00005 hypothetical protein
OG0000003	AY521625.1_00085 AY521625.1 - hypothetical protein translation	KF938901.1_00067 hypothetical protein
OG0000004	AY521625.1_00054 AY521625.1 - hypothetical protein translation	KF938901.1_00124 hypothetical protein
OG0000005	AY521625.1_00064 AY521625.1 - Major capsid protein translation	KF938901.1_00044 Major capsid protein
OG0000006	AY521625.1_00110 AY521625.1 - hypothetical protein translation	KF938901.1_00054 hypothetical protein
OG0000007	AY521625.1_00074 AY521625.1 - hypothetical protein translation	KF938901.1_00047 hypothetical protein
OG0000008	AY521625.1_00059 AY521625.1 - hypothetical protein translation	KF938901.1_00123 hypothetical protein
OG0000009	AY521625.1_00065 AY521625.1 - DNA-directed RNA polymerase subunit 2 translation	KF938901.1_00022 DNA-directed RNA polymerase subunit 2, KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000010	AY521625.1_00048 AY521625.1 - hypothetical protein translation	KF938901.1_00060 hypothetical protein
OG0000011	AY521625.1_00053 AY521625.1 - hypothetical protein translation	KF938901.1_00092 hypothetical protein
OG0000012	AY521625.1_00086 AY521625.1 - hypothetical protein translation	KF938901.1_00012 hypothetical protein
OG0000013	AY521625.1_00016 AY521625.1 - hypothetical protein translation	KF938901.1_00053 hypothetical protein
OG0000014	AY521625.1_00047 AY521625.1 - hypothetical protein translation	KF938901.1_00025 hypothetical protein
OG0000015	AY521625.1_00115 AY521625.1 - hypothetical protein translation	KF938901.1_00074 hypothetical protein
OG0000016	AY521625.1_00035 AY521625.1 - hypothetical protein translation	KF938901.1_00095 hypothetical protein
OG0000017	AY521625.1_00042 AY521625.1 - hypothetical protein translation	KF938901.1_00094 Ribonucleoside-diphosphate reductase small chain
OG0000018	AY521625.1_00051 AY521625.1 - hypothetical protein translation	KF938901.1_00072 hypothetical protein
OG0000019	AY521625.1_00073 AY521625.1 - hypothetical protein translation	KF938901.1_00046 hypothetical protein
OG0000020	AY521625.1_00100 AY521625.1 - hypothetical protein translation	KF938901.1_00125 hypothetical protein
OG0000021	AY521625.1_00069 AY521625.1 - hypothetical protein translation	KF938901.1_00043 hypothetical protein
OG0000132	AY521625.1_00098 AY521625.1 - hypothetical protein translation	KF938901.1_00086 hypothetical protein
OG0000134	AY521625.1_00056 AY521625.1 - Ribonucleoside-diphosphate reductase large subunit translation	KF938901.1_00048 Ribonucleoside-diphosphate reductase large subunit
OG0000140	AY521625.1_00133 AY521625.1 - hypothetical protein translation	KF938901.1_00069 hypothetical protein
OG0000149	AY521625.1_00044 AY521625.1 - Deoxyuridine	KF938901.1_00118 Deoxyuridine
OG0000152	AY521625.1_00018 AY521625.1 - hypothetical protein translation	KF938901.1_00027 hypothetical protein
OG0000165	AY521625.1_00014 AY521625.1 - hypothetical protein translation	KF938901.1_00101 hypothetical protein
OG0000170	AY521625.1_00005 AY521625.1 - hypothetical protein translation	KF938901.1_00017 hypothetical protein
OG0000172	AY521625.1_00140 AY521625.1 - hypothetical protein translation	KF938901.1_00009 hypothetical protein
