Orthogroup	GQ273492	OQ475017
OG0000000	GQ273492.1_00030 hypothetical protein	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation
OG0000001	GQ273492.1_00008 hypothetical protein	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation
OG0000002	GQ273492.1_00015 hypothetical protein	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation
OG0000003	GQ273492.1_00029 hypothetical protein	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation
OG0000004	GQ273492.1_00005 hypothetical protein	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation
OG0000005	GQ273492.1_00007 Major capsid protein	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation
OG0000006	GQ273492.1_00022 hypothetical protein	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation
OG0000007	GQ273492.1_00031 hypothetical protein	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation
OG0000008	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	GQ273492.1_00056 hypothetical protein	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation
OG0000011	GQ273492.1_00063 hypothetical protein	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation
OG0000012	GQ273492.1_00083 hypothetical protein	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation
OG0000013	GQ273492.1_00087 hypothetical protein	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation
OG0000014	GQ273492.1_00103 hypothetical protein	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation
OG0000015	GQ273492.1_00118 hypothetical protein	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation
OG0000016	GQ273492.1_00119 hypothetical protein	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	GQ273492.1_00073 hypothetical protein	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation
OG0000019	GQ273492.1_00084 hypothetical protein	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation
OG0000020	GQ273492.1_00092 hypothetical protein	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation
OG0000021	GQ273492.1_00108 hypothetical protein	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation
OG0000022	GQ273492.1_00044 hypothetical protein	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation
OG0000023	GQ273492.1_00110 hypothetical protein	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation
OG0000024	GQ273492.1_00064 hypothetical protein	OQ475017.1_00063 OQ475017.1 - hypothetical protein translation
OG0000025	GQ273492.1_00085 hypothetical protein	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation
OG0000026	GQ273492.1_00106 hypothetical protein	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation
OG0000027	GQ273492.1_00047 hypothetical protein	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation
OG0000029	GQ273492.1_00057 hypothetical protein	OQ475017.1_00057 OQ475017.1 - hypothetical protein translation
OG0000030	GQ273492.1_00001 hypothetical protein	OQ475017.1 - 00001 translation OQ475017.1 - 00001 translation
OG0000031	GQ273492.1_00002 hypothetical protein	OQ475017.1_00002 OQ475017.1 - hypothetical protein translation
OG0000032	GQ273492.1_00014 hypothetical protein	OQ475017.1_00014 OQ475017.1 - hypothetical protein translation
OG0000033	GQ273492.1_00018 hypothetical protein	OQ475017.1_00018 OQ475017.1 - hypothetical protein translation
OG0000034	GQ273492.1_00019 hypothetical protein	OQ475017.1_00019 OQ475017.1 - hypothetical protein translation
OG0000035	GQ273492.1_00020 hypothetical protein	OQ475017.1_00020 OQ475017.1 - hypothetical protein translation
OG0000036	GQ273492.1_00023 hypothetical protein	OQ475017.1_00023 OQ475017.1 - hypothetical protein translation
OG0000037	GQ273492.1_00048 hypothetical protein	OQ475017.1_00048 OQ475017.1 - hypothetical protein translation
OG0000038	GQ273492.1_00049 hypothetical protein	OQ475017.1_00049 OQ475017.1 - hypothetical protein translation
OG0000039	GQ273492.1_00054 hypothetical protein	OQ475017.1_00054 OQ475017.1 - hypothetical protein translation
OG0000040	GQ273492.1_00055 hypothetical protein	OQ475017.1_00055 OQ475017.1 - hypothetical protein translation
OG0000041	GQ273492.1_00060 hypothetical protein	OQ475017.1_00059 OQ475017.1 - hypothetical protein translation
OG0000042	GQ273492.1_00075 hypothetical protein	OQ475017.1_00075 OQ475017.1 - hypothetical protein translation
OG0000043	GQ273492.1_00078 hypothetical protein	OQ475017.1_00078 OQ475017.1 - hypothetical protein translation
OG0000044	GQ273492.1_00079 hypothetical protein	OQ475017.1_00079 OQ475017.1 - hypothetical protein translation
OG0000045	GQ273492.1_00080 hypothetical protein	OQ475017.1_00080 OQ475017.1 - hypothetical protein translation
OG0000046	GQ273492.1_00086 hypothetical protein	OQ475017.1_00086 OQ475017.1 - hypothetical protein translation
OG0000047	GQ273492.1_00091 hypothetical protein	OQ475017.1_00092 OQ475017.1 - hypothetical protein translation
OG0000048	GQ273492.1_00093 hypothetical protein	OQ475017.1_00094 OQ475017.1 - hypothetical protein translation
OG0000049	GQ273492.1_00096 hypothetical protein	OQ475017.1_00097 OQ475017.1 - hypothetical protein translation
OG0000050	GQ273492.1_00107 hypothetical protein	OQ475017.1_00109 OQ475017.1 - hypothetical protein translation
OG0000051	GQ273492.1_00112 hypothetical protein	OQ475017.1_00114 OQ475017.1 - hypothetical protein translation
OG0000052	GQ273492.1_00116 hypothetical protein	OQ475017.1_00118 OQ475017.1 - hypothetical protein translation
OG0000053	GQ273492.1_00013 hypothetical protein	OQ475017.1_00013 OQ475017.1 - hypothetical protein translation
OG0000054	GQ273492.1_00024 hypothetical protein	OQ475017.1_00024 OQ475017.1 - hypothetical protein translation
OG0000055	GQ273492.1_00036 hypothetical protein	OQ475017.1_00036 OQ475017.1 - hypothetical protein translation
OG0000058	GQ273492.1_00094 hypothetical protein	OQ475017.1_00095 OQ475017.1 - hypothetical protein translation
OG0000059	GQ273492.1_00114 hypothetical protein	OQ475017.1_00116 OQ475017.1 - hypothetical protein translation
OG0000060	GQ273492.1_00120 hypothetical protein	OQ475017.1_00122 OQ475017.1 - hypothetical protein translation
OG0000062	GQ273492.1_00032 hypothetical protein	OQ475017.1_00032 OQ475017.1 - hypothetical protein translation
OG0000063	GQ273492.1_00095 hypothetical protein	OQ475017.1_00096 OQ475017.1 - hypothetical protein translation
OG0000064	GQ273492.1_00066 hypothetical protein	OQ475017.1_00065 OQ475017.1 - hypothetical protein translation
OG0000065	GQ273492.1_00009 hypothetical protein	OQ475017.1_00009 OQ475017.1 - hypothetical protein translation
OG0000066	GQ273492.1_00012 hypothetical protein	OQ475017.1_00012 OQ475017.1 - hypothetical protein translation
OG0000067	ORF14R_refgen ORF14R	OQ475017.1_00017 OQ475017.1 - hypothetical protein translation
