Orthogroup	GQ273492	NC_005946
OG0000000	GQ273492.1_00030 hypothetical protein	NC_005946.1_00010 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	NC_005946.1_00053 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	NC_005946.1_00057 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	NC_005946.1_00095 hypothetical protein
OG0000004	GQ273492.1_00005 hypothetical protein	NC_005946.1_00038 hypothetical protein
OG0000005	GQ273492.1_00007 Major capsid protein	NC_005946.1_00091 Major capsid protein
OG0000006	GQ273492.1_00022 hypothetical protein	NC_005946.1_00060 hypothetical protein
OG0000007	GQ273492.1_00031 hypothetical protein	NC_005946.1_00083 hypothetical protein
OG0000008	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	NC_005946.1_00087 hypothetical protein
OG0000009	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit
OG0000010	GQ273492.1_00056 hypothetical protein	NC_005946.1_00022 hypothetical protein
OG0000011	GQ273492.1_00063 hypothetical protein	NC_005946.1_00011 hypothetical protein
OG0000012	GQ273492.1_00083 hypothetical protein	NC_005946.1_00094 hypothetical protein
OG0000013	GQ273492.1_00087 hypothetical protein	NC_005946.1_00002 hypothetical protein
OG0000014	GQ273492.1_00103 hypothetical protein	NC_005946.1_00023 hypothetical protein
OG0000015	GQ273492.1_00118 hypothetical protein	NC_005946.1_00016 hypothetical protein
OG0000016	GQ273492.1_00119 hypothetical protein	NC_005946.1_00021 hypothetical protein
OG0000017	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	NC_005946.1_00067 hypothetical protein
OG0000018	GQ273492.1_00073 hypothetical protein	NC_005946.1_00042 hypothetical protein
OG0000019	GQ273492.1_00084 hypothetical protein	NC_005946.1_00082 hypothetical protein
OG0000020	GQ273492.1_00092 hypothetical protein	NC_005946.1_00014 hypothetical protein
OG0000021	GQ273492.1_00108 hypothetical protein	NC_005946.1_00028 hypothetical protein
OG0000022	GQ273492.1_00044 hypothetical protein	NC_005946.1_00089 hypothetical protein
OG0000025	GQ273492.1_00085 hypothetical protein	NC_005946.1_00049 hypothetical protein
OG0000026	GQ273492.1_00106 hypothetical protein	NC_005946.1_00086 hypothetical protein
OG0000027	GQ273492.1_00047 hypothetical protein	NC_005946.1_00085 hypothetical protein
OG0000120	GQ273492.1_00077 hypothetical protein	NC_005946.1_00006 hypothetical protein
