Description,Scientific Name,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
"Frog virus 3 strain Z936, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,97848,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959617.1?report=genbank&log$=nucltop&blast_rank=1&RID=6EEWYW8Z016"",""MK959617.1"")"
"Frog virus 3 strain Z920, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,104603,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959613.1?report=genbank&log$=nucltop&blast_rank=2&RID=6EEWYW8Z016"",""MK959613.1"")"
"Frog virus 3 strain Z930, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,104245,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959615.1?report=genbank&log$=nucltop&blast_rank=3&RID=6EEWYW8Z016"",""MK959615.1"")"
"Frog virus 3, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,105903,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/NC_005946.1?report=genbank&log$=nucltop&blast_rank=4&RID=6EEWYW8Z016"",""NC_005946.1"")"
"Frog virus 3 strain Z933, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,105037,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959616.1?report=genbank&log$=nucltop&blast_rank=5&RID=6EEWYW8Z016"",""MK959616.1"")"
"Frog virus 3 strain Z916, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,99213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959612.1?report=genbank&log$=nucltop&blast_rank=6&RID=6EEWYW8Z016"",""MK959612.1"")"
"Yeast/bacterial shuttle vector pBAC-FrogVirus3 DNA, complete sequence",Yeast/bacterial shuttle vector pBAC-FrogVirus3,1927,1927,100%,0.0,97.22,113893,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830690.1?report=genbank&log$=nucltop&blast_rank=7&RID=6EEWYW8Z016"",""LC830690.1"")"
"Frog virus 3 isolate Rana, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,105895,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/PQ109930.1?report=genbank&log$=nucltop&blast_rank=8&RID=6EEWYW8Z016"",""PQ109930.1"")"
"Frog virus 3 FV3-FUB DNA, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,106146,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/LC830689.1?report=genbank&log$=nucltop&blast_rank=9&RID=6EEWYW8Z016"",""LC830689.1"")"
"Frog virus 3 strain Z942, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,103673,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959620.1?report=genbank&log$=nucltop&blast_rank=10&RID=6EEWYW8Z016"",""MK959620.1"")"
"Frog virus 3 isolate SSME, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,105070,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KJ175144.1?report=genbank&log$=nucltop&blast_rank=11&RID=6EEWYW8Z016"",""KJ175144.1"")"
"Frog virus 3 strain Z938, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,104549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959618.1?report=genbank&log$=nucltop&blast_rank=12&RID=6EEWYW8Z016"",""MK959618.1"")"
"Frog virus 3 strain Z897, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,104643,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959611.1?report=genbank&log$=nucltop&blast_rank=13&RID=6EEWYW8Z016"",""MK959611.1"")"
"Frog virus 3 strain Z929, complete genome",Frog virus 3,1927,1927,100%,0.0,97.22,104566,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959614.1?report=genbank&log$=nucltop&blast_rank=14&RID=6EEWYW8Z016"",""MK959614.1"")"
"Frog virus 3 strain Z994, complete genome",Frog virus 3,1925,1925,100%,0.0,97.01,104788,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959621.1?report=genbank&log$=nucltop&blast_rank=15&RID=6EEWYW8Z016"",""MK959621.1"")"
"Frog virus 3 strain Z939, complete genome",Frog virus 3,1924,1924,100%,0.0,97.11,104416,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959619.1?report=genbank&log$=nucltop&blast_rank=16&RID=6EEWYW8Z016"",""MK959619.1"")"
"Frog virus 3 strain KEN5, partial genome",Frog virus 3,1920,1920,100%,0.0,96.91,102577,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959605.1?report=genbank&log$=nucltop&blast_rank=17&RID=6EEWYW8Z016"",""MK959605.1"")"
"Frog virus 3 strain KTC3, complete genome",Frog virus 3,1919,1919,100%,0.0,97.01,89528,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959606.1?report=genbank&log$=nucltop&blast_rank=18&RID=6EEWYW8Z016"",""MK959606.1"")"
"Frog virus 3 strain Z595, complete genome",Frog virus 3,1919,1919,100%,0.0,97.01,95569,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959610.1?report=genbank&log$=nucltop&blast_rank=19&RID=6EEWYW8Z016"",""MK959610.1"")"
"Frog virus 3 strain KTW1, complete genome",Frog virus 3,1919,1919,100%,0.0,97.01,106586,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959607.1?report=genbank&log$=nucltop&blast_rank=20&RID=6EEWYW8Z016"",""MK959607.1"")"
"Frog virus 3 strain Z377, complete genome",Frog virus 3,1919,1919,100%,0.0,97.01,104680,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959608.1?report=genbank&log$=nucltop&blast_rank=21&RID=6EEWYW8Z016"",""MK959608.1"")"
"Frog virus 3 strain Z582, complete genome",Frog virus 3,1919,1919,100%,0.0,97.01,106549,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959609.1?report=genbank&log$=nucltop&blast_rank=22&RID=6EEWYW8Z016"",""MK959609.1"")"
"Frog virus 3 isolate RC15021, complete genome",Frog virus 3,1919,1919,100%,0.0,96.70,104968,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/KX397570.1?report=genbank&log$=nucltop&blast_rank=23&RID=6EEWYW8Z016"",""KX397570.1"")"
"Frog virus 3 strain KEN1, partial genome",Frog virus 3,1918,1918,100%,0.0,96.80,103148,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MK959604.1?report=genbank&log$=nucltop&blast_rank=24&RID=6EEWYW8Z016"",""MK959604.1"")"
"Frog virus 3 strain Rana-Bra-17, complete genome",Frog virus 3,1917,1917,100%,0.0,96.70,104744,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT578298.1?report=genbank&log$=nucltop&blast_rank=25&RID=6EEWYW8Z016"",""MT578298.1"")"
