Orthogroup	GQ273492	PQ335173_PQ335174
OG0000000	GQ273492.1_00030 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	GQ273492.1_00008 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	GQ273492.1_00015 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	GQ273492.1_00029 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	GQ273492.1_00110 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	GQ273492.1_00005 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	GQ273492.1_00007 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	GQ273492.1_00022 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	GQ273492.1_00031 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation
OG0000010	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000011	GQ273492.1_00056 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	GQ273492.1_00063 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	GQ273492.1_00083 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	GQ273492.1_00087 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	GQ273492.1_00103 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	GQ273492.1_00118 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	GQ273492.1_00119 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	GQ273492.1_00073 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	GQ273492.1_00084 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	GQ273492.1_00092 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	GQ273492.1_00108 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	GQ273492.1_00044 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	GQ273492.1_00064 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	GQ273492.1_00085 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	GQ273492.1_00106 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	GQ273492.1_00047 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000029	GQ273492.1_00057 hypothetical protein	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	GQ273492.1_00048 hypothetical protein	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	GQ273492.1_00001 hypothetical protein	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	GQ273492.1_00002 hypothetical protein	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	GQ273492.1_00014 hypothetical protein	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	GQ273492.1_00018 hypothetical protein	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	GQ273492.1_00019 hypothetical protein	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	GQ273492.1_00020 hypothetical protein	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	GQ273492.1_00023 hypothetical protein	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	GQ273492.1_00049 hypothetical protein	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	GQ273492.1_00054 hypothetical protein	PQ335173_PQ335174_00086 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	GQ273492.1_00055 hypothetical protein	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	GQ273492.1_00060 hypothetical protein	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
OG0000042	GQ273492.1_00075 hypothetical protein	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
OG0000043	GQ273492.1_00078 hypothetical protein	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
OG0000044	GQ273492.1_00079 hypothetical protein	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
OG0000045	GQ273492.1_00080 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000046	GQ273492.1_00086 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000047	GQ273492.1_00091 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000048	GQ273492.1_00093 hypothetical protein	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000049	GQ273492.1_00096 hypothetical protein	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000050	GQ273492.1_00107 hypothetical protein	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation
OG0000051	GQ273492.1_00112 hypothetical protein	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation
OG0000052	GQ273492.1_00116 hypothetical protein	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation
OG0000053	GQ273492.1_00089 hypothetical protein	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
OG0000056	GQ273492.1_00024 hypothetical protein	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
OG0000057	GQ273492.1_00036 hypothetical protein	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
OG0000058	GQ273492.1_00088 hypothetical protein	PQ335173_PQ335174_00055 PQ335173_PQ335174 - hypothetical protein translation
OG0000061	GQ273492.1_00120 hypothetical protein	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
OG0000063	GQ273492.1_00095 hypothetical protein	PQ335173_PQ335174_00034 PQ335173_PQ335174 - hypothetical protein translation
OG0000065	GQ273492.1_00066 hypothetical protein	PQ335173_PQ335174_00074 PQ335173_PQ335174 - hypothetical protein translation
OG0000066	GQ273492.1_00009 hypothetical protein	PQ335173_PQ335174_00016 PQ335173_PQ335174 - hypothetical protein translation
OG0000067	GQ273492.1_00012 hypothetical protein	PQ335173_PQ335174_00013 PQ335173_PQ335174 - hypothetical protein translation
OG0000068	ORF14R_refgen ORF14R	PQ335173_PQ335174_00008 PQ335173_PQ335174 - hypothetical protein translation
OG0000069	GQ273492.1_00040 hypothetical protein	PQ335173_PQ335174_00099 PQ335173_PQ335174 - hypothetical protein translation
OG0000070	GQ273492.1_00041 hypothetical protein	PQ335173_PQ335174_00098 PQ335173_PQ335174 - hypothetical protein translation
OG0000071	GQ273492.1_00043 hypothetical protein	PQ335173_PQ335174_00096 PQ335173_PQ335174 - hypothetical protein translation
OG0000072	GQ273492.1_00045 hypothetical protein	PQ335173_PQ335174_00094 PQ335173_PQ335174 - hypothetical protein translation
OG0000073	GQ273492.1_00046 hypothetical protein	PQ335173_PQ335174_00093 PQ335173_PQ335174 - hypothetical protein translation
OG0000074	GQ273492.1_00050 hypothetical protein	PQ335173_PQ335174_00089 PQ335173_PQ335174 - hypothetical protein translation
OG0000075	GQ273492.1_00051 hypothetical protein	PQ335173_PQ335174_00088 PQ335173_PQ335174 - hypothetical protein translation
OG0000076	GQ273492.1_00062 hypothetical protein	PQ335173_PQ335174_00079 PQ335173_PQ335174 - hypothetical protein translation
OG0000077	GQ273492.1_00067 hypothetical protein	PQ335173_PQ335174_00073 PQ335173_PQ335174 - hypothetical protein translation
OG0000078	GQ273492.1_00074 hypothetical protein	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation
OG0000079	GQ273492.1_00081 hypothetical protein	PQ335173_PQ335174_00062 PQ335173_PQ335174 - hypothetical protein translation
OG0000080	ORF78R_refgen ORF78R	TSIV_ORF50 PQ335173_PQ335174 - hypothetical protein translation
OG0000081	GQ273492.1_00097 hypothetical protein	PQ335173_PQ335174_00036 PQ335173_PQ335174 - hypothetical protein translation
OG0000082	GQ273492.1_00099 hypothetical protein	PQ335173_PQ335174_00037 PQ335173_PQ335174 - hypothetical protein translation
OG0000085	GQ273492.1_00105 hypothetical protein	PQ335173_PQ335174_00040 PQ335173_PQ335174 - hypothetical protein translation
OG0000089	GQ273492.1_00037 hypothetical protein	PQ335173_PQ335174_00102 PQ335173_PQ335174 - hypothetical protein translation
OG0000091	GQ273492.1_00068 hypothetical protein	PQ335173_PQ335174_00072 PQ335173_PQ335174 - hypothetical protein translation
OG0000092	GQ273492.1_00070 hypothetical protein	PQ335173_PQ335174_00070 PQ335173_PQ335174 - hypothetical protein translation
OG0000106	GQ273492.1_00038 hypothetical protein	PQ335173_PQ335174_00101 PQ335173_PQ335174 - hypothetical protein translation
OG0000108	GQ273492.1_00117 hypothetical protein	PQ335173_PQ335174_00029 PQ335173_PQ335174 - hypothetical protein translation
OG0000109	GQ273492.1_00061 hypothetical protein	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
OG0000111	GQ273492.1_00111 hypothetical protein	TSIV_ORF39 PQ335173_PQ335174 - hypothetical protein translation
OG0000114	GQ273492.1_00059 hypothetical protein	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation
OG0000115	GQ273492.1_00016 hypothetical protein	PQ335173_PQ335174_00009 PQ335173_PQ335174 - hypothetical protein translation
OG0000118	laminin-type epidermal growth factor-like protein_refgen laminin-type epidermal growth factor-like protein	TSIV_ORF1 PQ335173_PQ335174 - ORF1 gene translation
