Orthogroup	GQ273492	LS484712
OG0000000	GQ273492.1_00030 hypothetical protein	LS484712.1_00114 hypothetical protein
OG0000001	GQ273492.1_00008 hypothetical protein	LS484712.1_00095 hypothetical protein
OG0000002	GQ273492.1_00015 hypothetical protein	LS484712.1_00187 hypothetical protein
OG0000003	GQ273492.1_00029 hypothetical protein	LS484712.1_00248 hypothetical protein
OG0000004	GQ273492.1_00110 hypothetical protein	LS484712.1_00130 hypothetical protein
OG0000005	GQ273492.1_00005 hypothetical protein	LS484712.1_00096 hypothetical protein
OG0000006	GQ273492.1_00007 Major capsid protein	LS484712.1_00142 Major capsid protein
OG0000007	GQ273492.1_00022 hypothetical protein	LS484712.1_00200 hypothetical protein
OG0000008	GQ273492.1_00031 hypothetical protein	LS484712.1_00188 hypothetical protein
OG0000009	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase	LS484712.1_00240 hypothetical protein
OG0000010	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein	LS484712.1_00194 DNA-directed RNA polymerase subunit 2
OG0000011	GQ273492.1_00056 hypothetical protein	LS484712.1_00143 hypothetical protein
OG0000012	GQ273492.1_00063 hypothetical protein	LS484712.1_00203 hypothetical protein
OG0000013	GQ273492.1_00083 hypothetical protein	LS484712.1_00192 hypothetical protein
OG0000014	GQ273492.1_00087 hypothetical protein	LS484712.1_00050 hypothetical protein
OG0000015	GQ273492.1_00103 hypothetical protein	LS484712.1_00053 hypothetical protein
OG0000016	GQ273492.1_00118 hypothetical protein	LS484712.1_00202 hypothetical protein
OG0000017	GQ273492.1_00119 hypothetical protein	LS484712.1_00135 hypothetical protein
OG0000018	GQ273492.1_00027 Ribonucleoside-diphosphate reductase small chain	LS484712.1_00149 Ribonucleoside-diphosphate reductase small chain
OG0000019	GQ273492.1_00073 hypothetical protein	LS484712.1_00040 hypothetical protein
OG0000023	GQ273492.1_00044 hypothetical protein	LS484712.1_00117 hypothetical protein
OG0000065	GQ273492.1_00066 hypothetical protein	LS484712.1_00002 hypothetical protein
