Orthogroup	MG570132	MK098185
OG0000000	MG570132.1_00031 hypothetical protein	MK689686.1_00029 hypothetical protein
OG0000001	MG570132.1_00009 hypothetical protein	MK689686.1_00008 hypothetical protein
OG0000002	MG570132.1_00016 hypothetical protein	MK689686.1_00014 hypothetical protein
OG0000003	MG570132.1_00030 hypothetical protein	MK689686.1_00028 hypothetical protein
OG0000004	MG570132.1_00110 hypothetical protein	MK689686.1_00112 hypothetical protein
OG0000005	MG570132.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein
OG0000006	MG570132.1_00008 Major capsid protein	MK689686.1_00007 Major capsid protein
OG0000007	MG570132.1_00023 hypothetical protein	MK689686.1_00021 hypothetical protein
OG0000008	MG570132.1_00032 hypothetical protein	MK689686.1_00030 hypothetical protein
OG0000009	MG570132.1_00034 hypothetical protein	MK689686.1_00032 hypothetical protein
OG0000010	MG570132.1_00036 DNA-directed RNA polymerase subunit 2	MK689686.1_00034 DNA-directed RNA polymerase subunit 2
OG0000011	MG570132.1_00057 hypothetical protein	MK689686.1_00056 hypothetical protein
OG0000012	MG570132.1_00063 hypothetical protein	MK689686.1_00062 hypothetical protein
OG0000013	MG570132.1_00083 hypothetical protein	MK689686.1_00084 hypothetical protein
OG0000014	MG570132.1_00087 hypothetical protein	MK689686.1_00088 hypothetical protein
OG0000015	MG570132.1_00103 hypothetical protein	MK689686.1_00105 hypothetical protein
OG0000016	MG570132.1_00118 hypothetical protein	MK689686.1_00120 hypothetical protein
OG0000017	MG570132.1_00119 hypothetical protein	MK689686.1_00121 hypothetical protein
OG0000018	MG570132.1_00028 Ribonucleoside-diphosphate reductase small chain	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain
OG0000019	MG570132.1_00073 hypothetical protein	MK689686.1_00074 hypothetical protein
OG0000020	MG570132.1_00084 hypothetical protein	MK689686.1_00085 hypothetical protein
OG0000021	MG570132.1_00092 hypothetical protein	MK689686.1_00093 hypothetical protein
OG0000022	MG570132.1_00108 hypothetical protein	MK689686.1_00110 hypothetical protein
OG0000023	MG570132.1_00045 hypothetical protein	MK689686.1_00043 hypothetical protein
OG0000024	MG570132.1_00006 hypothetical protein	MK689686.1_00006 hypothetical protein
OG0000025	MG570132.1_00064 hypothetical protein	MK689686.1_00063 hypothetical protein
OG0000026	MG570132.1_00085 hypothetical protein	MK689686.1_00086 hypothetical protein
OG0000027	MG570132.1_00106 hypothetical protein	MK689686.1_00108 hypothetical protein
OG0000028	MG570132.1_00048 hypothetical protein	MK689686.1_00046 hypothetical protein
OG0000029	MG570132.1_00058 hypothetical protein	MK689686.1_00057 hypothetical protein
OG0000030	MG570132.1_00049 hypothetical protein	ORF045_refgen ORF045
OG0000031	MG570132.1_00001 hypothetical protein	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein
OG0000032	MG570132.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein
OG0000033	MG570132.1_00015 hypothetical protein	MK689686.1_00013 hypothetical protein
OG0000034	MG570132.1_00019 hypothetical protein	MK689686.1_00017 hypothetical protein
OG0000035	MG570132.1_00020 hypothetical protein	MK689686.1_00018 hypothetical protein
OG0000036	MG570132.1_00021 hypothetical protein	MK689686.1_00019 hypothetical protein
OG0000037	MG570132.1_00024 hypothetical protein	MK689686.1_00022 hypothetical protein
OG0000038	MG570132.1_00050 hypothetical protein	MK689686.1_00049 hypothetical protein
OG0000039	MG570132.1_00055 hypothetical protein	MK689686.1_00054 hypothetical protein
OG0000040	MG570132.1_00056 hypothetical protein	MK689686.1_00055 hypothetical protein
OG0000041	MG570132.1_00060 hypothetical protein	MK689686.1_00059 hypothetical protein
OG0000042	MG570132.1_00075 hypothetical protein	MK689686.1_00076 hypothetical protein
OG0000043	MG570132.1_00078 hypothetical protein	MK689686.1_00079 hypothetical protein
OG0000044	MG570132.1_00079 hypothetical protein	MK689686.1_00080 hypothetical protein
OG0000045	MG570132.1_00080 hypothetical protein	MK689686.1_00081 hypothetical protein
OG0000046	MG570132.1_00086 hypothetical protein	MK689686.1_00087 hypothetical protein
OG0000047	MG570132.1_00091 hypothetical protein	MK689686.1_00092 hypothetical protein
OG0000048	MG570132.1_00093 hypothetical protein	MK689686.1_00094 hypothetical protein
OG0000049	MG570132.1_00096 hypothetical protein	MK689686.1_00097 hypothetical protein
OG0000050	MG570132.1_00107 hypothetical protein	MK689686.1_00109 hypothetical protein
OG0000051	MG570132.1_00112 hypothetical protein	MK689686.1_00114 hypothetical protein
OG0000052	MG570132.1_00116 hypothetical protein	MK689686.1_00118 hypothetical protein
OG0000053	MG570132.1_00089 hypothetical protein	putative RNA binding protein_refgen putative RNA binding protein
OG0000054	MG570132.1_00011 hypothetical protein	MK689686.1_00010 hypothetical protein
OG0000055	MG570132.1_00014 hypothetical protein	MK689686.1_00012 hypothetical protein
OG0000056	MG570132.1_00025 hypothetical protein	MK689686.1_00023 hypothetical protein
OG0000057	MG570132.1_00037 hypothetical protein	MK689686.1_00035 hypothetical protein
OG0000058	MG570132.1_00088 hypothetical protein	MK689686.1_00089 hypothetical protein
OG0000059	MG570132.1_00094 hypothetical protein	MK689686.1_00095 hypothetical protein
OG0000060	MG570132.1_00114 hypothetical protein	MK689686.1_00116 hypothetical protein
OG0000061	MG570132.1_00120 hypothetical protein	MK689686.1_00122 hypothetical protein
OG0000062	MG570132.1_00033 hypothetical protein	MK689686.1_00031 hypothetical protein
