Orthogroup	OL774653.1	AY521625.1
OG0000000	OL774653.1_00051	AY521625.1_00091
OG0000001	OL774653.1_00026	AY521625.1_00077
OG0000002	OL774653.1_00025	AY521625.1_00064
OG0000003	OL774653.1_00032	AY521625.1_00130
OG0000004	OL774653.1_00006	AY521625.1_00069, AY521625.1_00070
OG0000005	OL774653.1_00114	AY521625.1_00100
OG0000006	OL774653.1_00094	AY521625.1_00051
OG0000007	OL774653.1_00108	AY521625.1_00016
OG0000008	OL774653.1_00050	AY521625.1_00085
OG0000009	OL774653.1_00008	AY521625.1_00142
OG0000011	OL774653.1_00082	AY521625.1_00053
OG0000012	OL774653.1_00039	AY521625.1_00110
OG0000013	OL774653.1_00076	AY521625.1_00048
OG0000014	OL774653.1_00016	AY521625.1_00115
OG0000015	OL774653.1_00017	AY521625.1_00035
OG0000016	OL774653.1_00105	AY521625.1_00073
OG0000017	OL774653.1_00054	AY521625.1_00059
OG0000018	OL774653.1_00001	AY521625.1_00047
OG0000019	OL774653.1_00104	AY521625.1_00086
OG0000020	OL774653.1_00052	AY521625.1_00074
OG0000021	OL774653.1_00023	AY521625.1_00054
OG0000022	OL774653.1_00056	AY521625.1_00065
OG0000023	OL774653.1_00065	AY521625.1_00062
OG0000024	OL774653.1_00047	AY521625.1_00042
OG0000026	OL774653.1_00004	AY521625.1_00060
OG0000027	OL774653.1_00106	AY521625.1_00022
OG0000030	OL774653.1_00019	AY521625.1_00004
