Orthogroup	AF303741	AF371960	AY521625	AY532606	AY779031	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	NC_027778	OK042108	OK042109	OL310752	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
OG0000000	AF303741_00079, AF303741_00152	AF371960_00031	AY521625_00091	AY532606_00030	AY779031_00034	AY894343_00029	BD143114_00045	GQ273492_00030	HF920633_00044	HF920637_00129, HF920637_00164	KC244182_00029	KF938901_00126	KT804738_00029	KX643370_00131	LS484712_00114	MF599468_00056, MF599468_00057	MG570131_00031	MG570132_00031	MK098185_00033	MK098186_00030	MK098187_00033	MK689685_00029	MK689686_00029	MN432490_00032	MN562489_00102	MN803438_00124	MT521409_00103	MT798582_00076	MT926123_00032	MT986830_00033	MW139932_00033	NC_005946_00010	NC_027778_00083	OK042108_00047	OK042109_00047	OL310752_00108, OL310752_00113	OL774653_00051	OL774654_00031	OL774655_00034	OM037668_00035	ON075463_00029	ON740976_00030	ON743042_00031	OP009387_00030	OQ475017_00030
OG0000001	AF303741_00047, AF303741_00200	AF371960_00008	AY521625_00077	AY532606_00007	AY779031_00008	AY894343_00008	BD143114_00067	GQ273492_00008	HF920633_00069	HF920637_00059	KC244182_00008	KF938901_00080	KT804738_00008	KX643370_00098, KX643370_00103	LS484712_00095	MF599468_00163	MG570131_00009	MG570132_00009	MK098185_00008	MK098186_00008	MK098187_00008	MK689685_00008	MK689686_00008	MN432490_00008	MN562489_00081	MN803438_00056, MN803438_00101	MT521409_00082	MT798582_00018	MT926123_00008	MT986830_00008	MW139932_00008	NC_005946_00053	NC_027778_00062	OK042108_00068	OK042109_00068	OL310752_00018	OL774653_00026	OL774654_00008	OL774655_00008	OM037668_00056	ON075463_00008	ON740976_00008	ON743042_00008	OP009387_00008	OQ475017_00008
OG0000002	AF303741_00125	AF371960_00007	AY521625_00064	AY532606_00006	AY779031_00007	AY894343_00007	BD143114_00068	GQ273492_00007	HF920633_00073	HF920637_00143	KC244182_00007	KF938901_00044	KT804738_00007	KX643370_00051	LS484712_00142	MF599468_00152	MG570131_00007, MG570131_00008	MG570132_00007, MG570132_00008	MK098185_00007	MK098186_00007	MK098187_00007	MK689685_00007	MK689686_00007	MN432490_00007	MN562489_00080	MN803438_00023	MT521409_00081	MT798582_00019	MT926123_00007	MT986830_00007	MW139932_00007	NC_005946_00091	NC_027778_00061	OK042108_00069	OK042109_00069	OL310752_00019	OL774653_00025	OL774654_00007	OL774655_00007	OM037668_00057	ON075463_00007	ON740976_00007	ON743042_00007	OP009387_00007	OQ475017_00007
OG0000003	AF303741_00176	AF371960_00113	AY521625_00142	AY532606_00119, AY532606_00120	AY779031_00122	AY894343_00115	BD143114_00085	GQ273492_00110	HF920633_00122	HF920637_00015, HF920637_00153	KC244182_00114	KF938901_00114	KT804738_00111	KX643370_00107	LS484712_00130	MF599468_00075	MG570131_00110	MG570132_00110	MK098185_00114	MK098186_00111	MK098187_00114	MK689685_00111	MK689686_00112	MN432490_00114	MN562489_00059	MN803438_00109	MT521409_00060	MT798582_00036	MT926123_00113	MT986830_00117	MW139932_00115	NC_005946_00092	NC_027778_00039	OK042108_00085	OK042109_00086	OL310752_00116	OL774653_00008	OL774654_00113	OL774655_00115	OM037668_00077	ON075463_00111	ON740976_00113	ON743042_00115	OP009387_00113	OQ475017_00112
OG0000004	AF303741_00035	AF371960_00015	AY521625_00130	AY532606_00014	AY779031_00015, AY779031_00016	AY894343_00015	BD143114_00060	GQ273492_00015	HF920633_00127	HF920637_00159	KC244182_00014	KF938901_00005	KT804738_00015	KX643370_00120	LS484712_00187	MF599468_00011	MG570131_00016	MG570132_00016	MK098185_00015	MK098186_00015	MK098187_00015	MK689685_00015	MK689686_00014	MN432490_00015	MN562489_00087	MN803438_00113	MT521409_00088	MT798582_00012	MT926123_00015	MT986830_00015	MW139932_00015	NC_005946_00057	NC_027778_00068	OK042108_00062	OK042109_00061	OL310752_00012	OL774653_00032	OL774654_00015	OL774655_00015	OM037668_00050	ON075463_00014	ON740976_00014	ON743042_00015	OP009387_00015	OQ475017_00015
OG0000005	AF303741_00080	AF371960_00112	AY521625_00069, AY521625_00070	AY532606_00116, AY532606_00117	AY779031_00121	AY894343_00113	BD143114_00087	GQ273492_00108	HF920633_00079	HF920637_00025	KC244182_00112	KF938901_00043	KT804738_00109	KX643370_00135		MF599468_00092	MG570131_00108	MG570132_00108	MK098185_00112	MK098186_00109	MK098187_00112	MK689685_00110	MK689686_00110	MN432490_00113	MN562489_00060	MN803438_00104	MT521409_00061	MT798582_00037	MT926123_00112	MT986830_00116	MW139932_00113	NC_005946_00028	NC_027778_00040	OK042108_00087	OK042109_00088	OL310752_00060	OL774653_00006	OL774654_00111	OL774655_00113	OM037668_00076	ON075463_00109	ON740976_00111	ON743042_00113	OP009387_00112	OQ475017_00110
OG0000006	AF303741_00129	AF371960_00096	AY521625_00100	AY532606_00098, AY532606_00099	AY779031_00103	AY894343_00096	BD143114_00104	GQ273492_00092	HF920633_00085	HF920637_00221	KC244182_00095	KF938901_00125	KT804738_00092	KX643370_00055	LS484712_00256	MF599468_00154	MG570131_00092	MG570132_00092	MK098185_00095	MK098186_00092	MK098187_00095	MK689685_00094	MK689686_00093	MN432490_00097	MN562489_00056	MN803438_00071	MT521409_00057	MT798582_00111	MT926123_00096	MT986830_00100	MW139932_00096	NC_005946_00014	NC_027778_00036	OK042108_00104	OK042109_00105	OL310752_00036	OL774653_00114	OL774654_00094	OL774655_00096	OM037668_00080	ON075463_00092	ON740976_00094	ON743042_00096	OP009387_00095	OQ475017_00093
OG0000007	AF303741_00132	AF371960_00078	AY521625_00051	AY532606_00078	AY779031_00083, AY779031_00084	AY894343_00076	BD143114_00001	GQ273492_00073	HF920633_00025	HF920637_00121	KC244182_00076	KF938901_00072	KT804738_00072	KX643370_00004	LS484712_00040	MF599468_00010	MG570131_00073	MG570132_00073	MK098185_00076	MK098186_00073	MK098187_00076	MK689685_00075	MK689686_00074	MN432490_00078	MN562489_00116	MN803438_00142	MT521409_00117	MT798582_00088	MT926123_00079	MT986830_00080	MW139932_00077	NC_005946_00042	NC_027778_00098	OK042108_00001	OK042109_00001	OL310752_00078	OL774653_00094	OL774654_00075	OL774655_00078	OM037668_00021	ON075463_00073	ON740976_00075	ON743042_00077	OP009387_00077	OQ475017_00073
OG0000008	AF303741_00149	AF371960_00092	AY521625_00016	AY532606_00093	AY779031_00098	AY894343_00090	BD143114_00109	GQ273492_00087	HF920633_00091	HF920637_00172	KC244182_00090	KF938901_00053	KT804738_00086	KX643370_00061	LS484712_00050, LS484712_00234	MF599468_00174	MG570131_00087	MG570132_00087	MK098185_00090	MK098186_00087	MK098187_00090	MK689685_00089	MK689686_00088	MN432490_00092	MN562489_00052	MN803438_00027	MT521409_00053	MT798582_00116	MT926123_00093	MT986830_00094	MW139932_00091	NC_005946_00002	NC_027778_00032	OK042108_00109	OK042109_00110	OL310752_00042	OL774653_00108	OL774654_00089	OL774655_00091	OM037668_00084	ON075463_00087	ON740976_00089	ON743042_00091	OP009387_00091	OQ475017_00087
OG0000009	AF303741_00165	AF371960_00030	AY521625_00085	AY532606_00029	AY779031_00033	AY894343_00028	BD143114_00046	GQ273492_00029	HF920633_00043	HF920637_00175, HF920637_00176	KC244182_00028	KF938901_00067	KT804738_00028	KX643370_00137	LS484712_00248	MF599468_00030	MG570131_00030	MG570132_00030	MK098185_00032	MK098186_00029	MK098187_00032	MK689685_00028	MK689686_00028	MN432490_00031	MN562489_00099	MN803438_00106	MT521409_00100	MT798582_00077	MT926123_00031	MT986830_00032	MW139932_00032	NC_005946_00095	NC_027778_00080	OK042108_00048	OK042109_00048	OL310752_00107	OL774653_00050	OL774654_00030	OL774655_00033	OM037668_00038	ON075463_00028	ON740976_00029	ON743042_00030	OP009387_00029	OQ475017_00029
