Orthogroup	AF303741	AF371960	AY521625	AY532606	AY779031	AY894343	BD143114	GQ273492	HF920633	HF920637	KC244182	KF938901	KT804738	KX643370	LS484712	MF599468	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MN803438	MT521409	MT798582	MT926123	MT986830	MW139932	NC_005946	NC_027778	OK042108	OK042109	OL310752	OL774653	OL774654	OL774655	OM037668	ON075463	ON740976	ON743042	OP009387	OQ475017
OG0000489	AF303741_00013																																												
OG0000490	AF303741_00019																																												
OG0000491	AF303741_00021																																												
OG0000492	AF303741_00022																																												
OG0000493	AF303741_00029																																												
OG0000494	AF303741_00030																																												
OG0000495	AF303741_00032																																												
OG0000496	AF303741_00033																																												
OG0000497	AF303741_00036																																												
OG0000498	AF303741_00037																																												
OG0000499	AF303741_00038																																												
OG0000500	AF303741_00039																																												
OG0000501	AF303741_00041																																												
OG0000502	AF303741_00054																																												
OG0000503	AF303741_00057																																												
OG0000504	AF303741_00058																																												
OG0000505	AF303741_00059																																												
OG0000506	AF303741_00071																																												
OG0000507	AF303741_00073																																												
OG0000508	AF303741_00075																																												
OG0000509	AF303741_00082																																												
OG0000510	AF303741_00084																																												
OG0000511	AF303741_00103																																												
OG0000512	AF303741_00108																																												
OG0000513	AF303741_00110																																												
OG0000514	AF303741_00114																																												
OG0000515	AF303741_00123																																												
OG0000516	AF303741_00127																																												
OG0000517	AF303741_00128																																												
OG0000518	AF303741_00133																																												
OG0000519	AF303741_00134																																												
OG0000520	AF303741_00138																																												
OG0000521	AF303741_00144																																												
OG0000522	AF303741_00153																																												
OG0000523	AF303741_00164																																												
OG0000524	AF303741_00171																																												
OG0000525	AF303741_00188																																												
OG0000526	AF303741_00191																																												
OG0000527	AF303741_00194																																												
OG0000528			AY521625_00001																																										
OG0000529			AY521625_00006																																										
OG0000530			AY521625_00007																																										
OG0000531			AY521625_00009																																										
OG0000532			AY521625_00012																																										
OG0000533			AY521625_00017																																										
OG0000534			AY521625_00019																																										
OG0000535			AY521625_00021																																										
OG0000536			AY521625_00024																																										
OG0000537			AY521625_00028																																										
OG0000538			AY521625_00031																																										
OG0000539			AY521625_00034																																										
OG0000540			AY521625_00037																																										
OG0000541			AY521625_00038																																										
OG0000542			AY521625_00040																																										
OG0000543			AY521625_00041																																										
OG0000544			AY521625_00045																																										
OG0000545			AY521625_00049																																										
OG0000546			AY521625_00050																																										
OG0000547			AY521625_00058																																										
OG0000548			AY521625_00067																																										
OG0000549			AY521625_00071																																										
OG0000550			AY521625_00083																																										
OG0000551			AY521625_00084																																										
OG0000552			AY521625_00087																																										
OG0000553			AY521625_00092																																										
OG0000554			AY521625_00093																																										
OG0000555			AY521625_00095																																										
OG0000556			AY521625_00096																																										
OG0000557			AY521625_00099																																										
OG0000558			AY521625_00101																																										
OG0000559			AY521625_00103																																										
OG0000560			AY521625_00112																																										
OG0000561			AY521625_00114																																										
OG0000562			AY521625_00120																																										
OG0000563			AY521625_00121																																										
OG0000564			AY521625_00122																																										
OG0000565			AY521625_00129																																										
OG0000566			AY521625_00132																																										
OG0000567			AY521625_00134																																										
OG0000568			AY521625_00135																																										
OG0000569			AY521625_00136																																										
OG0000570			AY521625_00138																																										
OG0000571			AY521625_00139																																										
OG0000572			AY521625_00141																																										
OG0000573				AY532606_00041																																									
OG0000574				AY532606_00044																																									
OG0000575				AY532606_00092																																									
OG0000576					AY779031_00030																																								
OG0000577					AY779031_00078																																								
OG0000578					AY779031_00108																																								
OG0000579					AY779031_00109																																								
OG0000580								GQ273492_00010																																					
OG0000581								GQ273492_00069																																					
OG0000582									HF920633_00009																																				
OG0000583									HF920633_00010																																				
OG0000584									HF920633_00011																																				
OG0000585									HF920633_00028																																				
OG0000586									HF920633_00038																																				
OG0000587									HF920633_00054																																				
OG0000588									HF920633_00068																																				
OG0000589									HF920633_00071																																				
OG0000590									HF920633_00072																																				
OG0000591									HF920633_00076																																				
OG0000592									HF920633_00077																																				
OG0000593									HF920633_00083																																				
OG0000594									HF920633_00084																																				
OG0000595									HF920633_00093																																				
OG0000596									HF920633_00108																																				
OG0000597									HF920633_00109																																				
OG0000598									HF920633_00124																																				
OG0000599									HF920633_00126																																				
OG0000600									HF920633_00133																																				
OG0000601									HF920633_00148																																				
OG0000602									HF920633_00150																																				
OG0000603									HF920633_00152																																				
OG0000604									HF920633_00154																																				
OG0000605									HF920633_00168																																				
OG0000606									HF920633_00173																																				
OG0000607										HF920637_00003																																			
OG0000608										HF920637_00004																																			
OG0000609										HF920637_00010																																			
OG0000610										HF920637_00016																																			
OG0000611										HF920637_00026																																			
OG0000612										HF920637_00028																																			
OG0000613										HF920637_00042																																			
OG0000614										HF920637_00044																																			
OG0000615										HF920637_00052																																			
OG0000616										HF920637_00054																																			
OG0000617										HF920637_00068																																			
OG0000618										HF920637_00075																																			
OG0000619										HF920637_00080																																			
OG0000620										HF920637_00086																																			
OG0000621										HF920637_00087																																			
OG0000622										HF920637_00089																																			
OG0000623										HF920637_00091																																			
OG0000624										HF920637_00092																																			
OG0000625										HF920637_00097																																			
OG0000626										HF920637_00098																																			
OG0000627										HF920637_00099																																			
OG0000628										HF920637_00101																																			
OG0000629										HF920637_00106																																			
OG0000630										HF920637_00109																																			
OG0000631										HF920637_00110																																			
OG0000632										HF920637_00112																																			
OG0000633										HF920637_00114																																			
OG0000634										HF920637_00117																																			
OG0000635										HF920637_00118																																			
OG0000636										HF920637_00119																																			
OG0000637										HF920637_00128																																			
OG0000638										HF920637_00132																																			
OG0000639										HF920637_00137																																			
OG0000640										HF920637_00141																																			
OG0000641										HF920637_00145																																			
OG0000642										HF920637_00146																																			
OG0000643										HF920637_00161																																			
OG0000644										HF920637_00163																																			
OG0000645										HF920637_00165																																			
OG0000646										HF920637_00166																																			
OG0000647										HF920637_00182																																			
OG0000648										HF920637_00189																																			
OG0000649										HF920637_00190																																			
OG0000650										HF920637_00196																																			
OG0000651										HF920637_00205																																			
OG0000652										HF920637_00210																																			
OG0000653										HF920637_00220																																			
OG0000654												KF938901_00019																																	
OG0000655												KF938901_00021																																	
OG0000656												KF938901_00022																																	
OG0000657												KF938901_00024																																	
OG0000658												KF938901_00033																																	
OG0000659												KF938901_00036																																	
OG0000660												KF938901_00039																																	
OG0000661												KF938901_00052																																	
OG0000662												KF938901_00055																																	
OG0000663												KF938901_00056																																	
OG0000664												KF938901_00058																																	
OG0000665												KF938901_00064																																	
OG0000666												KF938901_00076																																	
OG0000667												KF938901_00081																																	
OG0000668												KF938901_00089																																	
OG0000669												KF938901_00097																																	
OG0000670												KF938901_00111																																	
OG0000671												KF938901_00120																																	
OG0000672												KF938901_00131																																	
OG0000673												KF938901_00138																																	
OG0000674												KF938901_00142																																	
OG0000675												KF938901_00143																																	
OG0000676												KF938901_00145																																	
OG0000677												KF938901_00147																																	
OG0000678												KF938901_00156																																	
OG0000679														KX643370_00025																															
OG0000680														KX643370_00028																															
OG0000681														KX643370_00033																															
OG0000682														KX643370_00070																															
OG0000683														KX643370_00109																															
OG0000684														KX643370_00110																															
OG0000685														KX643370_00111																															
OG0000686														KX643370_00115																															
OG0000687														KX643370_00130																															
OG0000688														KX643370_00136																															
OG0000689														KX643370_00138																															
OG0000690														KX643370_00143																															
OG0000691														KX643370_00144																															
OG0000692															LS484712_00001																														
OG0000693															LS484712_00003																														
OG0000694															LS484712_00004																														
OG0000695															LS484712_00005																														
OG0000696															LS484712_00007																														
OG0000697															LS484712_00011																														
OG0000698															LS484712_00012																														
OG0000699															LS484712_00013																														
OG0000700															LS484712_00014																														
OG0000701															LS484712_00015																														
OG0000702															LS484712_00016																														
OG0000703															LS484712_00017																														
OG0000704															LS484712_00018																														
OG0000705															LS484712_00019																														
OG0000706															LS484712_00020																														
OG0000707															LS484712_00021																														
OG0000708															LS484712_00022																														
OG0000709															LS484712_00023																														
OG0000710															LS484712_00029																														
OG0000711															LS484712_00033																														
OG0000712															LS484712_00035																														
OG0000713															LS484712_00036																														
OG0000714															LS484712_00037																														
OG0000715															LS484712_00038																														
OG0000716															LS484712_00039																														
OG0000717															LS484712_00041																														
OG0000718															LS484712_00043																														
OG0000719															LS484712_00044																														
OG0000720															LS484712_00045																														
OG0000721															LS484712_00046																														
OG0000722															LS484712_00047																														
OG0000723															LS484712_00049																														
OG0000724															LS484712_00051																														
OG0000725															LS484712_00054																														
OG0000726															LS484712_00055																														
OG0000727															LS484712_00058																														
OG0000728															LS484712_00059																														
OG0000729															LS484712_00061																														
OG0000730															LS484712_00062																														
OG0000731															LS484712_00066																														
OG0000732															LS484712_00067																														
OG0000733															LS484712_00071																														
OG0000734															LS484712_00073																														
OG0000735															LS484712_00074																														
OG0000736															LS484712_00075																														
OG0000737															LS484712_00076																														
OG0000738															LS484712_00077																														
OG0000739															LS484712_00078																														
OG0000740															LS484712_00079																														
OG0000741															LS484712_00080																														
OG0000742															LS484712_00081																														
OG0000743															LS484712_00091																														
OG0000744															LS484712_00092																														
OG0000745															LS484712_00093																														
OG0000746															LS484712_00094																														
OG0000747															LS484712_00097																														
OG0000748															LS484712_00098																														
OG0000749															LS484712_00101																														
OG0000750															LS484712_00102																														
OG0000751															LS484712_00103																														
OG0000752															LS484712_00104																														
OG0000753															LS484712_00105																														
OG0000754															LS484712_00107																														
OG0000755															LS484712_00108																														
OG0000756															LS484712_00109																														
OG0000757															LS484712_00110																														
OG0000758															LS484712_00111																														
OG0000759															LS484712_00115																														
OG0000760															LS484712_00118																														
OG0000761															LS484712_00119																														
OG0000762															LS484712_00121																														
OG0000763															LS484712_00122																														
OG0000764															LS484712_00123																														
OG0000765															LS484712_00124																														
OG0000766															LS484712_00126																														
OG0000767															LS484712_00128																														
OG0000768															LS484712_00129																														
OG0000769															LS484712_00131																														
OG0000770															LS484712_00132																														
OG0000771															LS484712_00134																														
OG0000772															LS484712_00136																														
OG0000773															LS484712_00137																														
OG0000774															LS484712_00138																														
OG0000775															LS484712_00139																														
OG0000776															LS484712_00141																														
OG0000777															LS484712_00144																														
OG0000778															LS484712_00145																														
OG0000779															LS484712_00146																														
OG0000780															LS484712_00147																														
OG0000781															LS484712_00148																														
OG0000782															LS484712_00150																														
OG0000783															LS484712_00151																														
OG0000784															LS484712_00152																														
OG0000785															LS484712_00153																														
OG0000786															LS484712_00159																														
OG0000787															LS484712_00162																														
OG0000788															LS484712_00164																														
OG0000789															LS484712_00165																														
OG0000790															LS484712_00166																														
OG0000791															LS484712_00167																														
OG0000792															LS484712_00168																														
OG0000793															LS484712_00169																														
OG0000794															LS484712_00172																														
OG0000795															LS484712_00173																														
OG0000796															LS484712_00174																														
OG0000797															LS484712_00175																														
OG0000798															LS484712_00176																														
OG0000799															LS484712_00177																														
OG0000800															LS484712_00178																														
OG0000801															LS484712_00179																														
OG0000802															LS484712_00180																														
OG0000803															LS484712_00181																														
OG0000804															LS484712_00182																														
OG0000805															LS484712_00183																														
OG0000806															LS484712_00185																														
OG0000807															LS484712_00186																														
OG0000808															LS484712_00189																														
OG0000809															LS484712_00190																														
OG0000810															LS484712_00191																														
OG0000811															LS484712_00193																														
OG0000812															LS484712_00199																														
OG0000813															LS484712_00204																														
OG0000814															LS484712_00205																														
OG0000815															LS484712_00208																														
OG0000816															LS484712_00209																														
OG0000817															LS484712_00210																														
OG0000818															LS484712_00217																														
OG0000819															LS484712_00218																														
OG0000820															LS484712_00219																														
OG0000821															LS484712_00220																														
OG0000822															LS484712_00221																														
OG0000823															LS484712_00222																														
OG0000824															LS484712_00223																														
OG0000825															LS484712_00226																														
OG0000826															LS484712_00235																														
OG0000827															LS484712_00236																														
OG0000828															LS484712_00237																														
OG0000829															LS484712_00239																														
OG0000830															LS484712_00241																														
OG0000831															LS484712_00242																														
OG0000832															LS484712_00243																														
OG0000833															LS484712_00244																														
OG0000834															LS484712_00246																														
OG0000835															LS484712_00247																														
OG0000836															LS484712_00250																														
OG0000837															LS484712_00257																														
OG0000838															LS484712_00258																														
OG0000839															LS484712_00259																														
OG0000840															LS484712_00260																														
OG0000841															LS484712_00261																														
OG0000842															LS484712_00262																														
OG0000843															LS484712_00266																														
OG0000844															LS484712_00267																														
OG0000845															LS484712_00274																														
OG0000846															LS484712_00275																														
OG0000847															LS484712_00276																														
OG0000848															LS484712_00278																														
OG0000849															LS484712_00280																														
OG0000850															LS484712_00281																														
OG0000851																MF599468_00001																													
OG0000852																MF599468_00003																													
OG0000853																MF599468_00005																													
OG0000854																MF599468_00007																													
OG0000855																MF599468_00008																													
OG0000856																MF599468_00012																													
OG0000857																MF599468_00014																													
OG0000858																MF599468_00017																													
OG0000859																MF599468_00018																													
OG0000860																MF599468_00019																													
OG0000861																MF599468_00020																													
OG0000862																MF599468_00021																													
OG0000863																MF599468_00026																													
OG0000864																MF599468_00028																													
OG0000865																MF599468_00034																													
OG0000866																MF599468_00040																													
OG0000867																MF599468_00041																													
OG0000868																MF599468_00042																													
OG0000869																MF599468_00048																													
OG0000870																MF599468_00050																													
OG0000871																MF599468_00053																													
OG0000872																MF599468_00058																													
OG0000873																MF599468_00059																													
OG0000874																MF599468_00063																													
OG0000875																MF599468_00064																													
OG0000876																MF599468_00073																													
OG0000877																MF599468_00080																													
OG0000878																MF599468_00082																													
OG0000879																MF599468_00083																													
OG0000880																MF599468_00084																													
OG0000881																MF599468_00085																													
OG0000882																MF599468_00086																													
OG0000883																MF599468_00087																													
OG0000884																MF599468_00088																													
OG0000885																MF599468_00093																													
OG0000886																MF599468_00095																													
OG0000887																MF599468_00097																													
OG0000888																MF599468_00113																													
OG0000889																MF599468_00115																													
OG0000890																MF599468_00120																													
OG0000891																MF599468_00121																													
OG0000892																MF599468_00123																													
OG0000893																MF599468_00124																													
OG0000894																MF599468_00126																													
OG0000895																MF599468_00127																													
OG0000896																MF599468_00130																													
OG0000897																MF599468_00132																													
OG0000898																MF599468_00133																													
OG0000899																MF599468_00135																													
OG0000900																MF599468_00139																													
OG0000901																MF599468_00140																													
OG0000902																MF599468_00146																													
OG0000903																MF599468_00147																													
OG0000904																MF599468_00148																													
OG0000905																MF599468_00150																													
OG0000906																MF599468_00151																													
OG0000907																MF599468_00153																													
OG0000908																MF599468_00160																													
OG0000909																MF599468_00164																													
OG0000910																MF599468_00165																													
OG0000911																MF599468_00166																													
OG0000912																MF599468_00167																													
OG0000913																MF599468_00168																													
OG0000914																MF599468_00170																													
OG0000915																MF599468_00173																													
OG0000916																MF599468_00175																													
OG0000917																	MG570131_00022																												
OG0000918																	MG570131_00028																												
OG0000919																										MN803438_00009																			
OG0000920																										MN803438_00017																			
OG0000921																										MN803438_00029																			
OG0000922																										MN803438_00052																			
OG0000923																										MN803438_00055																			
OG0000924																										MN803438_00066																			
OG0000925																										MN803438_00074																			
OG0000926																										MN803438_00084																			
OG0000927																										MN803438_00100																			
OG0000928																										MN803438_00108																			
OG0000929																										MN803438_00117																			
OG0000930																										MN803438_00138																			
OG0000931																											MT521409_00021																		
OG0000932																												MT798582_00001																	
OG0000933																														MT986830_00026															
OG0000934																																NC_005946_00008													
OG0000935																																NC_005946_00009													
OG0000936																																NC_005946_00019													
OG0000937																																NC_005946_00027													
OG0000938																																NC_005946_00030													
OG0000939																																NC_005946_00031													
OG0000940																																NC_005946_00032													
OG0000941																																NC_005946_00036													
OG0000942																																NC_005946_00037													
OG0000943																																NC_005946_00040													
OG0000944																																NC_005946_00041													
OG0000945																																NC_005946_00043													
OG0000946																																NC_005946_00045													
OG0000947																																NC_005946_00046													
OG0000948																																NC_005946_00048													
OG0000949																																NC_005946_00050													
OG0000950																																NC_005946_00055													
OG0000951																																NC_005946_00065													
OG0000952																																NC_005946_00066													
OG0000953																																NC_005946_00068													
OG0000954																																NC_005946_00070													
OG0000955																																NC_005946_00071													
OG0000956																																NC_005946_00074													
OG0000957																																NC_005946_00078													
OG0000958																																NC_005946_00093													
OG0000959																																NC_005946_00097													
OG0000960																																	NC_027778_00051												
OG0000961																																	NC_027778_00110												
OG0000962																																				OL310752_00009									
OG0000963																																				OL310752_00032									
OG0000964																																												OP009387_00059	
