Orthogroup	MK689685.1	AF303741.1
OG0000000	MK689685.1_00029	AF303741.1_00079, AF303741.1_00152
OG0000001	MK689685.1_00008	AF303741.1_00200, AF303741.1_00047
OG0000002	MK689685.1_00007	AF303741.1_00125
OG0000003	MK689685.1_00015	AF303741.1_00035
OG0000004	MK689685.1_00110	AF303741.1_00080
OG0000005	MK689685.1_00094	AF303741.1_00129
OG0000006	MK689685.1_00075	AF303741.1_00132
OG0000007	MK689685.1_00089	AF303741.1_00149
OG0000008	MK689685.1_00028	AF303741.1_00165
OG0000009	MK689685.1_00111	AF303741.1_00176
OG0000011	MK689685.1_00061	AF303741.1_00006
OG0000012	MK689685.1_00021	AF303741.1_00011
OG0000013	MK689685.1_00054	AF303741.1_00023
OG0000014	MK689685.1_00118	AF303741.1_00026
OG0000015	MK689685.1_00119	AF303741.1_00046
OG0000016	MK689685.1_00086	AF303741.1_00062
OG0000017	MK689685.1_00032	AF303741.1_00063
OG0000018	MK689685.1_00105	AF303741.1_00081
OG0000019	MK689685.1_00085	AF303741.1_00137
OG0000020	MK689685.1_00030	AF303741.1_00156
OG0000021	MK689685.1_00005	AF303741.1_00158
OG0000022	MK689685.1_00034	AF303741.1_00189
OG0000023	MK689685.1_00043	AF303741.1_00154
OG0000025	MK689685.1_00062	AF303741.1_00051
