Orthogroup	MK689685.1	ON743042.1
OG0000000	MK689685.1_00029	ON743042.1_00031
OG0000001	MK689685.1_00008	ON743042.1_00008
OG0000002	MK689685.1_00007	ON743042.1_00007
OG0000003	MK689685.1_00015	ON743042.1_00015
OG0000004	MK689685.1_00110	ON743042.1_00113
OG0000005	MK689685.1_00094	ON743042.1_00096
OG0000006	MK689685.1_00075	ON743042.1_00077
OG0000007	MK689685.1_00089	ON743042.1_00091
OG0000008	MK689685.1_00028	ON743042.1_00030
OG0000009	MK689685.1_00111	ON743042.1_00115
OG0000010	MK689685.1_00076	ON743042.1_00078
OG0000011	MK689685.1_00061	ON743042.1_00065
OG0000012	MK689685.1_00021	ON743042.1_00022
OG0000013	MK689685.1_00054	ON743042.1_00059
OG0000014	MK689685.1_00118	ON743042.1_00123
OG0000015	MK689685.1_00119	ON743042.1_00124
OG0000016	MK689685.1_00086	ON743042.1_00088
OG0000017	MK689685.1_00032	ON743042.1_00034
OG0000018	MK689685.1_00105	ON743042.1_00108
OG0000019	MK689685.1_00085	ON743042.1_00087
OG0000020	MK689685.1_00030	ON743042.1_00032
OG0000021	MK689685.1_00005	ON743042.1_00005
OG0000022	MK689685.1_00034	ON743042.1_00036
OG0000023	MK689685.1_00043	ON743042.1_00046
OG0000025	MK689685.1_00062	ON743042.1_00066
OG0000026	MK689685.1_00108	ON743042.1_00111
OG0000027	MK689685.1_00087	ON743042.1_00089
OG0000028	MK689685.1_00046	ON743042.1_00049
OG0000029	MK689685.1_00059	ON743042.1_00063
OG0000030	MK689685.1_00001	ON743042.1_00001
OG0000031	MK689685.1_00006	ON743042.1_00006
OG0000032	MK689685.1_00079	ON743042.1_00082
OG0000033	MK689685.1_00088	ON743042.1_00090
OG0000034	MK689685.1_00120	ON743042.1_00125
OG0000035	MK689685.1_00013	ON743042.1_00013
OG0000036	MK689685.1_00014	ON743042.1_00014
OG0000037	MK689685.1_00019	ON743042.1_00019
OG0000038	MK689685.1_00020	ON743042.1_00020
OG0000039	MK689685.1_00022	ON743042.1_00023
OG0000040	MK689685.1_00023	ON743042.1_00024
OG0000041	MK689685.1_00031	ON743042.1_00033
OG0000042	MK689685.1_00035	ON743042.1_00037
OG0000043	MK689685.1_00047	ON743042.1_00051
OG0000044	MK689685.1_00048	ON743042.1_00052
OG0000045	MK689685.1_00052	ON743042.1_00057
OG0000046	MK689685.1_00053	ON743042.1_00058
OG0000047	MK689685.1_00055	ON743042.1_00060
OG0000048	MK689685.1_00057	ON743042.1_00061
OG0000049	MK689685.1_00058	ON743042.1_00062
OG0000050	MK689685.1_00077	ON743042.1_00079
OG0000051	MK689685.1_00080	ON743042.1_00083
OG0000052	MK689685.1_00081	ON743042.1_00084
OG0000053	MK689685.1_00093	ON743042.1_00095
OG0000054	MK689685.1_00095	ON743042.1_00097
OG0000055	MK689685.1_00098	ON743042.1_00100
OG0000056	MK689685.1_00109	ON743042.1_00112
OG0000057	MK689685.1_00113	ON743042.1_00117
OG0000058	MK689685.1_00115	ON743042.1_00119
OG0000059	MK689685.1_00002	ON743042.1_00002
OG0000060	MK689685.1_00010	ON743042.1_00010
OG0000061	MK689685.1_00018	ON743042.1_00018
OG0000062	MK689685.1_00090	ON743042.1_00092
OG0000063	MK689685.1_00070	ON743042.1_00074
OG0000064	MK689685.1_00017	ON743042.1_00017
OG0000065	MK689685.1_00037	ON743042.1_00040, ON743042.1_00039
OG0000066	MK689685.1_00041	ON743042.1_00044
OG0000067	MK689685.1_00045	ON743042.1_00048
OG0000068	MK689685.1_00065	ON743042.1_00069
OG0000069	MK689685.1_00097	ON743042.1_00099
OG0000070	MK689685.1_00099	ON743042.1_00101
OG0000071	MK689685.1_00112	ON743042.1_00116
OG0000072	MK689685.1_00009	ON743042.1_00009
OG0000073	MK689685.1_00012	ON743042.1_00012
OG0000074	MK689685.1_00016	ON743042.1_00016
OG0000075	MK689685.1_00033	ON743042.1_00035
OG0000076	MK689685.1_00036	ON743042.1_00038
OG0000077	MK689685.1_00039	ON743042.1_00042
OG0000078	MK689685.1_00040	ON743042.1_00043
OG0000079	MK689685.1_00044	ON743042.1_00047
OG0000080	MK689685.1_00049	ON743042.1_00053
OG0000081	MK689685.1_00050	ON743042.1_00054
OG0000082	MK689685.1_00051	ON743042.1_00055
OG0000083	MK689685.1_00060	ON743042.1_00064
OG0000084	MK689685.1_00063	ON743042.1_00067
OG0000085	MK689685.1_00066	ON743042.1_00070
OG0000086	MK689685.1_00067	ON743042.1_00071
OG0000087	MK689685.1_00072	ON743042.1_00075
OG0000088	MK689685.1_00073	ON743042.1_00076
OG0000089	MK689685.1_00083	ON743042.1_00085
OG0000090	MK689685.1_00084	ON743042.1_00086
OG0000091	MK689685.1_00096	ON743042.1_00098
OG0000092	MK689685.1_00100	ON743042.1_00102
OG0000093	MK689685.1_00103	ON743042.1_00106
OG0000094	MK689685.1_00106	ON743042.1_00109
OG0000095	MK689685.1_00107	ON743042.1_00110
OG0000096	MK689685.1_00116	ON743042.1_00121
OG0000097	MK689685.1_00003	ON743042.1_00003
OG0000098	MK689685.1_00004	ON743042.1_00004
OG0000099	MK689685.1_00038	ON743042.1_00041
OG0000100	MK689685.1_00042	ON743042.1_00045
OG0000101	MK689685.1_00068	ON743042.1_00072
OG0000102	MK689685.1_00078	ON743042.1_00080
OG0000103	MK689685.1_00101	ON743042.1_00103
OG0000104	MK689685.1_00104	ON743042.1_00107
OG0000105	MK689685.1_00114	ON743042.1_00118
OG0000106	MK689685.1_00027	ON743042.1_00029
OG0000107	MK689685.1_00102	ON743042.1_00104
OG0000108	MK689685.1_00117	ON743042.1_00122
OG0000109	MK689685.1_00069	ON743042.1_00073
OG0000111	MK689685.1_00092	ON743042.1_00094
OG0000115	MK689685.1_00011	ON743042.1_00011
OG0000117	MK689685.1_00064	ON743042.1_00068
OG0000127	MK689685.1_00024	ON743042.1_00026
