Orthogroup	OL774655.1	KC244182.1
OG0000000	OL774655.1_00034	KC244182.1_00029
OG0000001	OL774655.1_00008	KC244182.1_00008
OG0000002	OL774655.1_00007	KC244182.1_00007
OG0000003	OL774655.1_00015	KC244182.1_00014
OG0000004	OL774655.1_00113	KC244182.1_00112
OG0000005	OL774655.1_00096	KC244182.1_00095
OG0000006	OL774655.1_00078	KC244182.1_00076
OG0000007	OL774655.1_00091	KC244182.1_00090
OG0000008	OL774655.1_00033	KC244182.1_00028
OG0000009	OL774655.1_00115	KC244182.1_00114
OG0000010	OL774655.1_00079	KC244182.1_00077
OG0000011	OL774655.1_00066	KC244182.1_00063
OG0000012	OL774655.1_00022	KC244182.1_00022
OG0000013	OL774655.1_00060	KC244182.1_00056
OG0000014	OL774655.1_00123	KC244182.1_00121
OG0000015	OL774655.1_00124	KC244182.1_00122
OG0000016	OL774655.1_00088	KC244182.1_00087
OG0000017	OL774655.1_00037	KC244182.1_00032
OG0000018	OL774655.1_00108	KC244182.1_00107
OG0000019	OL774655.1_00087	KC244182.1_00086
OG0000020	OL774655.1_00035	KC244182.1_00030
OG0000021	OL774655.1_00005	KC244182.1_00005
OG0000022	OL774655.1_00039	KC244182.1_00034
OG0000023	OL774655.1_00048	KC244182.1_00043
OG0000024	OL774655.1_00030	KC244182.1_00025
OG0000025	OL774655.1_00067	KC244182.1_00064
OG0000026	OL774655.1_00111	KC244182.1_00110
OG0000027	OL774655.1_00089	KC244182.1_00088
OG0000028	OL774655.1_00051	KC244182.1_00046
OG0000029	OL774655.1_00064	KC244182.1_00061
OG0000030	OL774655.1_00001	KC244182.1_00001
OG0000031	OL774655.1_00006	KC244182.1_00006
OG0000033	OL774655.1_00090	KC244182.1_00089
OG0000034	OL774655.1_00125	KC244182.1_00123
OG0000035	OL774655.1_00013	KC244182.1_00012
OG0000036	OL774655.1_00014	KC244182.1_00013
OG0000037	OL774655.1_00019	KC244182.1_00018
OG0000038	OL774655.1_00020	KC244182.1_00019
OG0000039	OL774655.1_00023	KC244182.1_00023
OG0000040	OL774655.1_00024	KC244182.1_00024
OG0000041	OL774655.1_00036	KC244182.1_00031
OG0000042	OL774655.1_00040	KC244182.1_00035
OG0000043	OL774655.1_00052	KC244182.1_00048
OG0000044	OL774655.1_00053	KC244182.1_00049
OG0000045	OL774655.1_00058	KC244182.1_00054
OG0000046	OL774655.1_00059	KC244182.1_00055
OG0000047	OL774655.1_00061	KC244182.1_00057
OG0000048	OL774655.1_00062	KC244182.1_00058
OG0000049	OL774655.1_00063	KC244182.1_00060
OG0000050	OL774655.1_00080	KC244182.1_00078
OG0000051	OL774655.1_00083	KC244182.1_00082
OG0000052	OL774655.1_00084	KC244182.1_00083
OG0000053	OL774655.1_00095	KC244182.1_00094
OG0000054	OL774655.1_00097	KC244182.1_00096
OG0000055	OL774655.1_00100	KC244182.1_00099
OG0000056	OL774655.1_00112	KC244182.1_00111
OG0000057	OL774655.1_00117	KC244182.1_00116
OG0000058	OL774655.1_00119	KC244182.1_00118
