Orthogroup	OL774655.1	OP009387.1
OG0000000	OL774655.1_00034	OP009387.1_00030
OG0000001	OL774655.1_00008	OP009387.1_00008
OG0000002	OL774655.1_00007	OP009387.1_00007
OG0000003	OL774655.1_00015	OP009387.1_00015
OG0000004	OL774655.1_00113	OP009387.1_00112
OG0000005	OL774655.1_00096	OP009387.1_00095
OG0000006	OL774655.1_00078	OP009387.1_00077
OG0000007	OL774655.1_00091	OP009387.1_00091
OG0000008	OL774655.1_00033	OP009387.1_00029
OG0000009	OL774655.1_00115	OP009387.1_00113
OG0000010	OL774655.1_00079	OP009387.1_00078
OG0000011	OL774655.1_00066	OP009387.1_00064
OG0000012	OL774655.1_00022	OP009387.1_00023
OG0000013	OL774655.1_00060	OP009387.1_00057
OG0000014	OL774655.1_00123	OP009387.1_00121
OG0000015	OL774655.1_00124	OP009387.1_00122
OG0000016	OL774655.1_00088	OP009387.1_00088
OG0000017	OL774655.1_00037	OP009387.1_00033
OG0000018	OL774655.1_00108	OP009387.1_00107
OG0000019	OL774655.1_00087	OP009387.1_00087
OG0000020	OL774655.1_00035	OP009387.1_00031
OG0000021	OL774655.1_00005	OP009387.1_00005
OG0000022	OL774655.1_00039	OP009387.1_00035
OG0000023	OL774655.1_00048	OP009387.1_00044
OG0000024	OL774655.1_00030	OP009387.1_00026
OG0000025	OL774655.1_00067	OP009387.1_00065
OG0000026	OL774655.1_00111	OP009387.1_00110
OG0000027	OL774655.1_00089	OP009387.1_00089
OG0000028	OL774655.1_00051	OP009387.1_00047
OG0000029	OL774655.1_00064	OP009387.1_00062
OG0000030	OL774655.1_00001	OP009387.1_00001
OG0000031	OL774655.1_00006	OP009387.1_00006
OG0000032	OL774655.1_00082	OP009387.1_00082
OG0000033	OL774655.1_00090	OP009387.1_00090
OG0000034	OL774655.1_00125	OP009387.1_00123
OG0000035	OL774655.1_00013	OP009387.1_00013
OG0000036	OL774655.1_00014	OP009387.1_00014
OG0000037	OL774655.1_00019	OP009387.1_00019
OG0000038	OL774655.1_00020	OP009387.1_00020
OG0000039	OL774655.1_00023	OP009387.1_00024
OG0000040	OL774655.1_00024	OP009387.1_00025
