Orthogroup	OL774655.1	HF920633.1
OG0000000	OL774655.1_00034	HF920633.1_00044
OG0000001	OL774655.1_00008	HF920633.1_00069
OG0000002	OL774655.1_00007	HF920633.1_00073
OG0000003	OL774655.1_00015	HF920633.1_00127
OG0000004	OL774655.1_00113	HF920633.1_00079
OG0000005	OL774655.1_00096	HF920633.1_00085
OG0000006	OL774655.1_00078	HF920633.1_00025
OG0000007	OL774655.1_00091	HF920633.1_00091
OG0000008	OL774655.1_00033	HF920633.1_00043
OG0000009	OL774655.1_00115	HF920633.1_00122
OG0000011	OL774655.1_00066	HF920633.1_00118
OG0000012	OL774655.1_00022	HF920633.1_00001
OG0000013	OL774655.1_00060	HF920633.1_00067
OG0000014	OL774655.1_00123	HF920633.1_00138
OG0000015	OL774655.1_00124	HF920633.1_00058
OG0000016	OL774655.1_00088	HF920633.1_00094
OG0000017	OL774655.1_00037	HF920633.1_00158
OG0000018	OL774655.1_00108	HF920633.1_00003
OG0000019	OL774655.1_00087	HF920633.1_00163
OG0000020	OL774655.1_00035	HF920633.1_00080
OG0000021	OL774655.1_00005	HF920633.1_00097
OG0000022	OL774655.1_00039	HF920633.1_00175
OG0000023	OL774655.1_00048	HF920633.1_00017
OG0000024	OL774655.1_00030	HF920633.1_00062
OG0000025	OL774655.1_00067	HF920633.1_00047
