Orthogroup	OP009387.1	L63545.1
OG0000000	OP009387.1_00030	L63545.1_00007
OG0000001	OP009387.1_00008	L63545.1_00035
OG0000002	OP009387.1_00007	L63545.1_00079
OG0000003	OP009387.1_00015	L63545.1_00076
OG0000004	OP009387.1_00112	L63545.1_00001
OG0000005	OP009387.1_00095	L63545.1_00056
OG0000006	OP009387.1_00077	L63545.1_00093
OG0000007	OP009387.1_00091	L63545.1_00090
OG0000008	OP009387.1_00029	L63545.1_00108
OG0000009	OP009387.1_00113	L63545.1_00024
OG0000011	OP009387.1_00064	L63545.1_00069
OG0000012	OP009387.1_00023	L63545.1_00071
OG0000013	OP009387.1_00057	L63545.1_00004
OG0000014	OP009387.1_00121	L63545.1_00030
OG0000015	OP009387.1_00122	L63545.1_00110
OG0000016	OP009387.1_00088	L63545.1_00073
OG0000017	OP009387.1_00033	L63545.1_00072
OG0000018	OP009387.1_00107	L63545.1_00068
OG0000019	OP009387.1_00087	L63545.1_00009
OG0000020	OP009387.1_00031	L63545.1_00098
OG0000021	OP009387.1_00005	L63545.1_00043
OG0000022	OP009387.1_00035	L63545.1_00013
OG0000023	OP009387.1_00044	L63545.1_00054
OG0000024	OP009387.1_00026	L63545.1_00015
OG0000026	OP009387.1_00110	L63545.1_00002
OG0000027	OP009387.1_00089	L63545.1_00058
OG0000028	OP009387.1_00047	L63545.1_00003
