Orthogroup	OM037668.1	KT804738.1
OG0000000	OM037668.1_00035	KT804738.1_00029
OG0000001	OM037668.1_00057	KT804738.1_00007
OG0000002	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	KT804738.1_00073
OG0000003	OM037668.1_00056	KT804738.1_00008
OG0000004	OM037668.1_00050	KT804738.1_00015
OG0000005	OM037668.1_00038	KT804738.1_00028
OG0000006	OM037668.1_00021	KT804738.1_00072
OG0000007	OM037668.1_00084	KT804738.1_00086
OG0000008	OM037668.1_00076	KT804738.1_00109
OG0000009	OM037668.1_00077	KT804738.1_00111
OG0000010	OM037668.1_00013	KT804738.1_00005
OG0000011	OM037668.1_00041	KT804738.1_00021
OG0000012	OM037668.1_00123	KT804738.1_00030
OG0000013	OM037668.1_00124	KT804738.1_00032
OG0000014	OM037668.1_00127	KT804738.1_00034
OG0000015	OM037668.1_00098	KT804738.1_00055
OG0000016	OM037668.1_00009	KT804738.1_00060
OG0000017	OM037668.1_00090	KT804738.1_00082
OG0000018	OM037668.1_00089	KT804738.1_00083
OG0000019	OM037668.1_00073	KT804738.1_00104
OG0000020	OM037668.1_00078	KT804738.1_00119
OG0000021	OM037668.1_00004	KT804738.1_00120
OG0000022	OM037668.1_00113	KT804738.1_00043
OG0000023	OM037668.1_00080	KT804738.1_00092
OG0000024	OM037668.1_00074	KT804738.1_00107
OG0000025	OM037668.1_00024	KT804738.1_00061
OG0000026	OM037668.1_00087	KT804738.1_00084
OG0000027	OM037668.1_00110	KT804738.1_00046
OG0000028	OM037668.1_00011	KT804738.1_00006
OG0000029	OM037668.1_00095	KT804738.1_00058
OG0000030	OM037668.1_00030	KT804738.1_00001
OG0000031	OM037668.1_00019	KT804738.1_00077
OG0000032	OM037668.1_00086	KT804738.1_00085
OG0000033	OM037668.1_00028	KT804738.1_00121
OG0000034	OM037668.1_00051	KT804738.1_00013
OG0000035	OM037668.1_00005	KT804738.1_00014
OG0000036	OM037668.1_00046	KT804738.1_00019
OG0000037	OM037668.1_00045	KT804738.1_00020
OG0000038	OM037668.1_00040	KT804738.1_00022
OG0000039	OM037668.1_00048	KT804738.1_00023
OG0000040	OM037668.1_00003	KT804738.1_00031
OG0000041	OM037668.1_00122	KT804738.1_00035
OG0000042	OM037668.1_00106	KT804738.1_00047
OG0000043	OM037668.1_00105	KT804738.1_00048
OG0000044	OM037668.1_00100	KT804738.1_00053
OG0000045	OM037668.1_00099	KT804738.1_00054
OG0000047	OM037668.1_00085	KT804738.1_00056
OG0000048	OM037668.1_00096	KT804738.1_00057
OG0000049	OM037668.1_00020	KT804738.1_00074
OG0000050	OM037668.1_00018	KT804738.1_00078
OG0000051	OM037668.1_00130	KT804738.1_00079
OG0000052	OM037668.1_00081	KT804738.1_00091
OG0000053	OM037668.1_00032	KT804738.1_00093
OG0000054	OM037668.1_00033	KT804738.1_00096
OG0000055	OM037668.1_00075	KT804738.1_00108
OG0000056	OM037668.1_00079	KT804738.1_00113
OG0000057	OM037668.1_00134	KT804738.1_00115
OG0000058	OM037668.1_00031	KT804738.1_00002
OG0000059	OM037668.1_00054	KT804738.1_00010
OG0000060	OM037668.1_00047	KT804738.1_00018
OG0000061	OM037668.1_00083	KT804738.1_00087
OG0000062	OM037668.1_00064	KT804738.1_00025
OG0000096	OM037668.1_00091	KT804738.1_00117
OG0000115	OM037668.1_00101	KT804738.1_00052
