Orthogroup	OM037668.1	ON075463.1
OG0000000	OM037668.1_00035	ON075463.1_00029
OG0000001	OM037668.1_00057	ON075463.1_00007
OG0000002	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006	ON075463.1_00074
OG0000003	OM037668.1_00056	ON075463.1_00008
OG0000004	OM037668.1_00050	ON075463.1_00014
OG0000005	OM037668.1_00038	ON075463.1_00028
OG0000006	OM037668.1_00021	ON075463.1_00073
OG0000007	OM037668.1_00084	ON075463.1_00087
OG0000008	OM037668.1_00076	ON075463.1_00109
OG0000009	OM037668.1_00077	ON075463.1_00111
OG0000010	OM037668.1_00013	ON075463.1_00005
OG0000011	OM037668.1_00041	ON075463.1_00021
OG0000012	OM037668.1_00123	ON075463.1_00030
OG0000013	OM037668.1_00124	ON075463.1_00032
OG0000014	OM037668.1_00127	ON075463.1_00034
OG0000015	OM037668.1_00098	ON075463.1_00055
OG0000016	OM037668.1_00009	ON075463.1_00061
OG0000017	OM037668.1_00090	ON075463.1_00083
OG0000018	OM037668.1_00089	ON075463.1_00084
OG0000019	OM037668.1_00073	ON075463.1_00104
OG0000020	OM037668.1_00078	ON075463.1_00118
OG0000021	OM037668.1_00004	ON075463.1_00119
OG0000022	OM037668.1_00113	ON075463.1_00043
OG0000023	OM037668.1_00080	ON075463.1_00092
OG0000024	OM037668.1_00074	ON075463.1_00107
OG0000025	OM037668.1_00024	ON075463.1_00062
OG0000026	OM037668.1_00087	ON075463.1_00085
OG0000027	OM037668.1_00110	ON075463.1_00046
OG0000028	OM037668.1_00011	ON075463.1_00006
OG0000029	OM037668.1_00095	ON075463.1_00059
OG0000030	OM037668.1_00030	ON075463.1_00001
OG0000031	OM037668.1_00019	ON075463.1_00078
OG0000032	OM037668.1_00086	ON075463.1_00086
OG0000033	OM037668.1_00028	ON075463.1_00120
OG0000034	OM037668.1_00051	ON075463.1_00012
OG0000035	OM037668.1_00005	ON075463.1_00013
OG0000036	OM037668.1_00046	ON075463.1_00018
OG0000037	OM037668.1_00045	ON075463.1_00019
OG0000038	OM037668.1_00040	ON075463.1_00022
OG0000039	OM037668.1_00048	ON075463.1_00023
OG0000040	OM037668.1_00003	ON075463.1_00031
OG0000041	OM037668.1_00122	ON075463.1_00035
OG0000042	OM037668.1_00106	ON075463.1_00047
OG0000043	OM037668.1_00105	ON075463.1_00048
OG0000044	OM037668.1_00100	ON075463.1_00053
OG0000045	OM037668.1_00099	ON075463.1_00054
OG0000046	OM037668.1_00097	ON075463.1_00056
OG0000047	OM037668.1_00085	ON075463.1_00057
OG0000048	OM037668.1_00096	ON075463.1_00058
OG0000049	OM037668.1_00020	ON075463.1_00075
OG0000050	OM037668.1_00018	ON075463.1_00079
OG0000051	OM037668.1_00130	ON075463.1_00080
OG0000052	OM037668.1_00081	ON075463.1_00091
OG0000053	OM037668.1_00032	ON075463.1_00093
OG0000054	OM037668.1_00033	ON075463.1_00096
OG0000055	OM037668.1_00075	ON075463.1_00108
OG0000056	OM037668.1_00079	ON075463.1_00113
OG0000057	OM037668.1_00134	ON075463.1_00115
OG0000058	OM037668.1_00031	ON075463.1_00002
OG0000059	OM037668.1_00054	ON075463.1_00010
OG0000060	OM037668.1_00047	ON075463.1_00017
OG0000061	OM037668.1_00083	ON075463.1_00088
OG0000062	OM037668.1_00064	ON075463.1_00025
OG0000115	OM037668.1_00101	ON075463.1_00052
