Orthogroup	OM037668.1	NC_027778.1
OG0000000	OM037668.1_00035	NC_027778.1_00083
OG0000001	OM037668.1_00057	NC_027778.1_00061
OG0000002	OM037668.1_00133	NC_027778.1_00123
OG0000002	OM037668.1_00125	NC_027778.1_00131
OG0000002	OM037668.1_00006	NC_027778.1_00114
OG0000003	OM037668.1_00056	NC_027778.1_00062
OG0000004	OM037668.1_00050	NC_027778.1_00068
OG0000005	OM037668.1_00038	NC_027778.1_00080
OG0000006	OM037668.1_00021	NC_027778.1_00098
OG0000007	OM037668.1_00084	NC_027778.1_00032
OG0000008	OM037668.1_00076	NC_027778.1_00040
OG0000009	OM037668.1_00077	NC_027778.1_00039
OG0000010	OM037668.1_00013	NC_027778.1_00106
OG0000011	OM037668.1_00041	NC_027778.1_00077
OG0000012	OM037668.1_00123	NC_027778.1_00133
OG0000013	OM037668.1_00124	NC_027778.1_00132
OG0000014	OM037668.1_00127	NC_027778.1_00129
OG0000015	OM037668.1_00098	NC_027778.1_00018
OG0000016	OM037668.1_00009	NC_027778.1_00111
OG0000017	OM037668.1_00090	NC_027778.1_00026
OG0000018	OM037668.1_00089	NC_027778.1_00027
OG0000019	OM037668.1_00073	NC_027778.1_00043
OG0000020	OM037668.1_00078	NC_027778.1_00038
OG0000021	OM037668.1_00004	NC_027778.1_00116
OG0000022	OM037668.1_00113	NC_027778.1_00003
OG0000023	OM037668.1_00080	NC_027778.1_00036
OG0000024	OM037668.1_00074	NC_027778.1_00042
OG0000025	OM037668.1_00024	NC_027778.1_00094, NC_027778.1_00095
OG0000026	OM037668.1_00087	NC_027778.1_00029
OG0000027	OM037668.1_00110	NC_027778.1_00006
OG0000028	OM037668.1_00011	NC_027778.1_00108
OG0000029	OM037668.1_00095	NC_027778.1_00021
OG0000030	OM037668.1_00030	NC_027778.1_00088
OG0000031	OM037668.1_00019	NC_027778.1_00100
OG0000032	OM037668.1_00086	NC_027778.1_00030
OG0000033	OM037668.1_00028	NC_027778.1_00090
OG0000034	OM037668.1_00051	NC_027778.1_00067
OG0000035	OM037668.1_00005	NC_027778.1_00115
OG0000036	OM037668.1_00046	NC_027778.1_00072
OG0000037	OM037668.1_00045	NC_027778.1_00073
OG0000038	OM037668.1_00040	NC_027778.1_00078
OG0000039	OM037668.1_00048	NC_027778.1_00070
OG0000040	OM037668.1_00003	NC_027778.1_00117
OG0000041	OM037668.1_00122	NC_027778.1_00134
OG0000042	OM037668.1_00106	NC_027778.1_00010
OG0000043	OM037668.1_00105	NC_027778.1_00011
OG0000044	OM037668.1_00100	NC_027778.1_00016
OG0000045	OM037668.1_00099	NC_027778.1_00017
