Orthogroup	OM037668.1	MN803438.1
OG0000000	OM037668.1_00035	MN803438.1_00124
OG0000001	OM037668.1_00057	MN803438.1_00023
OG0000003	OM037668.1_00056	MN803438.1_00101, MN803438.1_00056
OG0000004	OM037668.1_00050	MN803438.1_00113
OG0000005	OM037668.1_00038	MN803438.1_00106
OG0000006	OM037668.1_00021	MN803438.1_00142
OG0000007	OM037668.1_00084	MN803438.1_00027
OG0000008	OM037668.1_00076	MN803438.1_00104
OG0000009	OM037668.1_00077	MN803438.1_00109
OG0000010	OM037668.1_00013	MN803438.1_00089
OG0000011	OM037668.1_00041	MN803438.1_00128
OG0000012	OM037668.1_00123	MN803438.1_00068
OG0000013	OM037668.1_00124	MN803438.1_00035
OG0000014	OM037668.1_00127	MN803438.1_00013
OG0000015	OM037668.1_00098	MN803438.1_00007
OG0000016	OM037668.1_00009	MN803438.1_00049
OG0000017	OM037668.1_00090	MN803438.1_00097
OG0000018	OM037668.1_00089	MN803438.1_00122
OG0000019	OM037668.1_00073	MN803438.1_00051
OG0000020	OM037668.1_00078	MN803438.1_00070
OG0000021	OM037668.1_00004	MN803438.1_00046
OG0000022	OM037668.1_00113	MN803438.1_00077
OG0000023	OM037668.1_00080	MN803438.1_00071
OG0000024	OM037668.1_00074	MN803438.1_00126
OG0000026	OM037668.1_00087	MN803438.1_00037
OG0000027	OM037668.1_00110	MN803438.1_00054
OG0000028	OM037668.1_00011	MN803438.1_00145
OG0000129	OM037668.1_00062	MN803438.1_00082
OG0000144	OM037668.1_00015, OM037668.1_00071	MN803438.1_00022
OG0000146	OM037668.1_00001	MN803438.1_00010
OG0000149	OM037668.1_00068	MN803438.1_00005
OG0000156	OM037668.1_00036	MN803438.1_00011, MN803438.1_00096
OG0000190	OM037668.1_00088	MN803438.1_00130
