Orthogroup	AF371960.1	LS484712.1
OG0000000	AF371960.1_00031	LS484712.1_00114
OG0000001	AF371960.1_00008	LS484712.1_00095
OG0000002	AF371960.1_00007	LS484712.1_00142
OG0000003	AF371960.1_00015	LS484712.1_00187
OG0000005	AF371960.1_00096	LS484712.1_00256
OG0000006	AF371960.1_00078	LS484712.1_00040
OG0000007	AF371960.1_00092	LS484712.1_00234, LS484712.1_00050
OG0000008	AF371960.1_00030	LS484712.1_00248
OG0000009	AF371960.1_00113	LS484712.1_00130
OG0000011	AF371960.1_00064	LS484712.1_00203
OG0000012	AF371960.1_00021	LS484712.1_00200
OG0000013	AF371960.1_00057	LS484712.1_00143
OG0000014	AF371960.1_00121	LS484712.1_00202
OG0000015	AF371960.1_00122	LS484712.1_00135
OG0000016	AF371960.1_00089	LS484712.1_00048
OG0000017	AF371960.1_00034	LS484712.1_00240
OG0000018	AF371960.1_00107	LS484712.1_00053
OG0000019	AF371960.1_00088	LS484712.1_00192
OG0000020	AF371960.1_00032	LS484712.1_00188
OG0000021	AF371960.1_00005	LS484712.1_00096
OG0000022	AF371960.1_00036	LS484712.1_00194
OG0000023	AF371960.1_00045	LS484712.1_00117
OG0000024	AF371960.1_00027	LS484712.1_00149
OG0000068	AF371960.1_00068	LS484712.1_00002
