Orthogroup	AF371960.1	MW139932.1
OG0000000	AF371960.1_00031	MW139932.1_00033
OG0000001	AF371960.1_00008	MW139932.1_00008
OG0000002	AF371960.1_00007	MW139932.1_00007
OG0000003	AF371960.1_00015	MW139932.1_00015
OG0000004	AF371960.1_00112	MW139932.1_00113
OG0000005	AF371960.1_00096	MW139932.1_00096
OG0000006	AF371960.1_00078	MW139932.1_00077
OG0000007	AF371960.1_00092	MW139932.1_00091
OG0000008	AF371960.1_00030	MW139932.1_00032
OG0000009	AF371960.1_00113	MW139932.1_00115
OG0000010	AF371960.1_00079	MW139932.1_00078
OG0000011	AF371960.1_00064	MW139932.1_00065
OG0000012	AF371960.1_00021	MW139932.1_00023
OG0000013	AF371960.1_00057	MW139932.1_00059
OG0000014	AF371960.1_00121	MW139932.1_00123
OG0000015	AF371960.1_00122	MW139932.1_00124
OG0000016	AF371960.1_00089	MW139932.1_00088
OG0000017	AF371960.1_00034	MW139932.1_00036
OG0000018	AF371960.1_00107	MW139932.1_00108
OG0000019	AF371960.1_00088	MW139932.1_00087
OG0000020	AF371960.1_00032	MW139932.1_00034
OG0000021	AF371960.1_00005	MW139932.1_00005
OG0000022	AF371960.1_00036	MW139932.1_00038
OG0000023	AF371960.1_00045	MW139932.1_00047
OG0000024	AF371960.1_00027	MW139932.1_00029
OG0000025	AF371960.1_00065	MW139932.1_00066
OG0000026	AF371960.1_00110	MW139932.1_00111
OG0000027	AF371960.1_00090	MW139932.1_00089
OG0000028	AF371960.1_00048	MW139932.1_00050
OG0000029	AF371960.1_00062	MW139932.1_00063
OG0000030	AF371960.1_00001	MW139932.1_00001
OG0000031	AF371960.1_00006	MW139932.1_00006
OG0000032	AF371960.1_00082	MW139932.1_00082
OG0000033	AF371960.1_00091	MW139932.1_00090
OG0000034	AF371960.1_00123	MW139932.1_00125
OG0000035	AF371960.1_00013	MW139932.1_00013
OG0000036	AF371960.1_00014	MW139932.1_00014
OG0000037	AF371960.1_00019	MW139932.1_00019
OG0000038	AF371960.1_00020	MW139932.1_00020
OG0000039	AF371960.1_00022	MW139932.1_00024
OG0000040	AF371960.1_00023	MW139932.1_00025
OG0000041	AF371960.1_00033	MW139932.1_00035
OG0000042	AF371960.1_00037	MW139932.1_00039
OG0000043	AF371960.1_00049	MW139932.1_00051
OG0000044	AF371960.1_00050	MW139932.1_00052
OG0000045	AF371960.1_00055	MW139932.1_00057
OG0000046	AF371960.1_00056	MW139932.1_00058
OG0000047	AF371960.1_00058	MW139932.1_00060
OG0000048	AF371960.1_00060	MW139932.1_00061
OG0000049	AF371960.1_00061	MW139932.1_00062
OG0000050	AF371960.1_00080	MW139932.1_00079
OG0000051	AF371960.1_00083	MW139932.1_00083
OG0000052	AF371960.1_00084	MW139932.1_00084
OG0000053	AF371960.1_00095	MW139932.1_00095
OG0000054	AF371960.1_00097	MW139932.1_00097
OG0000055	AF371960.1_00100	MW139932.1_00100
