Orthogroup	AF371960.1	MF599468.1
OG0000000	AF371960.1_00031	MF599468.1_00057, MF599468.1_00056
OG0000001	AF371960.1_00008	MF599468.1_00163
OG0000002	AF371960.1_00007	MF599468.1_00152
OG0000003	AF371960.1_00015	MF599468.1_00011
OG0000004	AF371960.1_00112	MF599468.1_00092
OG0000005	AF371960.1_00096	MF599468.1_00154
OG0000006	AF371960.1_00078	MF599468.1_00010
OG0000007	AF371960.1_00092	MF599468.1_00174
OG0000008	AF371960.1_00030	MF599468.1_00030
OG0000009	AF371960.1_00113	MF599468.1_00075
OG0000011	AF371960.1_00064	MF599468.1_00149
OG0000012	AF371960.1_00021	MF599468.1_00112
OG0000013	AF371960.1_00057	MF599468.1_00033
OG0000014	AF371960.1_00121	MF599468.1_00122
OG0000015	AF371960.1_00122	MF599468.1_00009
OG0000016	AF371960.1_00089	MF599468.1_00046
OG0000017	AF371960.1_00034	MF599468.1_00035
OG0000018	AF371960.1_00107	MF599468.1_00117
OG0000019	AF371960.1_00088	MF599468.1_00106
OG0000020	AF371960.1_00032	MF599468.1_00090
OG0000021	AF371960.1_00005	MF599468.1_00116
OG0000022	AF371960.1_00036	MF599468.1_00071
OG0000023	AF371960.1_00045	MF599468.1_00171
OG0000026	AF371960.1_00110	MF599468.1_00039
OG0000047	AF371960.1_00058	MF599468.1_00013
OG0000069	AF371960.1_00099	MF599468.1_00131
