Orthogroup	MN432490.1	OQ475017.1
OG0000000	MN432490.1_00032	OQ475017.1_00030
OG0000001	MN432490.1_00008	OQ475017.1_00008
OG0000002	MN432490.1_00007	OQ475017.1_00007
OG0000003	MN432490.1_00015	OQ475017.1_00015
OG0000004	MN432490.1_00113	OQ475017.1_00110
OG0000005	MN432490.1_00097	OQ475017.1_00093
OG0000006	MN432490.1_00078	OQ475017.1_00073
OG0000007	MN432490.1_00092	OQ475017.1_00087
OG0000008	MN432490.1_00031	OQ475017.1_00029
OG0000009	MN432490.1_00114	OQ475017.1_00112
OG0000010	MN432490.1_00079	OQ475017.1_00074
OG0000011	MN432490.1_00064	OQ475017.1_00062
OG0000012	MN432490.1_00023	OQ475017.1_00022
OG0000013	MN432490.1_00058	OQ475017.1_00056
OG0000014	MN432490.1_00122	OQ475017.1_00120
OG0000015	MN432490.1_00123	OQ475017.1_00121
OG0000016	MN432490.1_00089	OQ475017.1_00084
OG0000017	MN432490.1_00035	OQ475017.1_00033
OG0000018	MN432490.1_00108	OQ475017.1_00105
OG0000019	MN432490.1_00088	OQ475017.1_00083
OG0000020	MN432490.1_00033	OQ475017.1_00031
OG0000021	MN432490.1_00005	OQ475017.1_00005
OG0000022	MN432490.1_00037	OQ475017.1_00035
OG0000023	MN432490.1_00046	OQ475017.1_00044
OG0000024	MN432490.1_00028	OQ475017.1_00027
OG0000025	MN432490.1_00065	OQ475017.1_00063
OG0000026	MN432490.1_00111	OQ475017.1_00108
OG0000027	MN432490.1_00090	OQ475017.1_00085
OG0000028	MN432490.1_00049	OQ475017.1_00047
OG0000029	MN432490.1_00062	OQ475017.1_00060
OG0000030	MN432490.1_00001	OQ475017.1_00001
OG0000031	MN432490.1_00006	OQ475017.1_00006
OG0000032	MN432490.1_00083	OQ475017.1_00078
OG0000033	MN432490.1_00091	OQ475017.1_00086
OG0000034	MN432490.1_00124	OQ475017.1_00122
OG0000035	MN432490.1_00013	OQ475017.1_00013
OG0000036	MN432490.1_00014	OQ475017.1_00014
OG0000037	MN432490.1_00019	OQ475017.1_00019
OG0000038	MN432490.1_00020	OQ475017.1_00020
OG0000039	MN432490.1_00024	OQ475017.1_00023
OG0000040	MN432490.1_00025	OQ475017.1_00024
OG0000041	MN432490.1_00034	OQ475017.1_00032
OG0000042	MN432490.1_00038	OQ475017.1_00036
