Orthogroup	MN432490.1	MK098186.1
OG0000000	MN432490.1_00032	MK098186.1_00030
OG0000001	MN432490.1_00008	MK098186.1_00008
OG0000002	MN432490.1_00007	MK098186.1_00007
OG0000003	MN432490.1_00015	MK098186.1_00015
OG0000004	MN432490.1_00113	MK098186.1_00109
OG0000005	MN432490.1_00097	MK098186.1_00092
OG0000006	MN432490.1_00078	MK098186.1_00073
OG0000007	MN432490.1_00092	MK098186.1_00087
OG0000008	MN432490.1_00031	MK098186.1_00029
OG0000009	MN432490.1_00114	MK098186.1_00111
OG0000010	MN432490.1_00079	MK098186.1_00074
OG0000011	MN432490.1_00064	MK098186.1_00061
OG0000012	MN432490.1_00023	MK098186.1_00022
OG0000013	MN432490.1_00058	MK098186.1_00055
OG0000014	MN432490.1_00122	MK098186.1_00119
OG0000015	MN432490.1_00123	MK098186.1_00120
OG0000016	MN432490.1_00089	MK098186.1_00084
OG0000017	MN432490.1_00035	MK098186.1_00033
OG0000018	MN432490.1_00108	MK098186.1_00104
OG0000019	MN432490.1_00088	MK098186.1_00083
OG0000020	MN432490.1_00033	MK098186.1_00031
OG0000021	MN432490.1_00005	MK098186.1_00005
OG0000022	MN432490.1_00037	MK098186.1_00035
OG0000023	MN432490.1_00046	MK098186.1_00044
OG0000024	MN432490.1_00028	MK098186.1_00026
OG0000025	MN432490.1_00065	MK098186.1_00062
OG0000026	MN432490.1_00111	MK098186.1_00107
OG0000027	MN432490.1_00090	MK098186.1_00085
OG0000028	MN432490.1_00049	MK098186.1_00047
OG0000029	MN432490.1_00062	MK098186.1_00059
OG0000030	MN432490.1_00001	MK098186.1_00001
OG0000031	MN432490.1_00006	MK098186.1_00006
OG0000032	MN432490.1_00083	MK098186.1_00078
OG0000033	MN432490.1_00091	MK098186.1_00086
OG0000034	MN432490.1_00124	MK098186.1_00121
OG0000035	MN432490.1_00013	MK098186.1_00013
OG0000036	MN432490.1_00014	MK098186.1_00014
OG0000037	MN432490.1_00019	MK098186.1_00019
OG0000038	MN432490.1_00020	MK098186.1_00020
OG0000039	MN432490.1_00024	MK098186.1_00023
OG0000040	MN432490.1_00025	MK098186.1_00024
OG0000041	MN432490.1_00034	MK098186.1_00032
OG0000042	MN432490.1_00038	MK098186.1_00036
OG0000043	MN432490.1_00050	MK098186.1_00048
OG0000044	MN432490.1_00051	MK098186.1_00049
OG0000045	MN432490.1_00056	MK098186.1_00053
OG0000046	MN432490.1_00057	MK098186.1_00054
OG0000047	MN432490.1_00059	MK098186.1_00056
OG0000048	MN432490.1_00060	MK098186.1_00057
OG0000049	MN432490.1_00061	MK098186.1_00058
OG0000050	MN432490.1_00080	MK098186.1_00075
OG0000051	MN432490.1_00084	MK098186.1_00079
OG0000052	MN432490.1_00085	MK098186.1_00080
OG0000053	MN432490.1_00096	MK098186.1_00091
OG0000054	MN432490.1_00098	MK098186.1_00093
OG0000055	MN432490.1_00101	MK098186.1_00096
OG0000056	MN432490.1_00112	MK098186.1_00108
OG0000057	MN432490.1_00116	MK098186.1_00113
OG0000058	MN432490.1_00118	MK098186.1_00115
OG0000059	MN432490.1_00002	MK098186.1_00002
OG0000060	MN432490.1_00010	MK098186.1_00010
OG0000061	MN432490.1_00018	MK098186.1_00018
OG0000062	MN432490.1_00093	MK098186.1_00088
OG0000063	MN432490.1_00073	MK098186.1_00070
OG0000064	MN432490.1_00017	MK098186.1_00017
OG0000065	MN432490.1_00040	MK098186.1_00038
OG0000066	MN432490.1_00044	MK098186.1_00042
OG0000067	MN432490.1_00048	MK098186.1_00046
OG0000068	MN432490.1_00067	MK098186.1_00065
OG0000069	MN432490.1_00100	MK098186.1_00095
OG0000070	MN432490.1_00102	MK098186.1_00097
OG0000071	MN432490.1_00115	MK098186.1_00112
OG0000072	MN432490.1_00009	MK098186.1_00009
OG0000073	MN432490.1_00012	MK098186.1_00012
OG0000074	MN432490.1_00016	MK098186.1_00016
OG0000075	MN432490.1_00036	MK098186.1_00034
OG0000076	MN432490.1_00039	MK098186.1_00037
OG0000077	MN432490.1_00042	MK098186.1_00040
OG0000078	MN432490.1_00043	MK098186.1_00041
OG0000079	MN432490.1_00047	MK098186.1_00045
OG0000080	MN432490.1_00052	MK098186.1_00050
OG0000081	MN432490.1_00053	MK098186.1_00051
OG0000082	MN432490.1_00054	MK098186.1_00052
OG0000083	MN432490.1_00063	MK098186.1_00060
OG0000084	MN432490.1_00066	MK098186.1_00063
OG0000085	MN432490.1_00069	MK098186.1_00066
OG0000086	MN432490.1_00070	MK098186.1_00067
OG0000087	MN432490.1_00075	MK098186.1_00071
OG0000088	MN432490.1_00076	MK098186.1_00072
OG0000089	MN432490.1_00086	MK098186.1_00081
OG0000090	MN432490.1_00087	MK098186.1_00082
OG0000091	MN432490.1_00099	MK098186.1_00094
OG0000092	MN432490.1_00103	MK098186.1_00098
OG0000093	MN432490.1_00106	MK098186.1_00102
OG0000094	MN432490.1_00109	MK098186.1_00105
OG0000095	MN432490.1_00110	MK098186.1_00106
OG0000096	MN432490.1_00120	MK098186.1_00117
OG0000097	MN432490.1_00003	MK098186.1_00003
OG0000098	MN432490.1_00004	MK098186.1_00004
OG0000099	MN432490.1_00041	MK098186.1_00039
OG0000100	MN432490.1_00045	MK098186.1_00043
OG0000101	MN432490.1_00071	MK098186.1_00068
OG0000102	MN432490.1_00081	MK098186.1_00076
OG0000103	MN432490.1_00104	MK098186.1_00099
OG0000104	MN432490.1_00107	MK098186.1_00103
OG0000105	MN432490.1_00117	MK098186.1_00114
OG0000106	MN432490.1_00030	MK098186.1_00028
OG0000107	MN432490.1_00105	MK098186.1_00100
OG0000108	MN432490.1_00121	MK098186.1_00118
OG0000109	MN432490.1_00072	MK098186.1_00069
OG0000110	MN432490.1_00119	MK098186.1_00116
OG0000111	MN432490.1_00095	MK098186.1_00090
OG0000112	MN432490.1_00082	MK098186.1_00077
OG0000114	MN432490.1_00022	MK098186.1_00021
OG0000115	MN432490.1_00011	MK098186.1_00011
OG0000118	MN432490.1_00094	MK098186.1_00089
