Orthogroup	MN432490.1	HF920633.1
OG0000000	MN432490.1_00032	HF920633.1_00044
OG0000001	MN432490.1_00008	HF920633.1_00069
OG0000002	MN432490.1_00007	HF920633.1_00073
OG0000003	MN432490.1_00015	HF920633.1_00127
OG0000004	MN432490.1_00113	HF920633.1_00079
OG0000005	MN432490.1_00097	HF920633.1_00085
OG0000006	MN432490.1_00078	HF920633.1_00025
OG0000007	MN432490.1_00092	HF920633.1_00091
OG0000008	MN432490.1_00031	HF920633.1_00043
OG0000009	MN432490.1_00114	HF920633.1_00122
OG0000011	MN432490.1_00064	HF920633.1_00118
OG0000012	MN432490.1_00023	HF920633.1_00001
OG0000013	MN432490.1_00058	HF920633.1_00067
OG0000014	MN432490.1_00122	HF920633.1_00138
OG0000015	MN432490.1_00123	HF920633.1_00058
OG0000016	MN432490.1_00089	HF920633.1_00094
OG0000017	MN432490.1_00035	HF920633.1_00158
OG0000018	MN432490.1_00108	HF920633.1_00003
OG0000019	MN432490.1_00088	HF920633.1_00163
OG0000020	MN432490.1_00033	HF920633.1_00080
OG0000021	MN432490.1_00005	HF920633.1_00097
OG0000022	MN432490.1_00037	HF920633.1_00175
OG0000023	MN432490.1_00046	HF920633.1_00017
OG0000024	MN432490.1_00028	HF920633.1_00062
OG0000025	MN432490.1_00065	HF920633.1_00047
