Orthogroup	MN432490.1	MF599468.1
OG0000000	MN432490.1_00032	MF599468.1_00057, MF599468.1_00056
OG0000001	MN432490.1_00008	MF599468.1_00163
OG0000002	MN432490.1_00007	MF599468.1_00152
OG0000003	MN432490.1_00015	MF599468.1_00011
OG0000004	MN432490.1_00113	MF599468.1_00092
OG0000005	MN432490.1_00097	MF599468.1_00154
OG0000006	MN432490.1_00078	MF599468.1_00010
OG0000007	MN432490.1_00092	MF599468.1_00174
OG0000008	MN432490.1_00031	MF599468.1_00030
OG0000009	MN432490.1_00114	MF599468.1_00075
OG0000011	MN432490.1_00064	MF599468.1_00149
OG0000012	MN432490.1_00023	MF599468.1_00112
OG0000013	MN432490.1_00058	MF599468.1_00033
OG0000014	MN432490.1_00122	MF599468.1_00122
OG0000015	MN432490.1_00123	MF599468.1_00009
OG0000016	MN432490.1_00089	MF599468.1_00046
OG0000017	MN432490.1_00035	MF599468.1_00035
OG0000018	MN432490.1_00108	MF599468.1_00117
OG0000019	MN432490.1_00088	MF599468.1_00106
OG0000020	MN432490.1_00033	MF599468.1_00090
OG0000021	MN432490.1_00005	MF599468.1_00116
OG0000022	MN432490.1_00037	MF599468.1_00071
OG0000023	MN432490.1_00046	MF599468.1_00171
OG0000026	MN432490.1_00111	MF599468.1_00039
OG0000047	MN432490.1_00059	MF599468.1_00013
OG0000069	MN432490.1_00100	MF599468.1_00131
