Orthogroup	AY779031.1	L63545.1
OG0000000	AY779031.1_00034	L63545.1_00007
OG0000001	AY779031.1_00007	L63545.1_00079
OG0000003	AY779031.1_00008	L63545.1_00035
OG0000004	AY779031.1_00015, AY779031.1_00016	L63545.1_00076
OG0000005	AY779031.1_00033	L63545.1_00108
OG0000006	AY779031.1_00083	L63545.1_00093
OG0000007	AY779031.1_00098	L63545.1_00090
OG0000008	AY779031.1_00121	L63545.1_00001
OG0000009	AY779031.1_00122	L63545.1_00024
OG0000010	AY779031.1_00005	L63545.1_00043
OG0000011	AY779031.1_00023	L63545.1_00071
OG0000012	AY779031.1_00035	L63545.1_00098
OG0000013	AY779031.1_00037	L63545.1_00072
OG0000014	AY779031.1_00039	L63545.1_00013
OG0000015	AY779031.1_00061	L63545.1_00004
OG0000016	AY779031.1_00068	L63545.1_00069
OG0000017	AY779031.1_00094	L63545.1_00009
OG0000018	AY779031.1_00095	L63545.1_00073
OG0000019	AY779031.1_00116	L63545.1_00068
OG0000020	AY779031.1_00129	L63545.1_00030
OG0000021	AY779031.1_00130	L63545.1_00110
OG0000022	AY779031.1_00049	L63545.1_00054
OG0000023	AY779031.1_00103	L63545.1_00056
OG0000024	AY779031.1_00119	L63545.1_00002
OG0000026	AY779031.1_00096	L63545.1_00058
OG0000027	AY779031.1_00052	L63545.1_00003
