Orthogroup	AY779031.1	LS484712.1
OG0000000	AY779031.1_00034	LS484712.1_00114
OG0000001	AY779031.1_00007	LS484712.1_00142
OG0000003	AY779031.1_00008	LS484712.1_00095
OG0000004	AY779031.1_00015, AY779031.1_00016	LS484712.1_00187
OG0000005	AY779031.1_00033	LS484712.1_00248
OG0000006	AY779031.1_00083	LS484712.1_00040
OG0000007	AY779031.1_00098	LS484712.1_00234, LS484712.1_00050
OG0000009	AY779031.1_00122	LS484712.1_00130
OG0000010	AY779031.1_00005	LS484712.1_00096
OG0000011	AY779031.1_00023	LS484712.1_00200
OG0000012	AY779031.1_00035	LS484712.1_00188
OG0000013	AY779031.1_00037	LS484712.1_00240
OG0000014	AY779031.1_00039	LS484712.1_00194
OG0000015	AY779031.1_00061	LS484712.1_00143
OG0000016	AY779031.1_00068	LS484712.1_00203
OG0000017	AY779031.1_00094	LS484712.1_00192
OG0000018	AY779031.1_00095	LS484712.1_00048
OG0000019	AY779031.1_00116	LS484712.1_00053
OG0000020	AY779031.1_00129	LS484712.1_00202
OG0000021	AY779031.1_00130	LS484712.1_00135
OG0000022	AY779031.1_00049	LS484712.1_00117
OG0000068	AY779031.1_00072	LS484712.1_00002
