Orthogroup	MT798582.1	AY894343.1
OG0000000	MT798582.1_00076	AY894343.1_00029
OG0000001	MT798582.1_00018	AY894343.1_00008
OG0000002	MT798582.1_00019	AY894343.1_00007
OG0000003	MT798582.1_00012	AY894343.1_00015
OG0000004	MT798582.1_00037	AY894343.1_00113
OG0000005	MT798582.1_00111	AY894343.1_00096
OG0000006	MT798582.1_00088	AY894343.1_00076
OG0000007	MT798582.1_00116	AY894343.1_00090
OG0000008	MT798582.1_00077	AY894343.1_00028
OG0000009	MT798582.1_00036	AY894343.1_00115
OG0000010	MT798582.1_00087	AY894343.1_00077
OG0000011	MT798582.1_00100	AY894343.1_00063
OG0000012	MT798582.1_00004	AY894343.1_00021
OG0000013	MT798582.1_00049	AY894343.1_00056
OG0000014	MT798582.1_00028	AY894343.1_00123
OG0000015	MT798582.1_00027	AY894343.1_00124
OG0000016	MT798582.1_00119	AY894343.1_00087
OG0000017	MT798582.1_00073	AY894343.1_00032
OG0000018	MT798582.1_00042	AY894343.1_00108
OG0000019	MT798582.1_00120	AY894343.1_00086
OG0000020	MT798582.1_00075	AY894343.1_00030
OG0000021	MT798582.1_00021	AY894343.1_00005
OG0000022	MT798582.1_00071	AY894343.1_00034
OG0000023	MT798582.1_00062	AY894343.1_00043
OG0000024	MT798582.1_00080	AY894343.1_00025
OG0000025	MT798582.1_00099	AY894343.1_00064
OG0000026	MT798582.1_00039	AY894343.1_00111
OG0000027	MT798582.1_00118	AY894343.1_00088
OG0000028	MT798582.1_00059	AY894343.1_00046
OG0000029	MT798582.1_00045, MT798582.1_00102	AY894343.1_00060
OG0000030	MT798582.1_00025	AY894343.1_00001
OG0000031	MT798582.1_00020	AY894343.1_00006
OG0000032	MT798582.1_00125	AY894343.1_00081
OG0000033	MT798582.1_00117	AY894343.1_00089
OG0000034	MT798582.1_00026	AY894343.1_00125
OG0000035	MT798582.1_00014	AY894343.1_00013
OG0000036	MT798582.1_00013	AY894343.1_00014
OG0000037	MT798582.1_00008	AY894343.1_00019
OG0000038	MT798582.1_00007	AY894343.1_00020
OG0000039	MT798582.1_00003	AY894343.1_00022
OG0000040	MT798582.1_00002	AY894343.1_00023
OG0000041	MT798582.1_00074	AY894343.1_00031
OG0000042	MT798582.1_00070	AY894343.1_00035
OG0000043	MT798582.1_00057	AY894343.1_00048
OG0000044	MT798582.1_00056	AY894343.1_00049
OG0000045	MT798582.1_00051	AY894343.1_00054
OG0000046	MT798582.1_00050	AY894343.1_00055
OG0000047	MT798582.1_00048	AY894343.1_00057
OG0000048	MT798582.1_00047	AY894343.1_00058
OG0000049	MT798582.1_00046	AY894343.1_00059
OG0000050	MT798582.1_00086	AY894343.1_00078
OG0000051	MT798582.1_00124	AY894343.1_00082
OG0000052	MT798582.1_00123	AY894343.1_00083
OG0000053	MT798582.1_00112	AY894343.1_00095
OG0000054	MT798582.1_00110	AY894343.1_00097
OG0000055	MT798582.1_00107	AY894343.1_00100
OG0000056	MT798582.1_00038	AY894343.1_00112
OG0000057	MT798582.1_00034	AY894343.1_00117
OG0000058	MT798582.1_00032	AY894343.1_00119
OG0000059	MT798582.1_00024	AY894343.1_00002
OG0000060	MT798582.1_00016	AY894343.1_00010
OG0000061	MT798582.1_00009	AY894343.1_00018
OG0000062	MT798582.1_00115	AY894343.1_00091
OG0000063	MT798582.1_00091	AY894343.1_00072
OG0000064	MT798582.1_00010	AY894343.1_00017
OG0000065	MT798582.1_00068	AY894343.1_00037
OG0000066	MT798582.1_00064	AY894343.1_00041
OG0000067	MT798582.1_00060	AY894343.1_00045
OG0000068	MT798582.1_00096	AY894343.1_00067
OG0000069	MT798582.1_00108	AY894343.1_00099
OG0000070	MT798582.1_00106	AY894343.1_00101
OG0000071	MT798582.1_00035	AY894343.1_00116
OG0000072	MT798582.1_00017	AY894343.1_00009
OG0000073	MT798582.1_00015	AY894343.1_00011
OG0000074	MT798582.1_00011	AY894343.1_00016
OG0000075	MT798582.1_00072	AY894343.1_00033
OG0000076	MT798582.1_00069	AY894343.1_00036
OG0000077	MT798582.1_00066	AY894343.1_00039
OG0000078	MT798582.1_00065	AY894343.1_00040
OG0000079	MT798582.1_00061	AY894343.1_00044
OG0000080	MT798582.1_00055	AY894343.1_00050
OG0000081	MT798582.1_00054	AY894343.1_00051
OG0000082	MT798582.1_00053	AY894343.1_00052
OG0000083	MT798582.1_00101	AY894343.1_00062
OG0000084	MT798582.1_00098	AY894343.1_00065
OG0000085	MT798582.1_00095	AY894343.1_00068
OG0000086	MT798582.1_00094	AY894343.1_00069
OG0000087	MT798582.1_00090	AY894343.1_00073
OG0000088	MT798582.1_00089	AY894343.1_00074
OG0000089	MT798582.1_00122	AY894343.1_00084
OG0000090	MT798582.1_00121	AY894343.1_00085
OG0000091	MT798582.1_00109	AY894343.1_00098
OG0000092	MT798582.1_00105	AY894343.1_00102
OG0000093	MT798582.1_00044	AY894343.1_00106
OG0000094	MT798582.1_00041	AY894343.1_00109
OG0000095	MT798582.1_00040	AY894343.1_00110
OG0000096	MT798582.1_00030	AY894343.1_00121
OG0000097	MT798582.1_00023	AY894343.1_00003
OG0000098	MT798582.1_00022	AY894343.1_00004
OG0000099	MT798582.1_00067	AY894343.1_00038
OG0000100	MT798582.1_00063	AY894343.1_00042
OG0000101	MT798582.1_00093	AY894343.1_00070
OG0000102	MT798582.1_00085	AY894343.1_00079
OG0000103	MT798582.1_00104	AY894343.1_00103
OG0000104	MT798582.1_00043	AY894343.1_00107
OG0000105	MT798582.1_00033	AY894343.1_00118
OG0000106	MT798582.1_00078	AY894343.1_00027
OG0000107	MT798582.1_00103	AY894343.1_00104
OG0000108	MT798582.1_00029	AY894343.1_00122
OG0000109	MT798582.1_00092	AY894343.1_00071
OG0000110	MT798582.1_00031	AY894343.1_00120
OG0000111	MT798582.1_00113	AY894343.1_00094
OG0000116	MT798582.1_00052	AY894343.1_00053
OG0000117	MT798582.1_00097	AY894343.1_00066
OG0000130	MT798582.1_00058	AY894343.1_00047
OG0000131	MT798582.1_00114	AY894343.1_00092
OG0000209	MT798582.1_00082	AY894343.1_00024
