Orthogroup	MT798582.1	AF303741.1
OG0000000	MT798582.1_00076	AF303741.1_00079, AF303741.1_00152
OG0000001	MT798582.1_00018	AF303741.1_00200, AF303741.1_00047
OG0000002	MT798582.1_00019	AF303741.1_00125
OG0000003	MT798582.1_00012	AF303741.1_00035
OG0000004	MT798582.1_00037	AF303741.1_00080
OG0000005	MT798582.1_00111	AF303741.1_00129
OG0000006	MT798582.1_00088	AF303741.1_00132
OG0000007	MT798582.1_00116	AF303741.1_00149
OG0000008	MT798582.1_00077	AF303741.1_00165
OG0000009	MT798582.1_00036	AF303741.1_00176
OG0000011	MT798582.1_00100	AF303741.1_00006
OG0000012	MT798582.1_00004	AF303741.1_00011
OG0000013	MT798582.1_00049	AF303741.1_00023
OG0000014	MT798582.1_00028	AF303741.1_00026
OG0000015	MT798582.1_00027	AF303741.1_00046
OG0000016	MT798582.1_00119	AF303741.1_00062
OG0000017	MT798582.1_00073	AF303741.1_00063
OG0000018	MT798582.1_00042	AF303741.1_00081
OG0000019	MT798582.1_00120	AF303741.1_00137
OG0000020	MT798582.1_00075	AF303741.1_00156
OG0000021	MT798582.1_00021	AF303741.1_00158
OG0000022	MT798582.1_00071	AF303741.1_00189
OG0000023	MT798582.1_00062	AF303741.1_00154
OG0000024	MT798582.1_00080	AF303741.1_00168
OG0000025	MT798582.1_00099	AF303741.1_00051
