Orthogroup	MT798582.1	OM037668.1
OG0000000	MT798582.1_00076	OM037668.1_00035
OG0000001	MT798582.1_00018	OM037668.1_00056
OG0000002	MT798582.1_00019	OM037668.1_00057
OG0000003	MT798582.1_00012	OM037668.1_00050
OG0000004	MT798582.1_00037	OM037668.1_00076
OG0000005	MT798582.1_00111	OM037668.1_00080
OG0000006	MT798582.1_00088	OM037668.1_00021
OG0000007	MT798582.1_00116	OM037668.1_00084
OG0000008	MT798582.1_00077	OM037668.1_00038
OG0000009	MT798582.1_00036	OM037668.1_00077
OG0000010	MT798582.1_00087	OM037668.1_00133, OM037668.1_00125, OM037668.1_00006
OG0000011	MT798582.1_00100	OM037668.1_00009
OG0000012	MT798582.1_00004	OM037668.1_00041
OG0000013	MT798582.1_00049	OM037668.1_00098
OG0000014	MT798582.1_00028	OM037668.1_00078
OG0000015	MT798582.1_00027	OM037668.1_00004
OG0000016	MT798582.1_00119	OM037668.1_00089
OG0000017	MT798582.1_00073	OM037668.1_00124
OG0000018	MT798582.1_00042	OM037668.1_00073
OG0000019	MT798582.1_00120	OM037668.1_00090
OG0000020	MT798582.1_00075	OM037668.1_00123
OG0000021	MT798582.1_00021	OM037668.1_00013
OG0000022	MT798582.1_00071	OM037668.1_00127
OG0000023	MT798582.1_00062	OM037668.1_00113
OG0000024	MT798582.1_00080	OM037668.1_00064
OG0000025	MT798582.1_00099	OM037668.1_00024
OG0000026	MT798582.1_00039	OM037668.1_00074
OG0000027	MT798582.1_00118	OM037668.1_00087
OG0000028	MT798582.1_00059	OM037668.1_00110
OG0000029	MT798582.1_00102	OM037668.1_00095
OG0000030	MT798582.1_00025	OM037668.1_00030
OG0000031	MT798582.1_00020	OM037668.1_00011
OG0000032	MT798582.1_00084, MT798582.1_00125	OM037668.1_00019
OG0000033	MT798582.1_00117	OM037668.1_00086
OG0000034	MT798582.1_00026	OM037668.1_00028
OG0000035	MT798582.1_00014	OM037668.1_00051
OG0000036	MT798582.1_00013	OM037668.1_00005
OG0000037	MT798582.1_00008	OM037668.1_00046
OG0000038	MT798582.1_00007	OM037668.1_00045
OG0000039	MT798582.1_00003	OM037668.1_00040
OG0000040	MT798582.1_00002	OM037668.1_00048
OG0000041	MT798582.1_00074	OM037668.1_00003
OG0000042	MT798582.1_00070	OM037668.1_00122
OG0000043	MT798582.1_00057	OM037668.1_00106
OG0000044	MT798582.1_00056	OM037668.1_00105
OG0000045	MT798582.1_00051	OM037668.1_00100
OG0000046	MT798582.1_00050	OM037668.1_00099
OG0000047	MT798582.1_00048	OM037668.1_00097
OG0000048	MT798582.1_00047	OM037668.1_00085
OG0000049	MT798582.1_00046	OM037668.1_00096
OG0000050	MT798582.1_00086	OM037668.1_00020
OG0000051	MT798582.1_00124	OM037668.1_00018
OG0000052	MT798582.1_00123	OM037668.1_00130
OG0000053	MT798582.1_00112	OM037668.1_00081
OG0000054	MT798582.1_00110	OM037668.1_00032
OG0000055	MT798582.1_00107	OM037668.1_00033
OG0000056	MT798582.1_00038	OM037668.1_00075
OG0000057	MT798582.1_00034	OM037668.1_00079
OG0000058	MT798582.1_00032	OM037668.1_00134
OG0000059	MT798582.1_00024	OM037668.1_00031
OG0000060	MT798582.1_00016	OM037668.1_00054
OG0000061	MT798582.1_00009	OM037668.1_00047
OG0000062	MT798582.1_00115	OM037668.1_00083
OG0000096	MT798582.1_00030	OM037668.1_00091
OG0000114	MT798582.1_00005	OM037668.1_00042
OG0000116	MT798582.1_00052	OM037668.1_00101
