Orthogroup	MT798582.1	KF938901.1
OG0000000	MT798582.1_00076	KF938901.1_00126
OG0000001	MT798582.1_00018	KF938901.1_00080
OG0000002	MT798582.1_00019	KF938901.1_00044
OG0000003	MT798582.1_00012	KF938901.1_00005
OG0000004	MT798582.1_00037	KF938901.1_00043
OG0000005	MT798582.1_00111	KF938901.1_00125
OG0000006	MT798582.1_00088	KF938901.1_00072
OG0000007	MT798582.1_00116	KF938901.1_00053
OG0000008	MT798582.1_00077	KF938901.1_00067
OG0000009	MT798582.1_00036	KF938901.1_00114
OG0000011	MT798582.1_00100	KF938901.1_00092
OG0000012	MT798582.1_00004	KF938901.1_00054
OG0000013	MT798582.1_00049	KF938901.1_00060
OG0000014	MT798582.1_00028	KF938901.1_00074
OG0000015	MT798582.1_00027	KF938901.1_00095
OG0000016	MT798582.1_00119	KF938901.1_00046
OG0000017	MT798582.1_00073	KF938901.1_00123
OG0000018	MT798582.1_00042	KF938901.1_00025
OG0000019	MT798582.1_00120	KF938901.1_00012
OG0000020	MT798582.1_00075	KF938901.1_00047
OG0000021	MT798582.1_00021	KF938901.1_00124
OG0000022	MT798582.1_00071	KF938901.1_00023
OG0000023	MT798582.1_00062	KF938901.1_00031
OG0000024	MT798582.1_00080	KF938901.1_00094
OG0000025	MT798582.1_00099	KF938901.1_00093
