Orthogroup	MT798582.1	MK689685.1
OG0000000	MT798582.1_00076	MK689685.1_00029
OG0000001	MT798582.1_00018	MK689685.1_00008
OG0000002	MT798582.1_00019	MK689685.1_00007
OG0000003	MT798582.1_00012	MK689685.1_00015
OG0000004	MT798582.1_00037	MK689685.1_00110
OG0000005	MT798582.1_00111	MK689685.1_00094
OG0000006	MT798582.1_00088	MK689685.1_00075
OG0000007	MT798582.1_00116	MK689685.1_00089
OG0000008	MT798582.1_00077	MK689685.1_00028
OG0000009	MT798582.1_00036	MK689685.1_00111
OG0000010	MT798582.1_00087	MK689685.1_00076
OG0000011	MT798582.1_00100	MK689685.1_00061
OG0000012	MT798582.1_00004	MK689685.1_00021
OG0000013	MT798582.1_00049	MK689685.1_00054
OG0000014	MT798582.1_00028	MK689685.1_00118
OG0000015	MT798582.1_00027	MK689685.1_00119
OG0000016	MT798582.1_00119	MK689685.1_00086
OG0000017	MT798582.1_00073	MK689685.1_00032
OG0000018	MT798582.1_00042	MK689685.1_00105
OG0000019	MT798582.1_00120	MK689685.1_00085
OG0000020	MT798582.1_00075	MK689685.1_00030
OG0000021	MT798582.1_00021	MK689685.1_00005
OG0000022	MT798582.1_00071	MK689685.1_00034
OG0000023	MT798582.1_00062	MK689685.1_00043
OG0000025	MT798582.1_00099	MK689685.1_00062
OG0000026	MT798582.1_00039	MK689685.1_00108
OG0000027	MT798582.1_00118	MK689685.1_00087
OG0000028	MT798582.1_00059	MK689685.1_00046
OG0000029	MT798582.1_00102	MK689685.1_00059
OG0000030	MT798582.1_00025	MK689685.1_00001
OG0000031	MT798582.1_00020	MK689685.1_00006
OG0000032	MT798582.1_00084, MT798582.1_00125	MK689685.1_00079
OG0000033	MT798582.1_00117	MK689685.1_00088
OG0000034	MT798582.1_00026	MK689685.1_00120
OG0000035	MT798582.1_00014	MK689685.1_00013
OG0000036	MT798582.1_00013	MK689685.1_00014
OG0000037	MT798582.1_00008	MK689685.1_00019
OG0000038	MT798582.1_00007	MK689685.1_00020
OG0000039	MT798582.1_00003	MK689685.1_00022
OG0000040	MT798582.1_00002	MK689685.1_00023
OG0000041	MT798582.1_00074	MK689685.1_00031
OG0000042	MT798582.1_00070	MK689685.1_00035
OG0000043	MT798582.1_00057	MK689685.1_00047
OG0000044	MT798582.1_00056	MK689685.1_00048
OG0000045	MT798582.1_00051	MK689685.1_00052
OG0000046	MT798582.1_00050	MK689685.1_00053
OG0000047	MT798582.1_00048	MK689685.1_00055
OG0000048	MT798582.1_00047	MK689685.1_00057
OG0000049	MT798582.1_00046	MK689685.1_00058
OG0000050	MT798582.1_00086	MK689685.1_00077
OG0000051	MT798582.1_00124	MK689685.1_00080
OG0000052	MT798582.1_00123	MK689685.1_00081
OG0000053	MT798582.1_00112	MK689685.1_00093
OG0000054	MT798582.1_00110	MK689685.1_00095
OG0000055	MT798582.1_00107	MK689685.1_00098
OG0000056	MT798582.1_00038	MK689685.1_00109
OG0000057	MT798582.1_00034	MK689685.1_00113
OG0000058	MT798582.1_00032	MK689685.1_00115
OG0000059	MT798582.1_00024	MK689685.1_00002
OG0000060	MT798582.1_00016	MK689685.1_00010
OG0000061	MT798582.1_00009	MK689685.1_00018
OG0000062	MT798582.1_00115	MK689685.1_00090
OG0000063	MT798582.1_00091	MK689685.1_00070
OG0000064	MT798582.1_00010	MK689685.1_00017
OG0000065	MT798582.1_00068	MK689685.1_00037
OG0000066	MT798582.1_00064	MK689685.1_00041
OG0000067	MT798582.1_00060	MK689685.1_00045
