Orthogroup	MT798582.1	HF920637.1
OG0000000	MT798582.1_00076	HF920637.1_00129, HF920637.1_00164
OG0000001	MT798582.1_00018	HF920637.1_00059
OG0000002	MT798582.1_00019	HF920637.1_00143
OG0000003	MT798582.1_00012	HF920637.1_00159
OG0000004	MT798582.1_00037	HF920637.1_00025
OG0000005	MT798582.1_00111	HF920637.1_00221
OG0000006	MT798582.1_00088	HF920637.1_00121
OG0000007	MT798582.1_00116	HF920637.1_00172
OG0000008	MT798582.1_00077	HF920637.1_00176, HF920637.1_00175
OG0000009	MT798582.1_00036	HF920637.1_00153
OG0000011	MT798582.1_00100	HF920637.1_00217
OG0000012	MT798582.1_00004	HF920637.1_00001
OG0000013	MT798582.1_00049	HF920637.1_00017
OG0000014	MT798582.1_00028	HF920637.1_00108
OG0000015	MT798582.1_00027	HF920637.1_00152
OG0000016	MT798582.1_00119	HF920637.1_00079
OG0000017	MT798582.1_00073	HF920637.1_00073
OG0000018	MT798582.1_00042	HF920637.1_00111
OG0000019	MT798582.1_00120	HF920637.1_00197
OG0000020	MT798582.1_00075	HF920637.1_00031
OG0000021	MT798582.1_00021	HF920637.1_00041
OG0000022	MT798582.1_00071	HF920637.1_00213
OG0000023	MT798582.1_00062	HF920637.1_00033
OG0000024	MT798582.1_00080	HF920637.1_00061
OG0000025	MT798582.1_00099	HF920637.1_00156
OG0000031	MT798582.1_00020	HF920637.1_00127
