Orthogroup	MT798582.1	NC_005946.1
OG0000000	MT798582.1_00076	NC_005946.1_00010
OG0000001	MT798582.1_00018	NC_005946.1_00053
OG0000002	MT798582.1_00019	NC_005946.1_00091
OG0000003	MT798582.1_00012	NC_005946.1_00057
OG0000004	MT798582.1_00037	NC_005946.1_00028
OG0000005	MT798582.1_00111	NC_005946.1_00014
OG0000006	MT798582.1_00088	NC_005946.1_00042
OG0000007	MT798582.1_00116	NC_005946.1_00002
OG0000008	MT798582.1_00077	NC_005946.1_00095
OG0000009	MT798582.1_00036	NC_005946.1_00092
OG0000011	MT798582.1_00100	NC_005946.1_00011
OG0000012	MT798582.1_00004	NC_005946.1_00060
OG0000013	MT798582.1_00049	NC_005946.1_00022
OG0000014	MT798582.1_00028	NC_005946.1_00016
OG0000015	MT798582.1_00027	NC_005946.1_00021
OG0000016	MT798582.1_00119	NC_005946.1_00082
OG0000017	MT798582.1_00073	NC_005946.1_00087
OG0000018	MT798582.1_00042	NC_005946.1_00023
OG0000019	MT798582.1_00120	NC_005946.1_00094
OG0000020	MT798582.1_00075	NC_005946.1_00083
OG0000021	MT798582.1_00021	NC_005946.1_00038
OG0000022	MT798582.1_00071	NC_005946.1_00061
OG0000023	MT798582.1_00062	NC_005946.1_00089
OG0000024	MT798582.1_00080	NC_005946.1_00067
OG0000026	MT798582.1_00039	NC_005946.1_00086
OG0000027	MT798582.1_00118	NC_005946.1_00049
OG0000028	MT798582.1_00059	NC_005946.1_00085
