Orthogroup	MCV_MP1_LYCI_MW139932.1	Irido_IIV6_AF303741.1
OG0000000	MCV_MP1_LYCI_MW139932.1_00033	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_MP1_LYCI_MW139932.1_00007	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_MP1_LYCI_MW139932.1_00008	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_MP1_LYCI_MW139932.1_00015	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_MP1_LYCI_MW139932.1_00113	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_MP1_LYCI_MW139932.1_00091	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_MP1_LYCI_MW139932.1_00032	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_MP1_LYCI_MW139932.1_00077	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_MP1_LYCI_MW139932.1_00115	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_MP1_LYCI_MW139932.1_00096	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_MP1_LYCI_MW139932.1_00087	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_MP1_LYCI_MW139932.1_00038	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_MP1_LYCI_MW139932.1_00108	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_MP1_LYCI_MW139932.1_00088	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_MP1_LYCI_MW139932.1_00034	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_MP1_LYCI_MW139932.1_00023	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_MP1_LYCI_MW139932.1_00059	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_MP1_LYCI_MW139932.1_00123	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_MP1_LYCI_MW139932.1_00065	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_MP1_LYCI_MW139932.1_00124	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_MP1_LYCI_MW139932.1_00036	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_MP1_LYCI_MW139932.1_00005	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_MP1_LYCI_MW139932.1_00047	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_MP1_LYCI_MW139932.1_00029	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_MP1_LYCI_MW139932.1_00066	Irido_IIV6_AF303741.1_00051
