Orthogroup	ON740976.1	KF938901.1
OG0000000	ON740976.1_00030	KF938901.1_00126
OG0000001	ON740976.1_00007	KF938901.1_00044
OG0000003	ON740976.1_00008	KF938901.1_00080
OG0000004	ON740976.1_00014	KF938901.1_00005
OG0000005	ON740976.1_00029	KF938901.1_00067
OG0000006	ON740976.1_00075	KF938901.1_00072
OG0000007	ON740976.1_00089	KF938901.1_00053
OG0000008	ON740976.1_00111	KF938901.1_00043
OG0000009	ON740976.1_00113	KF938901.1_00114
OG0000010	ON740976.1_00005	KF938901.1_00124
OG0000011	ON740976.1_00021	KF938901.1_00054
OG0000012	ON740976.1_00031	KF938901.1_00047
OG0000013	ON740976.1_00033	KF938901.1_00123
OG0000014	ON740976.1_00035	KF938901.1_00023
OG0000015	ON740976.1_00057	KF938901.1_00060
OG0000016	ON740976.1_00063	KF938901.1_00092
OG0000017	ON740976.1_00085	KF938901.1_00012
OG0000018	ON740976.1_00086	KF938901.1_00046
OG0000019	ON740976.1_00106	KF938901.1_00025
OG0000020	ON740976.1_00121	KF938901.1_00074
OG0000021	ON740976.1_00122	KF938901.1_00095
OG0000022	ON740976.1_00044	KF938901.1_00031
OG0000025	ON740976.1_00064	KF938901.1_00093
