Orthogroup	ON740976.1	MF599468.1
OG0000000	ON740976.1_00030	MF599468.1_00057, MF599468.1_00056
OG0000001	ON740976.1_00007	MF599468.1_00152
OG0000003	ON740976.1_00008	MF599468.1_00163
OG0000004	ON740976.1_00014	MF599468.1_00011
OG0000005	ON740976.1_00029	MF599468.1_00030
OG0000006	ON740976.1_00075	MF599468.1_00010
OG0000007	ON740976.1_00089	MF599468.1_00174
OG0000008	ON740976.1_00111	MF599468.1_00092
OG0000009	ON740976.1_00113	MF599468.1_00075
OG0000010	ON740976.1_00005	MF599468.1_00116
OG0000011	ON740976.1_00021	MF599468.1_00112
OG0000012	ON740976.1_00031	MF599468.1_00090
OG0000013	ON740976.1_00033	MF599468.1_00035
OG0000014	ON740976.1_00035	MF599468.1_00071
OG0000015	ON740976.1_00057	MF599468.1_00033
OG0000016	ON740976.1_00063	MF599468.1_00149
OG0000017	ON740976.1_00085	MF599468.1_00106
OG0000018	ON740976.1_00086	MF599468.1_00046
OG0000019	ON740976.1_00106	MF599468.1_00117
OG0000020	ON740976.1_00121	MF599468.1_00122
OG0000021	ON740976.1_00122	MF599468.1_00009
OG0000022	ON740976.1_00044	MF599468.1_00171
OG0000023	ON740976.1_00094	MF599468.1_00154
OG0000024	ON740976.1_00109	MF599468.1_00039
OG0000046	ON740976.1_00058	MF599468.1_00013
OG0000069	ON740976.1_00097	MF599468.1_00131
