Orthogroup	ON740976.1	MN803438.1
OG0000000	ON740976.1_00030	MN803438.1_00124
OG0000001	ON740976.1_00007	MN803438.1_00023
OG0000003	ON740976.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	ON740976.1_00014	MN803438.1_00113
OG0000005	ON740976.1_00029	MN803438.1_00106
OG0000006	ON740976.1_00075	MN803438.1_00142
OG0000007	ON740976.1_00089	MN803438.1_00027
OG0000008	ON740976.1_00111	MN803438.1_00104
OG0000009	ON740976.1_00113	MN803438.1_00109
OG0000010	ON740976.1_00005	MN803438.1_00089
OG0000011	ON740976.1_00021	MN803438.1_00128
OG0000012	ON740976.1_00031	MN803438.1_00068
OG0000013	ON740976.1_00033	MN803438.1_00035
OG0000014	ON740976.1_00035	MN803438.1_00013
OG0000015	ON740976.1_00057	MN803438.1_00007
OG0000016	ON740976.1_00063	MN803438.1_00049
OG0000017	ON740976.1_00085	MN803438.1_00097
OG0000018	ON740976.1_00086	MN803438.1_00122
OG0000019	ON740976.1_00106	MN803438.1_00051
OG0000020	ON740976.1_00121	MN803438.1_00070
OG0000021	ON740976.1_00122	MN803438.1_00046
OG0000022	ON740976.1_00044	MN803438.1_00077
OG0000023	ON740976.1_00094	MN803438.1_00071
OG0000024	ON740976.1_00109	MN803438.1_00126
OG0000026	ON740976.1_00087	MN803438.1_00037
OG0000027	ON740976.1_00047	MN803438.1_00054
OG0000028	ON740976.1_00006	MN803438.1_00145
