Orthogroup	ON740976.1	LS484712.1
OG0000000	ON740976.1_00030	LS484712.1_00114
OG0000001	ON740976.1_00007	LS484712.1_00142
OG0000003	ON740976.1_00008	LS484712.1_00095
OG0000004	ON740976.1_00014	LS484712.1_00187
OG0000005	ON740976.1_00029	LS484712.1_00248
OG0000006	ON740976.1_00075	LS484712.1_00040
OG0000007	ON740976.1_00089	LS484712.1_00234, LS484712.1_00050
OG0000009	ON740976.1_00113	LS484712.1_00130
OG0000010	ON740976.1_00005	LS484712.1_00096
OG0000011	ON740976.1_00021	LS484712.1_00200
OG0000012	ON740976.1_00031	LS484712.1_00188
OG0000013	ON740976.1_00033	LS484712.1_00240
OG0000014	ON740976.1_00035	LS484712.1_00194
OG0000015	ON740976.1_00057	LS484712.1_00143
OG0000016	ON740976.1_00063	LS484712.1_00203
OG0000017	ON740976.1_00085	LS484712.1_00192
OG0000018	ON740976.1_00086	LS484712.1_00048
OG0000019	ON740976.1_00106	LS484712.1_00053
OG0000020	ON740976.1_00121	LS484712.1_00202
OG0000021	ON740976.1_00122	LS484712.1_00135
OG0000022	ON740976.1_00044	LS484712.1_00117
OG0000068	ON740976.1_00067	LS484712.1_00002
