Orthogroup	MK098185.1	GQ273492.1
OG0000000	MK098185.1_00033	GQ273492.1_00030
OG0000001	MK098185.1_00007	GQ273492.1_00007
OG0000002	MK098185.1_00077	GQ273492.1_00074
OG0000003	MK098185.1_00008	GQ273492.1_00008
OG0000004	MK098185.1_00015	GQ273492.1_00015
OG0000005	MK098185.1_00032	GQ273492.1_00029
OG0000006	MK098185.1_00076	GQ273492.1_00073
OG0000007	MK098185.1_00090	GQ273492.1_00087
OG0000008	MK098185.1_00112	GQ273492.1_00108
OG0000009	MK098185.1_00114	GQ273492.1_00110
OG0000010	MK098185.1_00005	GQ273492.1_00005
OG0000011	MK098185.1_00022	GQ273492.1_00022
OG0000012	MK098185.1_00034	GQ273492.1_00031
OG0000013	MK098185.1_00036	GQ273492.1_00033
OG0000014	MK098185.1_00038	GQ273492.1_00035
OG0000015	MK098185.1_00058	GQ273492.1_00056
OG0000016	MK098185.1_00064	GQ273492.1_00063
OG0000017	MK098185.1_00086	GQ273492.1_00083
OG0000018	MK098185.1_00087	GQ273492.1_00084
OG0000019	MK098185.1_00107	GQ273492.1_00103
OG0000020	MK098185.1_00122	GQ273492.1_00118
OG0000021	MK098185.1_00123	GQ273492.1_00119
OG0000022	MK098185.1_00047	GQ273492.1_00044
OG0000023	MK098185.1_00095	GQ273492.1_00092
OG0000024	MK098185.1_00110	GQ273492.1_00106
OG0000025	MK098185.1_00065	GQ273492.1_00064
OG0000026	MK098185.1_00088	GQ273492.1_00085
OG0000027	MK098185.1_00050	GQ273492.1_00047
OG0000028	MK098185.1_00006	GQ273492.1_00006
OG0000029	MK098185.1_00062	GQ273492.1_00061
OG0000030	MK098185.1_00001	GQ273492.1_00001
OG0000032	MK098185.1_00089	GQ273492.1_00086
OG0000033	MK098185.1_00124	GQ273492.1_00120
OG0000034	MK098185.1_00013	GQ273492.1_00013
OG0000035	MK098185.1_00014	GQ273492.1_00014
OG0000036	MK098185.1_00019	GQ273492.1_00019
OG0000037	MK098185.1_00020	GQ273492.1_00020
OG0000038	MK098185.1_00023	GQ273492.1_00023
OG0000039	MK098185.1_00024	GQ273492.1_00024
OG0000040	MK098185.1_00035	GQ273492.1_00032
OG0000041	MK098185.1_00039	GQ273492.1_00036
OG0000042	MK098185.1_00051	GQ273492.1_00048
OG0000043	MK098185.1_00052	GQ273492.1_00049
OG0000044	MK098185.1_00056	GQ273492.1_00054
OG0000045	MK098185.1_00057	GQ273492.1_00055
OG0000046	MK098185.1_00059	GQ273492.1_00057
OG0000047	MK098185.1_00060	GQ273492.1_00059
OG0000048	MK098185.1_00061	GQ273492.1_00060
OG0000049	MK098185.1_00078	GQ273492.1_00075
OG0000050	MK098185.1_00082	GQ273492.1_00079
OG0000051	MK098185.1_00083	GQ273492.1_00080
OG0000052	MK098185.1_00094	GQ273492.1_00091
OG0000053	MK098185.1_00096	GQ273492.1_00093
OG0000054	MK098185.1_00099	GQ273492.1_00096
OG0000055	MK098185.1_00111	GQ273492.1_00107
OG0000056	MK098185.1_00116	GQ273492.1_00112
OG0000057	MK098185.1_00118	GQ273492.1_00114
OG0000058	MK098185.1_00002	GQ273492.1_00002
OG0000060	MK098185.1_00018	GQ273492.1_00018
OG0000061	MK098185.1_00091	GQ273492.1_00088
OG0000062	MK098185.1_00029	GQ273492.1_00027
OG0000063	MK098185.1_00073	GQ273492.1_00070
OG0000064	MK098185.1_00017	GQ273492.1_00017
OG0000065	MK098185.1_00041	GQ273492.1_00038
OG0000066	MK098185.1_00045	GQ273492.1_00042
OG0000067	MK098185.1_00049	GQ273492.1_00046
OG0000068	MK098185.1_00068	GQ273492.1_00066
OG0000069	MK098185.1_00098	GQ273492.1_00095
OG0000070	MK098185.1_00100	GQ273492.1_00097
OG0000071	MK098185.1_00115	GQ273492.1_00111
OG0000072	MK098185.1_00009	GQ273492.1_00009
OG0000073	MK098185.1_00012	GQ273492.1_00012
OG0000074	MK098185.1_00016	GQ273492.1_00016
OG0000075	MK098185.1_00037	GQ273492.1_00034
OG0000076	MK098185.1_00040	GQ273492.1_00037
OG0000077	MK098185.1_00043	GQ273492.1_00040
OG0000078	MK098185.1_00044	GQ273492.1_00041
OG0000079	MK098185.1_00048	GQ273492.1_00045
OG0000080	MK098185.1_00053	GQ273492.1_00050
OG0000081	MK098185.1_00054	GQ273492.1_00051
