Orthogroup	HF920637	MN803438
OG0000000	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2	MN803438.1_00124 hypothetical protein
OG0000001	HF920637.1_00159 HF920637.1 - hypothetical protein translation	MN803438.1_00113 hypothetical protein
OG0000002	HF920637.1_00059 HF920637.1 - hypothetical protein translation	MN803438.1_00101 hypothetical protein
OG0000003	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation	MN803438.1_00106 hypothetical protein
OG0000004	HF920637.1_00015 HF920637.1 - hypothetical protein translation, HF920637.1_00153 HF920637.1 - hypothetical protein translation	MN803438.1_00109 hypothetical protein
OG0000005	HF920637.1_00217 HF920637.1 - hypothetical protein translation	MN803438.1_00049 hypothetical protein
OG0000006	HF920637.1_00001 HF920637.1 - hypothetical protein translation	MN803438.1_00128 hypothetical protein
OG0000007	HF920637.1_00017 HF920637.1 - hypothetical protein translation	MN803438.1_00007 hypothetical protein
OG0000008	HF920637.1_00108 HF920637.1 - hypothetical protein translation	MN803438.1_00070 hypothetical protein
OG0000009	HF920637.1_00152 HF920637.1 - hypothetical protein translation	MN803438.1_00046 hypothetical protein
OG0000010	HF920637.1_00073 HF920637.1 - hypothetical protein translation	MN803438.1_00035 hypothetical protein
OG0000011	HF920637.1_00111 HF920637.1 - hypothetical protein translation	MN803438.1_00051 hypothetical protein
OG0000012	HF920637.1_00143 HF920637.1 - Major capsid protein translation	MN803438.1_00023 Major capsid protein
OG0000013	HF920637.1_00197 HF920637.1 - hypothetical protein translation	MN803438.1_00097 hypothetical protein
OG0000014	HF920637.1_00172 HF920637.1 - hypothetical protein translation	MN803438.1_00027 hypothetical protein
OG0000015	HF920637.1_00031 HF920637.1 - hypothetical protein translation	MN803438.1_00068 hypothetical protein
OG0000016	HF920637.1_00041 HF920637.1 - hypothetical protein translation	MN803438.1_00089 hypothetical protein
OG0000017	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation	MN803438.1_00013 hypothetical protein
OG0000018	HF920637.1_00079 HF920637.1 - hypothetical protein translation	MN803438.1_00122 hypothetical protein
OG0000019	HF920637.1_00025 HF920637.1 - hypothetical protein translation	MN803438.1_00104 hypothetical protein
OG0000020	HF920637.1_00221 HF920637.1 - hypothetical protein translation	MN803438.1_00071 hypothetical protein
OG0000021	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation	MN803438.1_00024 hypothetical protein
OG0000022	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation	MN803438.1_00077 hypothetical protein
OG0000023	HF920637.1_00121 HF920637.1 - hypothetical protein translation	MN803438.1_00142 hypothetical protein
OG0000114	HF920637.1_00018 HF920637.1 - hypothetical protein translation	MN803438.1_00107 hypothetical protein, MN803438.1_00125 hypothetical protein, MN803438.1_00094 hypothetical protein
OG0000114	HF920637.1_00138 HF920637.1 - hypothetical protein translation	MN803438.1_00112 hypothetical protein, MN803438.1_00021 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein
OG0000130	HF920637.1_00219 HF920637.1 - hypothetical protein translation	MN803438.1_00115 hypothetical protein
OG0000133	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000134	HF920637.1_00181 HF920637.1 - hypothetical protein translation	MN803438.1_00137 hypothetical protein
OG0000135	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation	MN803438.1_00005 Thymidylate synthase
OG0000139	HF920637.1_00014 HF920637.1 - hypothetical protein translation	MN803438.1_00006 hypothetical protein
OG0000146	HF920637.1_00168 HF920637.1 - hypothetical protein translation	MN803438.1_00135 hypothetical protein
OG0000153	HF920637.1_00072 HF920637.1 - hypothetical protein translation	MN803438.1_00078 hypothetical protein
OG0000198	HF920637.1_00024 HF920637.1 - hypothetical protein translation	MN803438.1_00045 hypothetical protein
