Orthogroup	PQ335173_PQ335174	HF920633
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00044 hypothetical protein
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00069 hypothetical protein
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00127 hypothetical protein
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00043 hypothetical protein
OG0000004	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00122 hypothetical protein
OG0000005	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00097 hypothetical protein
OG0000006	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	HF920633.1_00073 Major capsid protein
OG0000007	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00001 hypothetical protein
OG0000008	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00080 hypothetical protein
OG0000009	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00158 hypothetical protein
OG0000010	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000011	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00067 hypothetical protein
OG0000012	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00118 hypothetical protein
OG0000013	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00163 hypothetical protein
OG0000014	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00091 hypothetical protein
OG0000015	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00003 hypothetical protein
OG0000016	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00138 hypothetical protein
OG0000017	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00058 hypothetical protein
OG0000018	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00025 hypothetical protein
OG0000020	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00094 hypothetical protein
OG0000021	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00085 hypothetical protein
OG0000022	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00079 hypothetical protein
OG0000023	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00017 hypothetical protein
OG0000025	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	HF920633.1_00047 hypothetical protein
