Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	N41	n14	1.0	Non-Terminal: STRIDE	MK637631_MK637631_00067 hypothetical protein, MN562489_OM037668.1_00010 hypothetical protein, MT521409_OM037668.1_00010 hypothetical protein, OM037668_OM037668.1_00010 hypothetical protein	MK637631_MK637631_00068 hypothetical protein, MN562489_SDDV_ORF011 Tripartite motif-containing protein, MT521409_SDDV_ORF011 Tripartite motif-containing protein, OM037668_SDDV_ORF011 Tripartite motif-containing protein
OG0000001	MN562489	n22	1.0	Terminal	MN562489_SDDV_ORF050 RING E3 ubiquitin ligase	MN562489_OM037668.1_00050 hypothetical protein
OG0000082	PQ335173_PQ335174	n7	1.0	Terminal	PQ335173_PQ335174_PQ335173_PQ335174_00032 PQ335173_PQ335174 - hypothetical protein translation	PQ335173_PQ335174_PQ335173_PQ335174_00033 PQ335173_PQ335174 - hypothetical protein translation
OG0000121	OK042109	n3	1.0	Terminal	OK042109_GQ273492.1_00058 hypothetical protein	OK042109_GQ273492.1_00058 hypothetical protein
OG0000125	N44	n0	1.0	Non-Terminal	MN562489_OM037668.1_00002 hypothetical protein, MT521409_OM037668.1_00002 hypothetical protein, OM037668_OM037668.1_00002 hypothetical protein	MN562489_OM037668.1_00006 hypothetical protein, MT521409_OM037668.1_00006 hypothetical protein, OM037668_OM037668.1_00006 hypothetical protein, MN562489_OM037668.1_00125 hypothetical protein, MT521409_OM037668.1_00125 hypothetical protein, OM037668_OM037668.1_00125 hypothetical protein
OG0000125	N44	n2	1.0	Non-Terminal	MN562489_OM037668.1_00006 hypothetical protein, MT521409_OM037668.1_00006 hypothetical protein, OM037668_OM037668.1_00006 hypothetical protein	MN562489_OM037668.1_00125 hypothetical protein, MT521409_OM037668.1_00125 hypothetical protein, OM037668_OM037668.1_00125 hypothetical protein
OG0000126	N44	n0	1.0	Non-Terminal	MN562489_OM037668.1_00066 hypothetical protein, MT521409_OM037668.1_00066 hypothetical protein, OM037668_OM037668.1_00066 hypothetical protein	MN562489_OM037668.1_00131 hypothetical protein, MT521409_OM037668.1_00131 hypothetical protein, OM037668_OM037668.1_00131 hypothetical protein, MN562489_OM037668.1_00132 hypothetical protein, MT521409_OM037668.1_00132 hypothetical protein, OM037668_OM037668.1_00132 hypothetical protein
OG0000126	N44	n2	1.0	Non-Terminal	MN562489_OM037668.1_00131 hypothetical protein, MT521409_OM037668.1_00131 hypothetical protein, OM037668_OM037668.1_00131 hypothetical protein	MN562489_OM037668.1_00132 hypothetical protein, MT521409_OM037668.1_00132 hypothetical protein, OM037668_OM037668.1_00132 hypothetical protein
OG0000127	N41	n0	1.0	Non-Terminal	MK637631_MK637631_00063 Serine proteinase inhibitor 2, MN562489_OM037668.1_00071 Serine proteinase inhibitor 2, MT521409_OM037668.1_00071 Serine proteinase inhibitor 2, OM037668_OM037668.1_00071 Serine proteinase inhibitor 2	MK637631_MK637631_00034 Serine proteinase inhibitor 1, MN562489_OM037668.1_00015 Serine proteinase inhibitor 1, MT521409_OM037668.1_00015 Serine proteinase inhibitor 1, OM037668_OM037668.1_00015 Serine proteinase inhibitor 1
OG0000128	N44	n1	1.0	Non-Terminal	MN562489_OM037668.1_00092 hypothetical protein, MT521409_OM037668.1_00092 hypothetical protein, OM037668_OM037668.1_00092 hypothetical protein	MN562489_OM037668.1_00093 hypothetical protein, MT521409_OM037668.1_00093 hypothetical protein, OM037668_OM037668.1_00093 hypothetical protein
OG0000129	N44	n1	1.0	Non-Terminal: STRIDE	MN562489_OM037668.1_00128 hypothetical protein, MT521409_OM037668.1_00128 hypothetical protein, OM037668_OM037668.1_00128 hypothetical protein	MN562489_OM037668.1_00121 hypothetical protein, MT521409_OM037668.1_00121 hypothetical protein, OM037668_OM037668.1_00121 hypothetical protein
OG0000130	MK637631	n3	1.0	Terminal	MK637631_MK637631_00051 hypothetical protein	MK637631_MK637631_00109 hypothetical protein, MK637631_MK637631_00113 hypothetical protein
OG0000130	MK637631	n4	1.0	Terminal	MK637631_MK637631_00109 hypothetical protein	MK637631_MK637631_00113 hypothetical protein
OG0000131	N44	n0	1.0	Non-Terminal	MN562489_OM037668.1_00067 hypothetical protein, MT521409_OM037668.1_00067 hypothetical protein, OM037668_OM037668.1_00067 hypothetical protein	MN562489_OM037668.1_00126 hypothetical protein, MT521409_OM037668.1_00126 hypothetical protein, OM037668_OM037668.1_00126 hypothetical protein
OG0000132	MK637631	n2	1.0	Terminal	MK637631_MK637631_00014 hypothetical protein	MK637631_MK637631_00090 hypothetical protein
