Orthogroup	OQ475017	KX643370
OG0000000	OQ475017.1_00030 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	OQ475017.1_00029 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	OQ475017.1_00112 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	OQ475017.1_00062 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	OQ475017.1_00056 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	OQ475017.1_00120 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	OQ475017.1_00121 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	OQ475017.1_00033 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	OQ475017.1_00105 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	OQ475017.1_00083 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	OQ475017.1_00087 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	OQ475017.1_00031 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	OQ475017.1_00035 OQ475017.1 - DNA-directed RNA polymerase subunit 2 translation	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	OQ475017.1_00084 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	OQ475017.1_00110 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	OQ475017.1_00093 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	OQ475017.1_00027 OQ475017.1 - Ribonucleoside-diphosphate reductase small chain translation	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	OQ475017.1_00044 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	OQ475017.1_00073 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000025	OQ475017.1_00006 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00001 hypothetical protein
OG0000027	OQ475017.1_00085 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00015 hypothetical protein
OG0000028	OQ475017.1_00108 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00119 hypothetical protein
OG0000029	OQ475017.1_00047 OQ475017.1 - hypothetical protein translation	Lymph_LDV3_KX643370_00096 hypothetical protein
