Orthogroup	ON075463.1	HF920637.1
OG0000000	ON075463.1_00029	HF920637.1_00129, HF920637.1_00164
OG0000001	ON075463.1_00007	HF920637.1_00143
OG0000003	ON075463.1_00008	HF920637.1_00059
OG0000004	ON075463.1_00014	HF920637.1_00159
OG0000005	ON075463.1_00028	HF920637.1_00176, HF920637.1_00175
OG0000006	ON075463.1_00073	HF920637.1_00121
OG0000007	ON075463.1_00087	HF920637.1_00172
OG0000008	ON075463.1_00109	HF920637.1_00025
OG0000009	ON075463.1_00111	HF920637.1_00153
OG0000010	ON075463.1_00005	HF920637.1_00041
OG0000011	ON075463.1_00021	HF920637.1_00001
OG0000012	ON075463.1_00030	HF920637.1_00031
OG0000013	ON075463.1_00032	HF920637.1_00073
OG0000014	ON075463.1_00034	HF920637.1_00213
OG0000015	ON075463.1_00055	HF920637.1_00017
OG0000016	ON075463.1_00061	HF920637.1_00217
OG0000017	ON075463.1_00083	HF920637.1_00197
OG0000018	ON075463.1_00084	HF920637.1_00079
OG0000019	ON075463.1_00104	HF920637.1_00111
OG0000020	ON075463.1_00118	HF920637.1_00108
OG0000021	ON075463.1_00119	HF920637.1_00152
OG0000022	ON075463.1_00043	HF920637.1_00033
OG0000023	ON075463.1_00092	HF920637.1_00221
OG0000024	ON075463.1_00107	HF920637.1_00203
OG0000025	ON075463.1_00062	HF920637.1_00156
OG0000028	ON075463.1_00006	HF920637.1_00127
