Orthogroup	ON075463.1	MN803438.1
OG0000000	ON075463.1_00029	MN803438.1_00124
OG0000001	ON075463.1_00007	MN803438.1_00023
OG0000003	ON075463.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000004	ON075463.1_00014	MN803438.1_00113
OG0000005	ON075463.1_00028	MN803438.1_00106
OG0000006	ON075463.1_00073	MN803438.1_00142
OG0000007	ON075463.1_00087	MN803438.1_00027
OG0000008	ON075463.1_00109	MN803438.1_00104
OG0000009	ON075463.1_00111	MN803438.1_00109
OG0000010	ON075463.1_00005	MN803438.1_00089
OG0000011	ON075463.1_00021	MN803438.1_00128
OG0000012	ON075463.1_00030	MN803438.1_00068
OG0000013	ON075463.1_00032	MN803438.1_00035
OG0000014	ON075463.1_00034	MN803438.1_00013
OG0000015	ON075463.1_00055	MN803438.1_00007
OG0000016	ON075463.1_00061	MN803438.1_00049
OG0000017	ON075463.1_00083	MN803438.1_00097
OG0000018	ON075463.1_00084	MN803438.1_00122
OG0000019	ON075463.1_00104	MN803438.1_00051
OG0000020	ON075463.1_00118	MN803438.1_00070
OG0000021	ON075463.1_00119	MN803438.1_00046
OG0000022	ON075463.1_00043	MN803438.1_00077
OG0000023	ON075463.1_00092	MN803438.1_00071
OG0000024	ON075463.1_00107	MN803438.1_00126
OG0000026	ON075463.1_00085	MN803438.1_00037
OG0000027	ON075463.1_00046	MN803438.1_00054
OG0000028	ON075463.1_00006	MN803438.1_00145
