Orthogroup	MK637631	HF920637
OG0000000	MK637631_00115 hypothetical protein	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	MK637631_00025 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	MK637631_00030 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	MK637631_00114 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	MK637631_00105 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation, HF920637.1_00015 HF920637.1 - hypothetical protein translation
OG0000005	MK637631_00070 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000006	MK637631_00044 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000007	MK637631_00017 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000008	MK637631_00043 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MK637631_00086 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	MK637631_00066 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	MK637631_00011 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	MK637631_00056 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	MK637631_00100 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	MK637631_00106 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	MK637631_00046 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	MK637631_00094 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000020	MK637631_00010 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000021	MK637631_00110 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000022	MK637631_00104 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000024	MK637631_00074 hypothetical protein	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000025	MK637631_00006 hypothetical protein	HF920637.1_00156 HF920637.1 - hypothetical protein translation
OG0000127	MK637631_00036 hypothetical protein	HF920637.1_00183 HF920637.1 - hypothetical protein translation
OG0000159	MK637631_00038 hypothetical protein	HF920637.1_00013 HF920637.1 - hypothetical protein translation
