Orthogroup	MK637631	HF920633
OG0000000	MK637631_00115 hypothetical protein	HF920633.1_00044 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	HF920633.1_00069 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	HF920633.1_00127 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	HF920633.1_00043 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	HF920633.1_00122 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	HF920633.1_00097 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	HF920633.1_00073 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	HF920633.1_00001 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	HF920633.1_00080 hypothetical protein
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	HF920633.1_00175 DNA-directed RNA polymerase subunit 2
OG0000010	MK637631_00086 hypothetical protein	HF920633.1_00067 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	HF920633.1_00118 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	HF920633.1_00163 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	HF920633.1_00091 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	HF920633.1_00003 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	HF920633.1_00138 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	HF920633.1_00058 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	HF920633.1_00062 Ribonucleoside-diphosphate reductase small chain
OG0000019	MK637631_00094 hypothetical protein	HF920633.1_00025 hypothetical protein
OG0000020	MK637631_00010 hypothetical protein	HF920633.1_00094 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	HF920633.1_00085 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	HF920633.1_00079 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	HF920633.1_00017 hypothetical protein
OG0000025	MK637631_00006 hypothetical protein	HF920633.1_00047 hypothetical protein
OG0000127	MK637631_00036 hypothetical protein	HF920633.1_00116 hypothetical protein
