Orthogroup	MK637631	OQ513807
OG0000000	MK637631_00115 hypothetical protein	AF371960.1_00031 hypothetical protein
OG0000001	MK637631_00025 hypothetical protein	AF371960.1_00008 hypothetical protein
OG0000002	MK637631_00030 hypothetical protein	AF371960.1_00015 hypothetical protein
OG0000003	MK637631_00114 hypothetical protein	AF371960.1_00030 hypothetical protein
OG0000004	MK637631_00105 hypothetical protein	AF371960.1_00113 hypothetical protein
OG0000005	MK637631_00070 hypothetical protein	AF371960.1_00005 hypothetical protein
OG0000006	MK637631_00044 Major capsid protein	AF371960.1_00007 Major capsid protein
OG0000007	MK637631_00017 hypothetical protein	AF371960.1_00021 hypothetical protein
OG0000008	MK637631_00043 hypothetical protein	AF371960.1_00032 hypothetical protein
OG0000010	MK637631_00086 hypothetical protein	AF371960.1_00057 hypothetical protein
OG0000011	MK637631_00066 hypothetical protein	AF371960.1_00064 hypothetical protein
OG0000012	MK637631_00011 hypothetical protein	AF371960.1_00088 hypothetical protein
OG0000013	MK637631_00056 hypothetical protein	AF371960.1_00092 hypothetical protein
OG0000014	MK637631_00100 hypothetical protein	AF371960.1_00107 hypothetical protein
OG0000015	MK637631_00106 hypothetical protein	AF371960.1_00121 hypothetical protein
OG0000016	MK637631_00046 hypothetical protein	AF371960.1_00122 hypothetical protein
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	AF371960.1_00027 Ribonucleoside-diphosphate reductase small chain
OG0000020	MK637631_00010 hypothetical protein	AF371960.1_00089 hypothetical protein
OG0000021	MK637631_00110 hypothetical protein	AF371960.1_00096 hypothetical protein
OG0000022	MK637631_00104 hypothetical protein	AF371960.1_00112 hypothetical protein
OG0000023	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein	AF371960.1_00006 hypothetical protein
OG0000024	MK637631_00074 hypothetical protein	AF371960.1_00045 hypothetical protein
OG0000025	MK637631_00006 hypothetical protein	AF371960.1_00065 hypothetical protein
OG0000026	MK637631_00037 hypothetical protein	AF371960.1_00090 hypothetical protein
OG0000027	MK637631_00101 hypothetical protein	AF371960.1_00110 hypothetical protein
OG0000028	MK637631_00077 hypothetical protein	AF371960.1_00048 hypothetical protein
OG0000029	MK637631_00084 hypothetical protein, MK637631_00085 hypothetical protein	AF371960.1_00056 hypothetical protein
OG0000030	MK637631_00087 hypothetical protein	AF371960.1_00058 hypothetical protein
OG0000031	MK637631_00001 hypothetical protein	AF371960.1_00001 hypothetical protein
OG0000032	MK637631_00119 hypothetical protein	AF371960.1_00002 hypothetical protein
OG0000033	ECIV_ORF26_refgen RING E3 ubiquitin ligase	AF371960.1_00014 hypothetical protein
OG0000034	MK637631_00033 hypothetical protein	AF371960.1_00018 hypothetical protein
OG0000035	MK637631_00021 hypothetical protein	AF371960.1_00019 hypothetical protein
OG0000036	MK637631_00020 hypothetical protein	AF371960.1_00020 hypothetical protein
OG0000037	MK637631_00016 hypothetical protein	AF371960.1_00022 hypothetical protein
OG0000038	MK637631_00042 hypothetical protein	AF371960.1_00037 hypothetical protein
OG0000039	MK637631_00079 hypothetical protein	AF371960.1_00049 hypothetical protein
OG0000040	MK637631_00080 hypothetical protein	AF371960.1_00050 hypothetical protein
OG0000041	MK637631_00088 hypothetical protein	AF371960.1_00061 hypothetical protein
OG0000042	MK637631_00095 hypothetical protein	AF371960.1_00080 hypothetical protein
OG0000043	MK637631_00096 hypothetical protein	AF371960.1_00082 hypothetical protein
OG0000044	MK637631_00097 hypothetical protein	AF371960.1_00083 hypothetical protein
OG0000045	MK637631_00022 hypothetical protein	AF371960.1_00084 hypothetical protein
OG0000046	MK637631_00039 hypothetical protein	AF371960.1_00091 hypothetical protein
OG0000047	MK637631_00111 hypothetical protein	AF371960.1_00095 hypothetical protein
OG0000048	MK637631_00118 hypothetical protein	AF371960.1_00097 hypothetical protein
OG0000049	MK637631_00117 hypothetical protein	AF371960.1_00100 hypothetical protein
OG0000050	MK637631_00103 hypothetical protein	AF371960.1_00111 hypothetical protein
OG0000051	MK637631_00108 hypothetical protein	AF371960.1_00115 hypothetical protein
OG0000052	MK637631_00012 hypothetical protein	AF371960.1_00119 hypothetical protein
OG0000053	MK637631_00029 hypothetical protein	AF371960.1_00013 hypothetical protein
OG0000054	MK637631_00032 hypothetical protein	AF371960.1_00023 hypothetical protein
OG0000056	MK637631_00055 hypothetical protein	AF371960.1_00094 hypothetical protein
OG0000057	MK637631_00048 hypothetical protein	AF371960.1_00117 hypothetical protein
OG0000058	MK637631_00004 hypothetical protein	AF371960.1_00123 hypothetical protein
OG0000059	MK637631_00049 hypothetical protein	AF371960.1_00033 hypothetical protein
OG0000063	MK637631_00102 hypothetical protein	AF371960.1_00079 hypothetical protein
OG0000066	MK637631_00018 hypothetical protein	ORF018L_refgen ORF018L
OG0000107	MK637631_00089 hypothetical protein	AF371960.1_00062 hypothetical protein
OG0000114	MK637631_00057 hypothetical protein	AF371960.1_00060 hypothetical protein
OG0000116	MK637631_00027 hypothetical protein	AF371960.1_00011 hypothetical protein
OG0000117	MK637631_00083 hypothetical protein	AF371960.1_00054 hypothetical protein
OG0000119	MK637631_00058 hypothetical protein	AF371960.1_00074 hypothetical protein
